hyperparameter,dataset,value,n_runs,best_auroc,best_aupr,note
sim_topk_frac (SimSample strength),yelp,0.0,3,0.7344,0.352,off - baseline
sim_topk_frac (SimSample strength),yelp,0.5,3,0.7503,0.3847,
sim_topk_frac (SimSample strength),yelp,1.0,3,0.7584,0.4025,shipped default
sim_topk_frac (SimSample strength),yelp,1.0 placebo,3,0.7327,0.3536,random ordering control
hidden_dim (capacity),yelp,64,2,0.739,0.369,"27,202 params"
hidden_dim (capacity),yelp,32,3,0.7344,0.352,"7,361 params - shipped"
hidden_dim (capacity),yelp,16,2,0.7286,0.3283,"2,689 params - degrades"
lambda_un (pseudo-label weight),photo,0.5,1,0.8959,0.6036,
lambda_un (pseudo-label weight),photo,1.0,1,0.9018,0.6305,shipped default
lambda_un (pseudo-label weight),photo,1.25,1,0.8929,0.6098,
lambda_un (pseudo-label weight),photo,1.5,1,0.9014,0.6522,
alpha_plus (conformal budget),yelp,0.05,3,0.7344,0.352,shipped default
alpha_plus (conformal budget),yelp,0.01,1,0.8881,0.5836,photo-config run
