2026-09-07 02:09:09,018 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 4, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=0.0', 'use_conformal=false'], 'tag': 'C_noconformal', 'save_scores': True, 'rotations': None}
2026-09-07 02:09:09,018 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': False, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0, 'record_scores': True}
2026-09-07 02:09:09,021 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 4, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=0.0', 'use_atlas_gate=false'], 'tag': 'C_nogate', 'save_scores': True, 'rotations': None}
2026-09-07 02:09:09,021 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0, 'record_scores': True}
2026-09-07 02:09:09,033 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 3, 'train_seed': None, 'epochs': None, 'set': ['sim_shuffle=true'], 'tag': 'C_simplacebo', 'save_scores': True, 'rotations': None}
2026-09-07 02:09:09,034 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0, 'sim_shuffle': True, 'record_scores': True}
2026-09-07 02:09:12,535 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.47153872483574893, 'aupr_all': 0.05929243785049809, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46996996996997} best={'auroc_all': 0.47153872483574893, 'aupr_all': 0.05929243785049809, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:09:12,773 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6661627234025858, 'aupr_all': 0.1493747011338691, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7705705705705705} best={'auroc_all': 0.6661627234025858, 'aupr_all': 0.1493747011338691, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:09:13,010 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6952509429656775, 'aupr_all': 0.16744386976842737, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7636636636636636} best={'auroc_all': 0.6952509429656775, 'aupr_all': 0.16744386976842737, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:09:13,250 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.710257855810145, 'aupr_all': 0.1775001848261371, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7693693693693694} best={'auroc_all': 0.710257855810145, 'aupr_all': 0.1775001848261371, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:09:13,268 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.47153872483574893, 'aupr_all': 0.05929243785049809, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46996996996997} best={'auroc_all': 0.47153872483574893, 'aupr_all': 0.05929243785049809, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:09:13,518 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6661627234025858, 'aupr_all': 0.1493747011338691, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7705705705705705} best={'auroc_all': 0.6661627234025858, 'aupr_all': 0.1493747011338691, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:09:13,598 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.7175750681217197, 'aupr_all': 0.17740331019244082, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7732732732732733} best={'auroc_all': 0.7175750681217197, 'aupr_all': 0.1775001848261371, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:09:13,839 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6952509429656775, 'aupr_all': 0.16744386976842737, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7636636636636636} best={'auroc_all': 0.6952509429656775, 'aupr_all': 0.16744386976842737, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:09:13,920 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.7167690428472453, 'aupr_all': 0.18760872939063766, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7687687687687689} best={'auroc_all': 0.7175750681217197, 'aupr_all': 0.18760872939063766, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:09:14,104 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.710257855810145, 'aupr_all': 0.1775001848261371, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7693693693693694} best={'auroc_all': 0.710257855810145, 'aupr_all': 0.1775001848261371, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:09:14,157 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.7191342656122385, 'aupr_all': 0.180912805444308, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7726726726726727} best={'auroc_all': 0.7191342656122385, 'aupr_all': 0.18760872939063766, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
