2026-09-07 02:14:11,600 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 5, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=0.0', 'use_atlas_gate=false', 'use_pl=false'], 'tag': 'L_lean', 'save_scores': True, 'rotations': None}
2026-09-07 02:14:11,601 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': False, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0, 'record_scores': True}
2026-09-07 02:14:11,838 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 5, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=0.0', 'use_conformal=false'], 'tag': 'C_noconformal', 'save_scores': True, 'rotations': None}
2026-09-07 02:14:11,838 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': False, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0, 'record_scores': True}
2026-09-07 02:14:11,859 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 5, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=0.0', 'use_atlas_gate=false'], 'tag': 'C_nogate', 'save_scores': True, 'rotations': None}
2026-09-07 02:14:11,859 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0, 'record_scores': True}
2026-09-07 02:14:15,711 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.6966748133945009, 'aupr_all': 0.13822202787668003, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7048048048048048} best={'auroc_all': 0.6966748133945009, 'aupr_all': 0.13822202787668003, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:14:15,824 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.6966748133945009, 'aupr_all': 0.13822202787668003, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7048048048048048} best={'auroc_all': 0.6966748133945009, 'aupr_all': 0.13822202787668003, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:14:15,863 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.6966748133945009, 'aupr_all': 0.13822202787668003, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7048048048048048} best={'auroc_all': 0.6966748133945009, 'aupr_all': 0.13822202787668003, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:14:15,982 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6819783074011317, 'aupr_all': 0.12387546499075075, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7207207207207207} best={'auroc_all': 0.6966748133945009, 'aupr_all': 0.13822202787668003, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:14:16,112 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6819783074011317, 'aupr_all': 0.12387546499075075, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7207207207207207} best={'auroc_all': 0.6966748133945009, 'aupr_all': 0.13822202787668003, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:14:16,198 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6819783074011317, 'aupr_all': 0.12387546499075075, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7207207207207207} best={'auroc_all': 0.6966748133945009, 'aupr_all': 0.13822202787668003, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:14:16,213 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.7098735579310823, 'aupr_all': 0.15541644043662475, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7474474474474475} best={'auroc_all': 0.7098735579310823, 'aupr_all': 0.15541644043662475, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:14:16,431 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.7098735579310823, 'aupr_all': 0.15541644043662475, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7474474474474475} best={'auroc_all': 0.7098735579310823, 'aupr_all': 0.15541644043662475, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:14:16,461 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.7144866167537612, 'aupr_all': 0.16372885870424858, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7567567567567567} best={'auroc_all': 0.7144866167537612, 'aupr_all': 0.16372885870424858, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:14:16,507 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.7098735579310823, 'aupr_all': 0.15541644043662475, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7474474474474475} best={'auroc_all': 0.7098735579310823, 'aupr_all': 0.15541644043662475, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:14:16,721 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.7144866167537612, 'aupr_all': 0.16372885870424858, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7567567567567567} best={'auroc_all': 0.7144866167537612, 'aupr_all': 0.16372885870424858, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
