2026-09-07 02:21:57,247 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['sim_shuffle=true'], 'tag': 'C_simplacebo', 'save_scores': True, 'rotations': None}
2026-09-07 02:21:57,247 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0, 'sim_shuffle': True, 'record_scores': True}
2026-09-07 02:22:13,473 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.4409888181255918, 'aupr_all': 0.05350555178423248, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46126126126126127} best={'auroc_all': 0.4409888181255918, 'aupr_all': 0.05350555178423248, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:22:13,819 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6360562919275117, 'aupr_all': 0.12012896443291513, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6888888888888889} best={'auroc_all': 0.6360562919275117, 'aupr_all': 0.12012896443291513, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:22:14,168 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6778000763045864, 'aupr_all': 0.1461245686142001, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7351351351351353} best={'auroc_all': 0.6778000763045864, 'aupr_all': 0.1461245686142001, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:22:14,528 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.68517827291435, 'aupr_all': 0.14994428139455504, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7372372372372372} best={'auroc_all': 0.68517827291435, 'aupr_all': 0.14994428139455504, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:22:14,918 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6882265843527069, 'aupr_all': 0.1512401189651549, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7375375375375376} best={'auroc_all': 0.6882265843527069, 'aupr_all': 0.1512401189651549, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:22:15,276 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.6898849700615496, 'aupr_all': 0.15206673109036334, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.739039039039039} best={'auroc_all': 0.6898849700615496, 'aupr_all': 0.15206673109036334, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:22:15,605 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.6910215366855724, 'aupr_all': 0.15283505415836876, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7396396396396396} best={'auroc_all': 0.6910215366855724, 'aupr_all': 0.15283505415836876, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:22:15,911 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6922739412093296, 'aupr_all': 0.15383150879334098, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7417417417417417} best={'auroc_all': 0.6922739412093296, 'aupr_all': 0.15383150879334098, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:22:16,258 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.6935374455206937, 'aupr_all': 0.15477647705265607, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7435435435435436} best={'auroc_all': 0.6935374455206937, 'aupr_all': 0.15477647705265607, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:22:16,773 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.694504675850063, 'aupr_all': 0.1556440249124379, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7444444444444444} best={'auroc_all': 0.694504675850063, 'aupr_all': 0.1556440249124379, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 02:22:18,332 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.6955187576085172, 'aupr_all': 0.15649386356024675, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7462462462462462} best={'auroc_all': 0.6955187576085172, 'aupr_all': 0.15649386356024675, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
