2026-09-07 04:36:55,305 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['use_mixup=true', 'use_halo=true', 'sim_topk_frac=0.0'], 'tag': 'T_synth', 'save_scores': True, 'rotations': None}
2026-09-07 04:36:55,306 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0, 'record_scores': True}
2026-09-07 04:36:59,042 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.44875866945039017, 'aupr_all': 0.05424247874692399, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4471471471471471} best={'auroc_all': 0.44875866945039017, 'aupr_all': 0.05424247874692399, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 04:36:59,314 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6388152344843039, 'aupr_all': 0.11494132982020086, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7123123123123123} best={'auroc_all': 0.6388152344843039, 'aupr_all': 0.11494132982020086, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 04:36:59,578 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6915899490648816, 'aupr_all': 0.15459026521339475, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7591591591591591} best={'auroc_all': 0.6915899490648816, 'aupr_all': 0.15459026521339475, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 04:36:59,791 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.6881320425571019, 'aupr_all': 0.15758465864038057, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7186186186186186} best={'auroc_all': 0.6915899490648816, 'aupr_all': 0.15758465864038057, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 04:37:00,013 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6863060629621255, 'aupr_all': 0.15866488159086656, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8165165165165166} best={'auroc_all': 0.6915899490648816, 'aupr_all': 0.15866488159086656, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 04:37:00,249 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.7044225942113834, 'aupr_all': 0.16994551817242176, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6978978978978979} best={'auroc_all': 0.7044225942113834, 'aupr_all': 0.16994551817242176, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 04:37:00,532 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.700188089773017, 'aupr_all': 0.16855389057257064, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7657657657657657} best={'auroc_all': 0.7044225942113834, 'aupr_all': 0.16994551817242176, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 04:37:00,804 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6990362286742103, 'aupr_all': 0.16292284973175877, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.757957957957958} best={'auroc_all': 0.7044225942113834, 'aupr_all': 0.16994551817242176, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 04:37:01,072 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.6966502260742787, 'aupr_all': 0.16090850945442325, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7363363363363363} best={'auroc_all': 0.7044225942113834, 'aupr_all': 0.16994551817242176, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 04:37:01,558 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.7023056323936201, 'aupr_all': 0.16748590311419315, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8444444444444444} best={'auroc_all': 0.7044225942113834, 'aupr_all': 0.16994551817242176, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 04:37:03,065 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.7066895322291368, 'aupr_all': 0.1655797984460925, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7876876876876877} best={'auroc_all': 0.7066895322291368, 'aupr_all': 0.16994551817242176, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
