2026-09-07 22:27:31,931 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 3, 'train_seed': None, 'epochs': None, 'set': ['hidden_dim=16', 'sim_topk_frac=0.0'], 'tag': 'T_hidden16', 'save_scores': True, 'rotations': None}
2026-09-07 22:27:31,932 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 16, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0, 'record_scores': True}
2026-09-07 22:27:31,933 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 4, 'train_seed': None, 'epochs': None, 'set': ['hidden_dim=16', 'sim_topk_frac=0.0'], 'tag': 'T_hidden16', 'save_scores': True, 'rotations': None}
2026-09-07 22:27:31,933 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 16, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0, 'record_scores': True}
2026-09-07 22:27:31,989 INFO cli={'dataset': 'amazon', 'method': 'outpost', 'seed': 5, 'train_seed': None, 'epochs': None, 'set': ['hidden_dim=16', 'sim_topk_frac=0.0'], 'tag': 'T_hidden16', 'save_scores': True, 'rotations': None}
2026-09-07 22:27:31,989 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 16, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 25, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0, 'record_scores': True}
2026-09-07 22:27:39,556 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.3489534449094309, 'aupr_all': 0.04826425527206715, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.30030030030030025} best={'auroc_all': 0.3489534449094309, 'aupr_all': 0.04826425527206715, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 22:27:40,328 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.4180915051002233, 'aupr_all': 0.053191624922294865, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.42372372372372374} best={'auroc_all': 0.4180915051002233, 'aupr_all': 0.053191624922294865, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 22:27:40,614 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5192858164332614, 'aupr_all': 0.06441828151991134, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4381381381381381} best={'auroc_all': 0.5192858164332614, 'aupr_all': 0.06441828151991134, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 22:27:41,146 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5745233286559345, 'aupr_all': 0.07163848136862905, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5906906906906907} best={'auroc_all': 0.5745233286559345, 'aupr_all': 0.07163848136862905, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 22:27:41,211 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.6893671520629601, 'aupr_all': 0.1618110627111481, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6822822822822823} best={'auroc_all': 0.6893671520629601, 'aupr_all': 0.1618110627111481, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 22:27:41,566 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6865786530949821, 'aupr_all': 0.1594433736775212, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7822822822822822} best={'auroc_all': 0.6893671520629601, 'aupr_all': 0.1618110627111481, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 22:27:42,197 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.6968409230067105, 'aupr_all': 0.15161609894214298, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6951951951951951} best={'auroc_all': 0.6968409230067105, 'aupr_all': 0.1618110627111481, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 22:27:42,323 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5232841922503865, 'aupr_all': 0.06444337345180493, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47717717717717717} best={'auroc_all': 0.5232841922503865, 'aupr_all': 0.06444337345180493, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 22:27:42,531 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.631365340990638, 'aupr_all': 0.0879930322903539, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6432432432432432} best={'auroc_all': 0.631365340990638, 'aupr_all': 0.0879930322903539, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 22:27:43,041 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.6871490014837576, 'aupr_all': 0.1508518295450994, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.793993993993994} best={'auroc_all': 0.6968409230067105, 'aupr_all': 0.1618110627111481, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 22:27:43,064 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6845926945844394, 'aupr_all': 0.14791503115748578, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7618618618618619} best={'auroc_all': 0.6845926945844394, 'aupr_all': 0.14791503115748578, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
