2026-09-04 10:54:18,955 INFO cli={'dataset': 'computers', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false', 'num_epochs=400'], 'tag': 'E400_nogate', 'rotations': [0]}
2026-09-04 10:54:18,956 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 767, 'num_epochs': 400, 'sim_topk_frac': 0.0, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'use_fview_gate': False, 'use_hybrid': False}
2026-09-04 10:54:22,431 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.4562973803166504, 'aupr_all': 0.13818394838598758, 'auroc_unknown': 0.423611328507579, 'aupr_unknown': 0.10998919430063928, 'val_auc': 0.6247126436781609} best={'auroc_all': 0.4562973803166504, 'aupr_all': 0.13818394838598758, 'auroc_unknown': 0.423611328507579, 'aupr_unknown': 0.10998919430063928}
2026-09-04 10:54:23,291 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.4539451762626678, 'aupr_all': 0.13852837040731214, 'auroc_unknown': 0.4175426688395381, 'aupr_unknown': 0.10918002593900472, 'val_auc': 0.6612068965517242} best={'auroc_all': 0.4562973803166504, 'aupr_all': 0.13852837040731214, 'auroc_unknown': 0.423611328507579, 'aupr_unknown': 0.10998919430063928}
2026-09-04 10:54:24,119 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.45025566747302037, 'aupr_all': 0.13764839236183712, 'auroc_unknown': 0.41396273598448696, 'aupr_unknown': 0.10869015147101932, 'val_auc': 0.6488505747126437} best={'auroc_all': 0.4562973803166504, 'aupr_all': 0.13852837040731214, 'auroc_unknown': 0.423611328507579, 'aupr_unknown': 0.10998919430063928}
2026-09-04 10:54:24,966 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.44993736752410257, 'aupr_all': 0.13686843554522415, 'auroc_unknown': 0.4111284792254941, 'aupr_unknown': 0.10734651676040445, 'val_auc': 0.6525862068965518} best={'auroc_all': 0.4562973803166504, 'aupr_all': 0.13852837040731214, 'auroc_unknown': 0.423611328507579, 'aupr_unknown': 0.10998919430063928}
2026-09-04 10:54:25,981 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.44966454882599205, 'aupr_all': 0.1373279084267622, 'auroc_unknown': 0.41092904902287863, 'aupr_unknown': 0.10783635993244353, 'val_auc': 0.6477011494252874} best={'auroc_all': 0.4562973803166504, 'aupr_all': 0.13852837040731214, 'auroc_unknown': 0.423611328507579, 'aupr_unknown': 0.10998919430063928}
2026-09-04 10:54:29,505 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.4507166955226816, 'aupr_all': 0.13804172015467797, 'auroc_unknown': 0.41097871790445506, 'aupr_unknown': 0.10817021729064694, 'val_auc': 0.6543103448275861} best={'auroc_all': 0.4562973803166504, 'aupr_all': 0.13852837040731214, 'auroc_unknown': 0.423611328507579, 'aupr_unknown': 0.10998919430063928}
2026-09-04 10:54:33,069 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.45164164150480873, 'aupr_all': 0.13824814771948277, 'auroc_unknown': 0.41188463693696675, 'aupr_unknown': 0.10796632429652667, 'val_auc': 0.6620689655172414} best={'auroc_all': 0.4562973803166504, 'aupr_all': 0.13852837040731214, 'auroc_unknown': 0.423611328507579, 'aupr_unknown': 0.10998919430063928}
2026-09-04 10:54:36,557 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.45056089414258366, 'aupr_all': 0.1378783307678184, 'auroc_unknown': 0.4106743876947735, 'aupr_unknown': 0.10773657820269425, 'val_auc': 0.6856321839080459} best={'auroc_all': 0.4562973803166504, 'aupr_all': 0.13852837040731214, 'auroc_unknown': 0.423611328507579, 'aupr_unknown': 0.10998919430063928}
2026-09-04 10:54:40,077 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.4536249267896356, 'aupr_all': 0.1390114023278555, 'auroc_unknown': 0.41479204139606396, 'aupr_unknown': 0.10878692386602276, 'val_auc': 0.6557471264367817} best={'auroc_all': 0.4562973803166504, 'aupr_all': 0.1390114023278555, 'auroc_unknown': 0.423611328507579, 'aupr_unknown': 0.10998919430063928}
2026-09-04 10:54:43,637 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.45843238444872414, 'aupr_all': 0.1410884178994497, 'auroc_unknown': 0.4166676915357294, 'aupr_unknown': 0.10887229525279013, 'val_auc': 0.6554597701149425} best={'auroc_all': 0.45843238444872414, 'aupr_all': 0.1410884178994497, 'auroc_unknown': 0.423611328507579, 'aupr_unknown': 0.10998919430063928}
2026-09-04 10:54:47,145 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.47494476195439017, 'aupr_all': 0.155404302351183, 'auroc_unknown': 0.4272673439150505, 'aupr_unknown': 0.11213950712784253, 'val_auc': 0.7028735632183908} best={'auroc_all': 0.47494476195439017, 'aupr_all': 0.155404302351183, 'auroc_unknown': 0.4272673439150505, 'aupr_unknown': 0.11213950712784253}
