2026-09-05 20:40:20,438 INFO cli={'dataset': 'computers', 'method': 'outpost', 'seed': 6, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false', 'num_epochs=400'], 'tag': 'E400_nogate', 'rotations': [5]}
2026-09-05 20:40:20,438 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 767, 'num_epochs': 400, 'sim_topk_frac': 0.0, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'use_fview_gate': False, 'use_hybrid': False}
2026-09-05 20:40:20,439 INFO cli={'dataset': 'computers', 'method': 'outpost', 'seed': 6, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false', 'num_epochs=400'], 'tag': 'E400_nogate', 'rotations': [3]}
2026-09-05 20:40:20,440 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 767, 'num_epochs': 400, 'sim_topk_frac': 0.0, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'use_fview_gate': False, 'use_hybrid': False}
2026-09-05 20:40:22,487 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.4404766022244208, 'aupr_all': 0.1356825550250419, 'auroc_unknown': 0.4286603453508611, 'aupr_unknown': 0.11995261048697464, 'val_auc': 0.6123563218390804} best={'auroc_all': 0.4404766022244208, 'aupr_all': 0.1356825550250419, 'auroc_unknown': 0.4286603453508611, 'aupr_unknown': 0.11995261048697464}
2026-09-05 20:40:22,537 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.47564140719494574, 'aupr_all': 0.14727553197932144, 'auroc_unknown': 0.45929405367317444, 'aupr_unknown': 0.11380018343888049, 'val_auc': 0.49942528735632186} best={'auroc_all': 0.47564140719494574, 'aupr_all': 0.14727553197932144, 'auroc_unknown': 0.45929405367317444, 'aupr_unknown': 0.11380018343888049}
2026-09-05 20:40:23,334 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.45307509218267433, 'aupr_all': 0.13824292777765418, 'auroc_unknown': 0.44008163699807534, 'aupr_unknown': 0.12192814866124936, 'val_auc': 0.5968390804597702} best={'auroc_all': 0.45307509218267433, 'aupr_all': 0.13824292777765418, 'auroc_unknown': 0.44008163699807534, 'aupr_unknown': 0.12192814866124936}
2026-09-05 20:40:23,360 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.47112447450004113, 'aupr_all': 0.1447007483905311, 'auroc_unknown': 0.4508619664888276, 'aupr_unknown': 0.11042718168455759, 'val_auc': 0.5129310344827587} best={'auroc_all': 0.47564140719494574, 'aupr_all': 0.14727553197932144, 'auroc_unknown': 0.45929405367317444, 'aupr_unknown': 0.11380018343888049}
2026-09-05 20:40:24,171 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.45261417881090216, 'aupr_all': 0.13880390575337276, 'auroc_unknown': 0.4411140585753935, 'aupr_unknown': 0.12256777936145678, 'val_auc': 0.5873563218390805} best={'auroc_all': 0.45307509218267433, 'aupr_all': 0.13880390575337276, 'auroc_unknown': 0.4411140585753935, 'aupr_unknown': 0.12256777936145678}
2026-09-05 20:40:24,198 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.4665402488198269, 'aupr_all': 0.14337565116641726, 'auroc_unknown': 0.447547665186774, 'aupr_unknown': 0.10911989900677249, 'val_auc': 0.4873563218390805} best={'auroc_all': 0.47564140719494574, 'aupr_all': 0.14727553197932144, 'auroc_unknown': 0.45929405367317444, 'aupr_unknown': 0.11380018343888049}
2026-09-05 20:40:24,993 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.4518569607093369, 'aupr_all': 0.13892342853171896, 'auroc_unknown': 0.4407413440464769, 'aupr_unknown': 0.1228352690801365, 'val_auc': 0.575} best={'auroc_all': 0.45307509218267433, 'aupr_all': 0.13892342853171896, 'auroc_unknown': 0.4411140585753935, 'aupr_unknown': 0.1228352690801365}
2026-09-05 20:40:25,047 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.46440070344334583, 'aupr_all': 0.14216431763547954, 'auroc_unknown': 0.44630834880435805, 'aupr_unknown': 0.10853671332880037, 'val_auc': 0.4939655172413793} best={'auroc_all': 0.47564140719494574, 'aupr_all': 0.14727553197932144, 'auroc_unknown': 0.45929405367317444, 'aupr_unknown': 0.11380018343888049}
2026-09-05 20:40:25,973 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.4555514235837923, 'aupr_all': 0.1393093698564995, 'auroc_unknown': 0.44418696457431717, 'aupr_unknown': 0.12299170347557006, 'val_auc': 0.5336206896551724} best={'auroc_all': 0.4555514235837923, 'aupr_all': 0.1393093698564995, 'auroc_unknown': 0.44418696457431717, 'aupr_unknown': 0.12299170347557006}
2026-09-05 20:40:26,005 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.4641940080160762, 'aupr_all': 0.14204454886257584, 'auroc_unknown': 0.4451998046369543, 'aupr_unknown': 0.10797253646828962, 'val_auc': 0.4758620689655172} best={'auroc_all': 0.47564140719494574, 'aupr_all': 0.14727553197932144, 'auroc_unknown': 0.45929405367317444, 'aupr_unknown': 0.11380018343888049}
2026-09-05 20:40:29,641 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.46878931158037507, 'aupr_all': 0.1437721740458927, 'auroc_unknown': 0.4489428677898288, 'aupr_unknown': 0.10910158953310153, 'val_auc': 0.49252873563218386} best={'auroc_all': 0.47564140719494574, 'aupr_all': 0.14727553197932144, 'auroc_unknown': 0.45929405367317444, 'aupr_unknown': 0.11380018343888049}
2026-09-05 20:40:29,660 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.4568703110504715, 'aupr_all': 0.14007736758817105, 'auroc_unknown': 0.4441102345652702, 'aupr_unknown': 0.12322727302836292, 'val_auc': 0.5744252873563218} best={'auroc_all': 0.4568703110504715, 'aupr_all': 0.14007736758817105, 'auroc_unknown': 0.44418696457431717, 'aupr_unknown': 0.12322727302836292}
2026-09-05 20:40:33,160 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.4661935775611517, 'aupr_all': 0.14271008160999027, 'auroc_unknown': 0.45189292750923976, 'aupr_unknown': 0.1252479121703507, 'val_auc': 0.5954022988505747} best={'auroc_all': 0.4661935775611517, 'aupr_all': 0.14271008160999027, 'auroc_unknown': 0.45189292750923976, 'aupr_unknown': 0.1252479121703507}
2026-09-05 20:40:33,210 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.4713272020723487, 'aupr_all': 0.1442907996886738, 'auroc_unknown': 0.45095695124582214, 'aupr_unknown': 0.10961874457100146, 'val_auc': 0.4916666666666667} best={'auroc_all': 0.47564140719494574, 'aupr_all': 0.14727553197932144, 'auroc_unknown': 0.45929405367317444, 'aupr_unknown': 0.11380018343888049}
2026-09-05 20:40:36,693 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.4716268783320807, 'aupr_all': 0.14433089495356952, 'auroc_unknown': 0.4550245276893493, 'aupr_unknown': 0.12624829498390056, 'val_auc': 0.6540229885057471} best={'auroc_all': 0.4716268783320807, 'aupr_all': 0.14433089495356952, 'auroc_unknown': 0.4550245276893493, 'aupr_unknown': 0.12624829498390056}
2026-09-05 20:40:36,782 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.47365915401112063, 'aupr_all': 0.14484827386999655, 'auroc_unknown': 0.45274668291821873, 'aupr_unknown': 0.10997610750407635, 'val_auc': 0.47988505747126436} best={'auroc_all': 0.47564140719494574, 'aupr_all': 0.14727553197932144, 'auroc_unknown': 0.45929405367317444, 'aupr_unknown': 0.11380018343888049}
2026-09-05 20:40:40,215 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.480448039173233, 'aupr_all': 0.14740513078752493, 'auroc_unknown': 0.46115743474139936, 'aupr_unknown': 0.1280399945870992, 'val_auc': 0.6577586206896552} best={'auroc_all': 0.480448039173233, 'aupr_all': 0.14740513078752493, 'auroc_unknown': 0.46115743474139936, 'aupr_unknown': 0.1280399945870992}
2026-09-05 20:40:40,332 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.4837951656572566, 'aupr_all': 0.14872818217638484, 'auroc_unknown': 0.4612608988804894, 'aupr_unknown': 0.11249905568831961, 'val_auc': 0.5034482758620689} best={'auroc_all': 0.4837951656572566, 'aupr_all': 0.14872818217638484, 'auroc_unknown': 0.4612608988804894, 'aupr_unknown': 0.11380018343888049}
