2026-09-05 21:04:20,793 INFO cli={'dataset': 'computers', 'method': 'outpost', 'seed': 8, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false', 'num_epochs=400'], 'tag': 'E400_nogate', 'rotations': [6]}
2026-09-05 21:04:20,793 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 767, 'num_epochs': 400, 'sim_topk_frac': 0.0, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'use_fview_gate': False, 'use_hybrid': False}
2026-09-05 21:04:20,921 INFO cli={'dataset': 'computers', 'method': 'outpost', 'seed': 8, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false', 'num_epochs=400'], 'tag': 'E400_nogate', 'rotations': [9]}
2026-09-05 21:04:20,921 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 767, 'num_epochs': 400, 'sim_topk_frac': 0.0, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'use_fview_gate': False, 'use_hybrid': False}
2026-09-05 21:04:20,936 INFO cli={'dataset': 'computers', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false', 'num_epochs=400'], 'tag': 'E400_nogate', 'rotations': [0]}
2026-09-05 21:04:20,936 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 767, 'num_epochs': 400, 'sim_topk_frac': 0.0, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'use_fview_gate': False, 'use_hybrid': False}
2026-09-05 21:04:22,876 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.43719761734208584, 'aupr_all': 0.13349375127727564, 'auroc_unknown': 0.3986344775046085, 'aupr_unknown': 0.10485681809298274, 'val_auc': 0.6577586206896553} best={'auroc_all': 0.43719761734208584, 'aupr_all': 0.13349375127727564, 'auroc_unknown': 0.3986344775046085, 'aupr_unknown': 0.10485681809298274}
2026-09-05 21:04:22,960 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.4551025055192175, 'aupr_all': 0.13846459028972435, 'auroc_unknown': 0.4585410664887769, 'aupr_unknown': 0.1263447579624396, 'val_auc': 0.3810344827586207} best={'auroc_all': 0.4551025055192175, 'aupr_all': 0.13846459028972435, 'auroc_unknown': 0.4585410664887769, 'aupr_unknown': 0.1263447579624396}
2026-09-05 21:04:23,023 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.471860293707505, 'aupr_all': 0.14474828081669788, 'auroc_unknown': 0.5263889943696, 'aupr_unknown': 0.13312402654137834, 'val_auc': 0.25948275862068965} best={'auroc_all': 0.471860293707505, 'aupr_all': 0.14474828081669788, 'auroc_unknown': 0.5263889943696, 'aupr_unknown': 0.13312402654137834}
2026-09-05 21:04:23,710 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.4468341379745646, 'aupr_all': 0.13629170651630856, 'auroc_unknown': 0.40686377544768515, 'aupr_unknown': 0.10637631976527281, 'val_auc': 0.6847701149425288} best={'auroc_all': 0.4468341379745646, 'aupr_all': 0.13629170651630856, 'auroc_unknown': 0.40686377544768515, 'aupr_unknown': 0.10637631976527281}
2026-09-05 21:04:23,796 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.45833922013163925, 'aupr_all': 0.13992072402342298, 'auroc_unknown': 0.4632828182967791, 'aupr_unknown': 0.128075831251199, 'val_auc': 0.357183908045977} best={'auroc_all': 0.45833922013163925, 'aupr_all': 0.13992072402342298, 'auroc_unknown': 0.4632828182967791, 'aupr_unknown': 0.128075831251199}
2026-09-05 21:04:23,862 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.46169891531230556, 'aupr_all': 0.14028117506881072, 'auroc_unknown': 0.5195821509554782, 'aupr_unknown': 0.12885771814320557, 'val_auc': 0.25488505747126433} best={'auroc_all': 0.471860293707505, 'aupr_all': 0.14474828081669788, 'auroc_unknown': 0.5263889943696, 'aupr_unknown': 0.13312402654137834}
2026-09-05 21:04:24,641 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.4543602414143876, 'aupr_all': 0.13864898387538246, 'auroc_unknown': 0.45946914143738, 'aupr_unknown': 0.1267196564793656, 'val_auc': 0.3830459770114943} best={'auroc_all': 0.45833922013163925, 'aupr_all': 0.13992072402342298, 'auroc_unknown': 0.4632828182967791, 'aupr_unknown': 0.128075831251199}
2026-09-05 21:04:24,666 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.44464592330195984, 'aupr_all': 0.13593806965597618, 'auroc_unknown': 0.40335732570443167, 'aupr_unknown': 0.10581903863812822, 'val_auc': 0.6635057471264367} best={'auroc_all': 0.4468341379745646, 'aupr_all': 0.13629170651630856, 'auroc_unknown': 0.40686377544768515, 'aupr_unknown': 0.10637631976527281}
2026-09-05 21:04:24,671 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.4640452478583674, 'aupr_all': 0.14092599398499392, 'auroc_unknown': 0.525100478552841, 'aupr_unknown': 0.13015685439915683, 'val_auc': 0.24913793103448276} best={'auroc_all': 0.471860293707505, 'aupr_all': 0.14474828081669788, 'auroc_unknown': 0.5263889943696, 'aupr_unknown': 0.13312402654137834}
2026-09-05 21:04:25,527 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.45477954964800316, 'aupr_all': 0.13828183621579057, 'auroc_unknown': 0.4606138296590178, 'aupr_unknown': 0.12659326699015275, 'val_auc': 0.3781609195402299} best={'auroc_all': 0.45833922013163925, 'aupr_all': 0.13992072402342298, 'auroc_unknown': 0.4632828182967791, 'aupr_unknown': 0.128075831251199}
2026-09-05 21:04:25,541 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.4475408519337811, 'aupr_all': 0.13705406251577085, 'auroc_unknown': 0.40722107275392677, 'aupr_unknown': 0.10687829148080971, 'val_auc': 0.6905172413793104} best={'auroc_all': 0.4475408519337811, 'aupr_all': 0.13705406251577085, 'auroc_unknown': 0.40722107275392677, 'aupr_unknown': 0.10687829148080971}
