2026-09-07 12:30:29,362 INFO cli={'dataset': 'computers', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['use_mixup=false', 'use_halo=false', 'num_epochs=400'], 'tag': 'E400_T_nosynth', 'save_scores': True, 'rotations': [9]}
2026-09-07 12:30:29,362 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 767, 'num_epochs': 400, 'sim_topk_frac': 0.0, 'use_atlas_loss': True, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 5, 'use_fview_gate': False, 'use_hybrid': False, 'record_scores': True}
2026-09-07 12:30:34,987 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.47878493455470483, 'aupr_all': 0.14674078734445195, 'auroc_unknown': 0.4858701930075593, 'aupr_unknown': 0.13559368807719285, 'val_auc': 0.4560344827586207} best={'auroc_all': 0.47878493455470483, 'aupr_all': 0.14674078734445195, 'auroc_unknown': 0.4858701930075593, 'aupr_unknown': 0.13559368807719285}
2026-09-07 12:30:39,214 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.4692521974118393, 'aupr_all': 0.14359737939384215, 'auroc_unknown': 0.4736760719944497, 'aupr_unknown': 0.13185929815572364, 'val_auc': 0.46350574712643683} best={'auroc_all': 0.47878493455470483, 'aupr_all': 0.14674078734445195, 'auroc_unknown': 0.4858701930075593, 'aupr_unknown': 0.13559368807719285}
2026-09-07 12:30:43,648 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.4671357022910624, 'aupr_all': 0.1427477942329093, 'auroc_unknown': 0.47119854485157475, 'aupr_unknown': 0.13064757550259926, 'val_auc': 0.4451149425287356} best={'auroc_all': 0.47878493455470483, 'aupr_all': 0.14674078734445195, 'auroc_unknown': 0.4858701930075593, 'aupr_unknown': 0.13559368807719285}
2026-09-07 12:30:48,030 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.4670626295401435, 'aupr_all': 0.14246215427232256, 'auroc_unknown': 0.47055681519766934, 'aupr_unknown': 0.13027364052727708, 'val_auc': 0.4433908045977012} best={'auroc_all': 0.47878493455470483, 'aupr_all': 0.14674078734445195, 'auroc_unknown': 0.4858701930075593, 'aupr_unknown': 0.13559368807719285}
2026-09-07 12:30:53,007 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.46851997909009246, 'aupr_all': 0.14277087651289405, 'auroc_unknown': 0.4720806536423573, 'aupr_unknown': 0.13050094410258145, 'val_auc': 0.46810344827586203} best={'auroc_all': 0.47878493455470483, 'aupr_all': 0.14674078734445195, 'auroc_unknown': 0.4858701930075593, 'aupr_unknown': 0.13559368807719285}
2026-09-07 12:31:11,544 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.4742696761569807, 'aupr_all': 0.14458059706947063, 'auroc_unknown': 0.47583242632941525, 'aupr_unknown': 0.13160678792242483, 'val_auc': 0.4882183908045977} best={'auroc_all': 0.47878493455470483, 'aupr_all': 0.14674078734445195, 'auroc_unknown': 0.4858701930075593, 'aupr_unknown': 0.13559368807719285}
2026-09-07 12:31:29,839 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.48250627792635953, 'aupr_all': 0.1466054354048161, 'auroc_unknown': 0.4838349265188234, 'aupr_unknown': 0.1333918726756475, 'val_auc': 0.5218390804597701} best={'auroc_all': 0.48250627792635953, 'aupr_all': 0.14674078734445195, 'auroc_unknown': 0.4858701930075593, 'aupr_unknown': 0.13559368807719285}
2026-09-07 12:31:48,033 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.49207660648126406, 'aupr_all': 0.15079937369919638, 'auroc_unknown': 0.4914724949393596, 'aupr_unknown': 0.1368061197571596, 'val_auc': 0.507183908045977} best={'auroc_all': 0.49207660648126406, 'aupr_all': 0.15079937369919638, 'auroc_unknown': 0.4914724949393596, 'aupr_unknown': 0.1368061197571596}
2026-09-07 12:32:06,284 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.49963346653093693, 'aupr_all': 0.15254137440911475, 'auroc_unknown': 0.4974028735855205, 'aupr_unknown': 0.1381950047200885, 'val_auc': 0.5459770114942528} best={'auroc_all': 0.49963346653093693, 'aupr_all': 0.15254137440911475, 'auroc_unknown': 0.4974028735855205, 'aupr_unknown': 0.1381950047200885}
2026-09-07 12:32:24,569 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5104655041570276, 'aupr_all': 0.15660104962817997, 'auroc_unknown': 0.5075552348447191, 'aupr_unknown': 0.1413227323320049, 'val_auc': 0.5566091954022989} best={'auroc_all': 0.5104655041570276, 'aupr_all': 0.15660104962817997, 'auroc_unknown': 0.5075552348447191, 'aupr_unknown': 0.1413227323320049}
2026-09-07 12:32:42,896 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5268788458376881, 'aupr_all': 0.16159690106343577, 'auroc_unknown': 0.522962957487746, 'aupr_unknown': 0.14582316349818497, 'val_auc': 0.5712643678160919} best={'auroc_all': 0.5268788458376881, 'aupr_all': 0.16159690106343577, 'auroc_unknown': 0.522962957487746, 'aupr_unknown': 0.14582316349818497}
