2026-09-06 22:26:49,605 INFO cli={'dataset': 'ogbn-arxiv', 'method': 'outpost', 'seed': 2, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false'], 'tag': 'A_nogate400', 'save_scores': False, 'rotations': [4]}
2026-09-06 22:26:49,605 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'input_dim': 128, 'K_p': 8, 'drop_out': 0.5, 'num_epochs': 400, 'warmup_epochs': 10, 'use_mixup': True, 'use_halo': True, 'use_atlas_loss': True, 'use_fview_gate': False, 'use_hybrid': False, 'sim_topk_frac': 0.0}
2026-09-06 22:26:52,128 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.4664056943888252, 'aupr_all': 0.16541361207242558, 'auroc_unknown': 0.4441834935132351, 'aupr_unknown': 0.1291049540187426, 'val_auc': 0.555700824499411} best={'auroc_all': 0.4664056943888252, 'aupr_all': 0.16541361207242558, 'auroc_unknown': 0.4441834935132351, 'aupr_unknown': 0.1291049540187426}
2026-09-06 22:26:53,646 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.4708202373456653, 'aupr_all': 0.16624817323875213, 'auroc_unknown': 0.44779403493075876, 'aupr_unknown': 0.12965689289628288, 'val_auc': 0.552979976442874} best={'auroc_all': 0.4708202373456653, 'aupr_all': 0.16624817323875213, 'auroc_unknown': 0.44779403493075876, 'aupr_unknown': 0.12965689289628288}
2026-09-06 22:26:54,990 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.48017426384233625, 'aupr_all': 0.16965664247502965, 'auroc_unknown': 0.4553885291011917, 'aupr_unknown': 0.13130001707612288, 'val_auc': 0.5872673733804477} best={'auroc_all': 0.48017426384233625, 'aupr_all': 0.16965664247502965, 'auroc_unknown': 0.4553885291011917, 'aupr_unknown': 0.13130001707612288}
2026-09-06 22:26:56,392 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.48339982335913867, 'aupr_all': 0.1705723283912219, 'auroc_unknown': 0.46082098628257195, 'aupr_unknown': 0.13277782463567514, 'val_auc': 0.5719434628975265} best={'auroc_all': 0.48339982335913867, 'aupr_all': 0.1705723283912219, 'auroc_unknown': 0.46082098628257195, 'aupr_unknown': 0.13277782463567514}
2026-09-06 22:26:57,776 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.47936796109160285, 'aupr_all': 0.1673482168617908, 'auroc_unknown': 0.45932375740004633, 'aupr_unknown': 0.13153879623671258, 'val_auc': 0.5623674911660776} best={'auroc_all': 0.48339982335913867, 'aupr_all': 0.1705723283912219, 'auroc_unknown': 0.46082098628257195, 'aupr_unknown': 0.13277782463567514}
2026-09-06 22:26:59,131 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.48023145980377435, 'aupr_all': 0.16727513490601292, 'auroc_unknown': 0.4600396857179258, 'aupr_unknown': 0.13169527420865804, 'val_auc': 0.5586101295641932} best={'auroc_all': 0.48339982335913867, 'aupr_all': 0.1705723283912219, 'auroc_unknown': 0.46082098628257195, 'aupr_unknown': 0.13277782463567514}
2026-09-06 22:27:00,493 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.4821086698209, 'aupr_all': 0.16724236002638987, 'auroc_unknown': 0.4625154231880748, 'aupr_unknown': 0.13176244033240983, 'val_auc': 0.5516372202591284} best={'auroc_all': 0.48339982335913867, 'aupr_all': 0.1705723283912219, 'auroc_unknown': 0.4625154231880748, 'aupr_unknown': 0.13277782463567514}
2026-09-06 22:27:01,869 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.4841764317259231, 'aupr_all': 0.1678896555683366, 'auroc_unknown': 0.4651300170538772, 'aupr_unknown': 0.1323869912656718, 'val_auc': 0.5500824499411072} best={'auroc_all': 0.4841764317259231, 'aupr_all': 0.1705723283912219, 'auroc_unknown': 0.4651300170538772, 'aupr_unknown': 0.13277782463567514}
2026-09-06 22:27:03,245 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.4850556122076836, 'aupr_all': 0.16790145066345985, 'auroc_unknown': 0.4662639468458431, 'aupr_unknown': 0.132456343989601, 'val_auc': 0.5557126030624264} best={'auroc_all': 0.4850556122076836, 'aupr_all': 0.1705723283912219, 'auroc_unknown': 0.4662639468458431, 'aupr_unknown': 0.13277782463567514}
2026-09-06 22:27:04,877 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.4878545055508587, 'aupr_all': 0.16906887348934252, 'auroc_unknown': 0.46922521681914947, 'aupr_unknown': 0.13331810337101135, 'val_auc': 0.5606595995288575} best={'auroc_all': 0.4878545055508587, 'aupr_all': 0.1705723283912219, 'auroc_unknown': 0.46922521681914947, 'aupr_unknown': 0.13331810337101135}
2026-09-06 22:27:12,962 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.49075161275707047, 'aupr_all': 0.17116143538077283, 'auroc_unknown': 0.4702827605879414, 'aupr_unknown': 0.13413974618250013, 'val_auc': 0.5550176678445229} best={'auroc_all': 0.49075161275707047, 'aupr_all': 0.17116143538077283, 'auroc_unknown': 0.4702827605879414, 'aupr_unknown': 0.13413974618250013}
