2026-09-07 03:31:06,969 INFO cli={'dataset': 'ogbn-arxiv', 'method': 'outpost', 'seed': 8, 'train_seed': None, 'epochs': None, 'set': [], 'tag': 'A_main', 'save_scores': True, 'rotations': [4]}
2026-09-07 03:31:06,969 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'input_dim': 128, 'K_p': 8, 'drop_out': 0.5, 'num_epochs': 400, 'warmup_epochs': 10, 'use_mixup': True, 'use_halo': True, 'use_atlas_loss': True, 'use_fview_gate': False, 'use_hybrid': False, 'sim_topk_frac': 0.0, 'record_scores': True}
2026-09-07 03:31:10,616 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5114455042760674, 'aupr_all': 0.1794941209239681, 'auroc_unknown': 0.500930438424092, 'aupr_unknown': 0.13940022617711853, 'val_auc': 0.5214134275618374} best={'auroc_all': 0.5114455042760674, 'aupr_all': 0.1794941209239681, 'auroc_unknown': 0.500930438424092, 'aupr_unknown': 0.13940022617711853}
2026-09-07 03:31:12,512 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.48998070048578607, 'aupr_all': 0.16477305032765496, 'auroc_unknown': 0.48559327757606374, 'aupr_unknown': 0.13282605321382013, 'val_auc': 0.5345347467608952} best={'auroc_all': 0.5114455042760674, 'aupr_all': 0.1794941209239681, 'auroc_unknown': 0.500930438424092, 'aupr_unknown': 0.13940022617711853}
2026-09-07 03:31:14,461 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.49010969775395474, 'aupr_all': 0.16523057433258687, 'auroc_unknown': 0.48221739239011063, 'aupr_unknown': 0.13272135352024914, 'val_auc': 0.5240047114252061} best={'auroc_all': 0.5114455042760674, 'aupr_all': 0.1794941209239681, 'auroc_unknown': 0.500930438424092, 'aupr_unknown': 0.13940022617711853}
2026-09-07 03:31:16,317 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.49210436331101176, 'aupr_all': 0.16753984766193714, 'auroc_unknown': 0.4816489651787623, 'aupr_unknown': 0.13399630233779786, 'val_auc': 0.5270435806831567} best={'auroc_all': 0.5114455042760674, 'aupr_all': 0.1794941209239681, 'auroc_unknown': 0.500930438424092, 'aupr_unknown': 0.13940022617711853}
2026-09-07 03:31:18,306 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.4931389910015561, 'aupr_all': 0.16883026525036046, 'auroc_unknown': 0.4816429807474493, 'aupr_unknown': 0.13477591045095202, 'val_auc': 0.550035335689046} best={'auroc_all': 0.5114455042760674, 'aupr_all': 0.1794941209239681, 'auroc_unknown': 0.500930438424092, 'aupr_unknown': 0.13940022617711853}
2026-09-07 03:31:20,176 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.49437475616389037, 'aupr_all': 0.1706364892299052, 'auroc_unknown': 0.48221503444615127, 'aupr_unknown': 0.13599437001303666, 'val_auc': 0.5507184923439339} best={'auroc_all': 0.5114455042760674, 'aupr_all': 0.1794941209239681, 'auroc_unknown': 0.500930438424092, 'aupr_unknown': 0.13940022617711853}
2026-09-07 03:31:22,026 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.496231032728676, 'aupr_all': 0.1724209890336673, 'auroc_unknown': 0.4830312315890107, 'aupr_unknown': 0.1371783246591412, 'val_auc': 0.5534040047114251} best={'auroc_all': 0.5114455042760674, 'aupr_all': 0.1794941209239681, 'auroc_unknown': 0.500930438424092, 'aupr_unknown': 0.13940022617711853}
2026-09-07 03:31:23,709 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.4976810388341026, 'aupr_all': 0.17375752518567877, 'auroc_unknown': 0.484254002536041, 'aupr_unknown': 0.13814755886159466, 'val_auc': 0.5632508833922262} best={'auroc_all': 0.5114455042760674, 'aupr_all': 0.1794941209239681, 'auroc_unknown': 0.500930438424092, 'aupr_unknown': 0.13940022617711853}
2026-09-07 03:31:25,583 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.49969987537886323, 'aupr_all': 0.17449997893930133, 'auroc_unknown': 0.485248003641896, 'aupr_unknown': 0.13830797720708754, 'val_auc': 0.5609422850412249} best={'auroc_all': 0.5114455042760674, 'aupr_all': 0.1794941209239681, 'auroc_unknown': 0.500930438424092, 'aupr_unknown': 0.13940022617711853}
2026-09-07 03:31:27,657 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5014010039447896, 'aupr_all': 0.17578949596326235, 'auroc_unknown': 0.4866105535615938, 'aupr_unknown': 0.13920287614684546, 'val_auc': 0.568032979976443} best={'auroc_all': 0.5114455042760674, 'aupr_all': 0.1794941209239681, 'auroc_unknown': 0.500930438424092, 'aupr_unknown': 0.13940022617711853}
2026-09-07 03:31:37,484 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5040542397565468, 'aupr_all': 0.17715158366683983, 'auroc_unknown': 0.48801721402366993, 'aupr_unknown': 0.1396262512051623, 'val_auc': 0.5691166077738516} best={'auroc_all': 0.5114455042760674, 'aupr_all': 0.1794941209239681, 'auroc_unknown': 0.500930438424092, 'aupr_unknown': 0.1396262512051623}
