2026-09-09 19:45:07,100 INFO cli={'dataset': 'ogbn-mag', 'method': 'outpost', 'seed': 7, 'train_seed': None, 'epochs': None, 'set': [], 'tag': 'A_main', 'save_scores': True, 'rotations': [215]}
2026-09-09 19:45:07,100 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 256, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'input_dim': 128, 'K_p': 8, 'drop_out': 0.5, 'num_epochs': 400, 'warmup_epochs': 10, 'use_mixup': True, 'use_halo': True, 'use_atlas_loss': True, 'use_fview_gate': False, 'use_hybrid': False, 'sim_topk_frac': 0.0, 'eval_batch_mult': 1, 'record_scores': True}
2026-09-09 19:45:07,317 INFO cli={'dataset': 'ogbn-mag', 'method': 'outpost', 'seed': 7, 'train_seed': None, 'epochs': None, 'set': [], 'tag': 'A_main', 'save_scores': True, 'rotations': [206]}
2026-09-09 19:45:07,317 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 256, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'input_dim': 128, 'K_p': 8, 'drop_out': 0.5, 'num_epochs': 400, 'warmup_epochs': 10, 'use_mixup': True, 'use_halo': True, 'use_atlas_loss': True, 'use_fview_gate': False, 'use_hybrid': False, 'sim_topk_frac': 0.0, 'eval_batch_mult': 1, 'record_scores': True}
2026-09-09 19:47:33,961 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005168280180406702, 'val_auc': 0.4908256046553919} best={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005168280180406702}
2026-09-09 19:48:39,468 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5333739970564508, 'aupr_all': 0.005183008152213521, 'auroc_unknown': 0.5322197179310943, 'aupr_unknown': 0.004943794994859546, 'val_auc': 0.6011002000363703} best={'auroc_all': 0.5333739970564508, 'aupr_all': 0.005183008152213521, 'auroc_unknown': 0.5322197179310943, 'aupr_unknown': 0.004943794994859546}
2026-09-09 19:50:19,402 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5528497855785276, 'aupr_all': 0.0051673253118239264, 'auroc_unknown': 0.5586451173149132, 'aupr_unknown': 0.00507150808893913, 'val_auc': 0.4494408074195308} best={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005168280180406702}
2026-09-09 19:52:08,274 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5355243014722068, 'aupr_all': 0.005232825599028289, 'auroc_unknown': 0.5371634029291286, 'aupr_unknown': 0.005009968950659241, 'val_auc': 0.5908006001091107} best={'auroc_all': 0.5355243014722068, 'aupr_all': 0.005232825599028289, 'auroc_unknown': 0.5371634029291286, 'aupr_unknown': 0.005009968950659241}
2026-09-09 19:53:05,918 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5436439010731544, 'aupr_all': 0.005139546916671122, 'auroc_unknown': 0.5514978706393312, 'aupr_unknown': 0.005069475910786294, 'val_auc': 0.40294599018003274} best={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005168280180406702}
2026-09-09 19:55:13,865 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5168695685541072, 'aupr_all': 0.004978017513148805, 'auroc_unknown': 0.5187489389497891, 'aupr_unknown': 0.004768164500994542, 'val_auc': 0.5719380796508455} best={'auroc_all': 0.5355243014722068, 'aupr_all': 0.005232825599028289, 'auroc_unknown': 0.5371634029291286, 'aupr_unknown': 0.005009968950659241}
2026-09-09 19:56:04,976 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.538846926989656, 'aupr_all': 0.005098424639143268, 'auroc_unknown': 0.5475193285582282, 'aupr_unknown': 0.005034555991702676, 'val_auc': 0.33484042553191484} best={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005168280180406702}
2026-09-09 19:58:32,924 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5204336743792163, 'aupr_all': 0.005036603480523418, 'auroc_unknown': 0.5235877205355096, 'aupr_unknown': 0.0048429147919107525, 'val_auc': 0.5976541189307146} best={'auroc_all': 0.5355243014722068, 'aupr_all': 0.005232825599028289, 'auroc_unknown': 0.5371634029291286, 'aupr_unknown': 0.005009968950659241}
2026-09-09 19:59:04,052 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5389992058657467, 'aupr_all': 0.005114913171846385, 'auroc_unknown': 0.5486302048944572, 'aupr_unknown': 0.005057712645431866, 'val_auc': 0.33335151845790145} best={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005168280180406702}
2026-09-09 20:01:42,586 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5212194417761442, 'aupr_all': 0.005090145375324323, 'auroc_unknown': 0.5242748582838443, 'aupr_unknown': 0.004897173920566421, 'val_auc': 0.5747931442080378} best={'auroc_all': 0.5355243014722068, 'aupr_all': 0.005232825599028289, 'auroc_unknown': 0.5371634029291286, 'aupr_unknown': 0.005009968950659241}
2026-09-09 20:01:44,046 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5407806681166115, 'aupr_all': 0.005146878763403151, 'auroc_unknown': 0.5500887594878067, 'aupr_unknown': 0.005090171263035262, 'val_auc': 0.2946558465175486} best={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005168280180406702}
2026-09-09 20:04:35,334 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5412902387830911, 'aupr_all': 0.0051698127502610314, 'auroc_unknown': 0.5503693846216131, 'aupr_unknown': 0.005109315031879743, 'val_auc': 0.33959810874704494} best={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005168280180406702}
2026-09-09 20:04:50,906 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5231995114378934, 'aupr_all': 0.005141365224046419, 'auroc_unknown': 0.5254867452564294, 'aupr_unknown': 0.004947192773017119, 'val_auc': 0.5796622113111475} best={'auroc_all': 0.5355243014722068, 'aupr_all': 0.005232825599028289, 'auroc_unknown': 0.5371634029291286, 'aupr_unknown': 0.005009968950659241}
2026-09-09 20:07:22,313 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5438862314587437, 'aupr_all': 0.005205437040287231, 'auroc_unknown': 0.553467065461559, 'aupr_unknown': 0.005151689168639761, 'val_auc': 0.32277232224040736} best={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005168280180406702}
2026-09-09 20:07:54,833 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5221556860264238, 'aupr_all': 0.005171548418000351, 'auroc_unknown': 0.5250310709819276, 'aupr_unknown': 0.004987457272611276, 'val_auc': 0.5751704855428259} best={'auroc_all': 0.5355243014722068, 'aupr_all': 0.005232825599028289, 'auroc_unknown': 0.5371634029291286, 'aupr_unknown': 0.005009968950659241}
2026-09-09 20:10:05,396 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5430714054062962, 'aupr_all': 0.0052189025402877755, 'auroc_unknown': 0.5517857860151822, 'aupr_unknown': 0.005157574277879629, 'val_auc': 0.33616112020367345} best={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005168280180406702}
2026-09-09 20:11:21,417 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5269323187898612, 'aupr_all': 0.00527673256689208, 'auroc_unknown': 0.5297339805326721, 'aupr_unknown': 0.005096930584025546, 'val_auc': 0.566216584833606} best={'auroc_all': 0.5355243014722068, 'aupr_all': 0.00527673256689208, 'auroc_unknown': 0.5371634029291286, 'aupr_unknown': 0.005096930584025546}
2026-09-09 20:12:47,034 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5411402180749079, 'aupr_all': 0.0051953744758875195, 'auroc_unknown': 0.5502193355429799, 'aupr_unknown': 0.005136288566478974, 'val_auc': 0.2978700672849609} best={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005168280180406702}
2026-09-09 20:14:35,621 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5256410504151776, 'aupr_all': 0.00528889873479095, 'auroc_unknown': 0.5288533360546064, 'aupr_unknown': 0.005115560832413639, 'val_auc': 0.5677123113293326} best={'auroc_all': 0.5355243014722068, 'aupr_all': 0.00528889873479095, 'auroc_unknown': 0.5371634029291286, 'aupr_unknown': 0.005115560832413639}
2026-09-09 20:17:20,193 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5261040983111801, 'aupr_all': 0.005277639861667752, 'auroc_unknown': 0.5294561413887839, 'aupr_unknown': 0.00510708479151671, 'val_auc': 0.5626386615748317} best={'auroc_all': 0.5355243014722068, 'aupr_all': 0.00528889873479095, 'auroc_unknown': 0.5371634029291286, 'aupr_unknown': 0.005115560832413639}
2026-09-09 20:20:28,694 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5437851690655406, 'aupr_all': 0.005229947658156104, 'auroc_unknown': 0.5527837844611369, 'aupr_unknown': 0.005172138747910437, 'val_auc': 0.3278937079468995} best={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005172138747910437}
2026-09-09 20:24:19,661 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5277995348126621, 'aupr_all': 0.0052677885449661024, 'auroc_unknown': 0.5302160335810389, 'aupr_unknown': 0.005087377681877898, 'val_auc': 0.5677691398436079} best={'auroc_all': 0.5355243014722068, 'aupr_all': 0.00528889873479095, 'auroc_unknown': 0.5371634029291286, 'aupr_unknown': 0.005115560832413639}
2026-09-09 20:28:23,257 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5443873160679497, 'aupr_all': 0.005218853924400728, 'auroc_unknown': 0.5521117356633767, 'aupr_unknown': 0.005148376300172247, 'val_auc': 0.37435670121840336} best={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005172138747910437}
2026-09-09 20:31:21,857 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5330917125332783, 'aupr_all': 0.005318090852251593, 'auroc_unknown': 0.5345085685188274, 'aupr_unknown': 0.005123223050552868, 'val_auc': 0.5806964902709584} best={'auroc_all': 0.5355243014722068, 'aupr_all': 0.005318090852251593, 'auroc_unknown': 0.5371634029291286, 'aupr_unknown': 0.005123223050552868}
2026-09-09 20:35:41,369 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.5462814896290731, 'aupr_all': 0.005220109468018449, 'auroc_unknown': 0.553660506013387, 'aupr_unknown': 0.005147375739015055, 'val_auc': 0.3743907983269686} best={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005172138747910437}
2026-09-09 20:38:27,813 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.5344238093435723, 'aupr_all': 0.005336027735662474, 'auroc_unknown': 0.5358157514729696, 'aupr_unknown': 0.0051328133042752, 'val_auc': 0.5976723040552828} best={'auroc_all': 0.5355243014722068, 'aupr_all': 0.005336027735662474, 'auroc_unknown': 0.5371634029291286, 'aupr_unknown': 0.0051328133042752}
2026-09-09 20:44:02,155 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.5483999310819502, 'aupr_all': 0.005230537963146168, 'auroc_unknown': 0.5548514185595979, 'aupr_unknown': 0.005147973688726409, 'val_auc': 0.37282915075468265} best={'auroc_all': 0.558204614042537, 'aupr_all': 0.005280801563872944, 'auroc_unknown': 0.5619697015009701, 'aupr_unknown': 0.005172138747910437}
2026-09-09 20:45:29,086 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.5409492924715912, 'aupr_all': 0.005387568863345394, 'auroc_unknown': 0.5417449252699233, 'aupr_unknown': 0.005168973582064228, 'val_auc': 0.6261274777232224} best={'auroc_all': 0.5409492924715912, 'aupr_all': 0.005387568863345394, 'auroc_unknown': 0.5417449252699233, 'aupr_unknown': 0.005168973582064228}
