2026-09-10 22:09:11,015 INFO cli={'dataset': 'ogbn-mag', 'method': 'outpost', 'seed': 8, 'train_seed': None, 'epochs': None, 'set': [], 'tag': 'A_main', 'save_scores': True, 'rotations': [143]}
2026-09-10 22:09:11,015 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 256, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'input_dim': 128, 'K_p': 8, 'drop_out': 0.5, 'num_epochs': 400, 'warmup_epochs': 10, 'use_mixup': True, 'use_halo': True, 'use_atlas_loss': True, 'use_fview_gate': False, 'use_hybrid': False, 'sim_topk_frac': 0.0, 'eval_batch_mult': 1, 'record_scores': True}
2026-09-10 22:10:56,986 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.48461644460082504, 'aupr_all': 0.004258798085075988, 'auroc_unknown': 0.4797023241368106, 'aupr_unknown': 0.004019750523715976, 'val_auc': 0.4042075831969449} best={'auroc_all': 0.48461644460082504, 'aupr_all': 0.004258798085075988, 'auroc_unknown': 0.4797023241368106, 'aupr_unknown': 0.004019750523715976}
2026-09-10 22:12:31,771 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5187521770187082, 'aupr_all': 0.004647252207848187, 'auroc_unknown': 0.5219277231943231, 'aupr_unknown': 0.004462584619299051, 'val_auc': 0.2622522276777596} best={'auroc_all': 0.5187521770187082, 'aupr_all': 0.004647252207848187, 'auroc_unknown': 0.5219277231943231, 'aupr_unknown': 0.004462584619299051}
2026-09-10 22:14:08,945 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.522211278511032, 'aupr_all': 0.0047330730381853325, 'auroc_unknown': 0.524412421227353, 'aupr_unknown': 0.004551068619442827, 'val_auc': 0.30270731042007637} best={'auroc_all': 0.522211278511032, 'aupr_all': 0.0047330730381853325, 'auroc_unknown': 0.524412421227353, 'aupr_unknown': 0.004551068619442827}
2026-09-10 22:16:12,772 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5275271192668358, 'aupr_all': 0.004792607532441959, 'auroc_unknown': 0.5295791466775037, 'aupr_unknown': 0.004607513525713687, 'val_auc': 0.3159074377159483} best={'auroc_all': 0.5275271192668358, 'aupr_all': 0.004792607532441959, 'auroc_unknown': 0.5295791466775037, 'aupr_unknown': 0.004607513525713687}
2026-09-10 22:18:19,908 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5229005623004305, 'aupr_all': 0.00474247644228689, 'auroc_unknown': 0.5225361285443085, 'aupr_unknown': 0.004533412574069321, 'val_auc': 0.42328832515002723} best={'auroc_all': 0.5275271192668358, 'aupr_all': 0.004792607532441959, 'auroc_unknown': 0.5295791466775037, 'aupr_unknown': 0.004607513525713687}
2026-09-10 22:20:21,800 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5166063452476108, 'aupr_all': 0.004659555543825291, 'auroc_unknown': 0.5143607494219998, 'aupr_unknown': 0.004439068417957988, 'val_auc': 0.47790052736861244} best={'auroc_all': 0.5275271192668358, 'aupr_all': 0.004792607532441959, 'auroc_unknown': 0.5295791466775037, 'aupr_unknown': 0.004607513525713687}
2026-09-10 22:22:24,872 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.521284054584881, 'aupr_all': 0.0047062236738274876, 'auroc_unknown': 0.517636756236366, 'aupr_unknown': 0.00447164711221717, 'val_auc': 0.4980087288597927} best={'auroc_all': 0.5275271192668358, 'aupr_all': 0.004792607532441959, 'auroc_unknown': 0.5295791466775037, 'aupr_unknown': 0.004607513525713687}
2026-09-10 22:24:22,996 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5211430397162583, 'aupr_all': 0.004707525040527281, 'auroc_unknown': 0.5156338991720605, 'aupr_unknown': 0.004454321908697686, 'val_auc': 0.584319876341153} best={'auroc_all': 0.5275271192668358, 'aupr_all': 0.004792607532441959, 'auroc_unknown': 0.5295791466775037, 'aupr_unknown': 0.004607513525713687}
2026-09-10 22:26:32,791 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5201605110972449, 'aupr_all': 0.0046761844107456344, 'auroc_unknown': 0.5135532445549875, 'aupr_unknown': 0.004410563054245262, 'val_auc': 0.6287438625204582} best={'auroc_all': 0.5275271192668358, 'aupr_all': 0.004792607532441959, 'auroc_unknown': 0.5295791466775037, 'aupr_unknown': 0.004607513525713687}
2026-09-10 22:28:51,371 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.519788075572213, 'aupr_all': 0.004661696858451123, 'auroc_unknown': 0.5125234657003639, 'aupr_unknown': 0.004389160163211504, 'val_auc': 0.6751841243862521} best={'auroc_all': 0.5275271192668358, 'aupr_all': 0.004792607532441959, 'auroc_unknown': 0.5295791466775037, 'aupr_unknown': 0.004607513525713687}
2026-09-10 22:35:19,951 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5208797069444197, 'aupr_all': 0.004688138425766435, 'auroc_unknown': 0.5117590771857995, 'aupr_unknown': 0.0043847494307078785, 'val_auc': 0.7108246953991636} best={'auroc_all': 0.5275271192668358, 'aupr_all': 0.004792607532441959, 'auroc_unknown': 0.5295791466775037, 'aupr_unknown': 0.004607513525713687}
