2026-08-07 12:29:13,734 INFO cli={'dataset': 'photo', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': [], 'tag': 'timing_probe'}
2026-08-07 12:29:13,735 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 745, 'num_epochs': 200, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'sim_topk_frac': 0.0, 'use_fview_gate': False, 'use_hybrid': False}
2026-08-07 12:29:16,365 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.6011443861883744, 'aupr_all': 0.11869998862638448, 'auroc_unknown': 0.38985571174530254, 'aupr_unknown': 0.03561900872144353, 'val_auc': 0.8256038647342996} best={'auroc_all': 0.6011443861883744, 'aupr_all': 0.11869998862638448, 'auroc_unknown': 0.38985571174530254, 'aupr_unknown': 0.03561900872144353}
2026-08-07 12:29:16,728 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6085785765771103, 'aupr_all': 0.12072542195462438, 'auroc_unknown': 0.4033935436022774, 'aupr_unknown': 0.03643863884280337, 'val_auc': 0.8246376811594203} best={'auroc_all': 0.6085785765771103, 'aupr_all': 0.12072542195462438, 'auroc_unknown': 0.4033935436022774, 'aupr_unknown': 0.03643863884280337}
2026-08-07 12:29:17,106 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6079292435597421, 'aupr_all': 0.12023840339624003, 'auroc_unknown': 0.40367096766437605, 'aupr_unknown': 0.03650615515137124, 'val_auc': 0.8415458937198067} best={'auroc_all': 0.6085785765771103, 'aupr_all': 0.12072542195462438, 'auroc_unknown': 0.40367096766437605, 'aupr_unknown': 0.03650615515137124}
2026-08-07 12:29:17,476 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.6086309083009963, 'aupr_all': 0.12116154912840124, 'auroc_unknown': 0.4025714436315919, 'aupr_unknown': 0.03637986728927394, 'val_auc': 0.8347826086956521} best={'auroc_all': 0.6086309083009963, 'aupr_all': 0.12116154912840124, 'auroc_unknown': 0.40367096766437605, 'aupr_unknown': 0.03650615515137124}
2026-08-07 12:29:17,896 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6122824037046911, 'aupr_all': 0.1243592567345671, 'auroc_unknown': 0.40449954086317724, 'aupr_unknown': 0.0365058923030739, 'val_auc': 0.8367149758454107} best={'auroc_all': 0.6122824037046911, 'aupr_all': 0.1243592567345671, 'auroc_unknown': 0.40449954086317724, 'aupr_unknown': 0.03650615515137124}
2026-08-07 12:29:19,424 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.6143582698934604, 'aupr_all': 0.12657951706886006, 'auroc_unknown': 0.4033221069062871, 'aupr_unknown': 0.036447719351720934, 'val_auc': 0.8347826086956521} best={'auroc_all': 0.6143582698934604, 'aupr_all': 0.12657951706886006, 'auroc_unknown': 0.40449954086317724, 'aupr_unknown': 0.03650615515137124}
2026-08-07 12:29:20,902 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.6159359973142964, 'aupr_all': 0.12872450100177388, 'auroc_unknown': 0.3988576601869653, 'aupr_unknown': 0.03623221911165644, 'val_auc': 0.842512077294686} best={'auroc_all': 0.6159359973142964, 'aupr_all': 0.12872450100177388, 'auroc_unknown': 0.40449954086317724, 'aupr_unknown': 0.03650615515137124}
2026-08-07 12:29:22,376 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6165518824609734, 'aupr_all': 0.1307694973916007, 'auroc_unknown': 0.399285355616034, 'aupr_unknown': 0.03620892953336383, 'val_auc': 0.8502415458937199} best={'auroc_all': 0.6165518824609734, 'aupr_all': 0.1307694973916007, 'auroc_unknown': 0.40449954086317724, 'aupr_unknown': 0.03650615515137124}
2026-08-07 12:29:23,848 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.6272049675642051, 'aupr_all': 0.13546248789166812, 'auroc_unknown': 0.4113038283595823, 'aupr_unknown': 0.036883395709599684, 'val_auc': 0.8637681159420291} best={'auroc_all': 0.6272049675642051, 'aupr_all': 0.13546248789166812, 'auroc_unknown': 0.4113038283595823, 'aupr_unknown': 0.036883395709599684}
2026-08-07 12:29:25,342 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.6290184345902822, 'aupr_all': 0.14125168012756267, 'auroc_unknown': 0.4048541812892266, 'aupr_unknown': 0.036547983241501866, 'val_auc': 0.8840579710144928} best={'auroc_all': 0.6290184345902822, 'aupr_all': 0.14125168012756267, 'auroc_unknown': 0.4113038283595823, 'aupr_unknown': 0.036883395709599684}
2026-08-07 12:29:26,834 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.6269535531265737, 'aupr_all': 0.14737170872116384, 'auroc_unknown': 0.3917075173598107, 'aupr_unknown': 0.035735930667884885, 'val_auc': 0.8864734299516908} best={'auroc_all': 0.6290184345902822, 'aupr_all': 0.14737170872116384, 'auroc_unknown': 0.4113038283595823, 'aupr_unknown': 0.036883395709599684}
