2026-08-17 02:54:35,147 INFO cli={'dataset': 'photo', 'method': 'outpost', 'seed': 7, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false', 'use_pl=false'], 'tag': 'L_lean', 'rotations': None}
2026-08-17 02:54:35,147 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': False, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 745, 'num_epochs': 200, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'sim_topk_frac': 0.0, 'use_fview_gate': False, 'use_hybrid': False}
2026-08-17 02:54:36,752 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5892599010634201, 'aupr_all': 0.11034423963746146, 'auroc_unknown': 0.39320121474749326, 'aupr_unknown': 0.03585775942877419, 'val_auc': 0.8231884057971015} best={'auroc_all': 0.5892599010634201, 'aupr_all': 0.11034423963746146, 'auroc_unknown': 0.39320121474749326, 'aupr_unknown': 0.03585775942877419}
2026-08-17 02:54:37,108 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6000754119889018, 'aupr_all': 0.11645089429108892, 'auroc_unknown': 0.394351137484892, 'aupr_unknown': 0.035926141382858254, 'val_auc': 0.8628019323671499} best={'auroc_all': 0.6000754119889018, 'aupr_all': 0.11645089429108892, 'auroc_unknown': 0.394351137484892, 'aupr_unknown': 0.035926141382858254}
2026-08-17 02:54:37,454 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6039520325444079, 'aupr_all': 0.11927146636518862, 'auroc_unknown': 0.39867825929347483, 'aupr_unknown': 0.036210717269787286, 'val_auc': 0.8507246376811595} best={'auroc_all': 0.6039520325444079, 'aupr_all': 0.11927146636518862, 'auroc_unknown': 0.39867825929347483, 'aupr_unknown': 0.036210717269787286}
2026-08-17 02:54:37,854 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.6101725959497221, 'aupr_all': 0.12121218313719859, 'auroc_unknown': 0.4090298757972475, 'aupr_unknown': 0.036741657673351955, 'val_auc': 0.857487922705314} best={'auroc_all': 0.6101725959497221, 'aupr_all': 0.12121218313719859, 'auroc_unknown': 0.4090298757972475, 'aupr_unknown': 0.036741657673351955}
2026-08-17 02:54:38,384 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6096049695389871, 'aupr_all': 0.12166080679118357, 'auroc_unknown': 0.4019086313098947, 'aupr_unknown': 0.036384171105282186, 'val_auc': 0.8623188405797102} best={'auroc_all': 0.6101725959497221, 'aupr_all': 0.12166080679118357, 'auroc_unknown': 0.4090298757972475, 'aupr_unknown': 0.036741657673351955}
2026-08-17 02:54:38,886 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.6102684963022206, 'aupr_all': 0.12388890088103174, 'auroc_unknown': 0.4033204885992582, 'aupr_unknown': 0.03643967717692237, 'val_auc': 0.8710144927536232} best={'auroc_all': 0.6102684963022206, 'aupr_all': 0.12388890088103174, 'auroc_unknown': 0.4090298757972475, 'aupr_unknown': 0.036741657673351955}
2026-08-17 02:54:39,272 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.6146285681842867, 'aupr_all': 0.12609937801846235, 'auroc_unknown': 0.4025878578885994, 'aupr_unknown': 0.03643299012868893, 'val_auc': 0.8657004830917874} best={'auroc_all': 0.6146285681842867, 'aupr_all': 0.12609937801846235, 'auroc_unknown': 0.4090298757972475, 'aupr_unknown': 0.036741657673351955}
2026-08-17 02:54:39,629 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6198761811665038, 'aupr_all': 0.13253638063788392, 'auroc_unknown': 0.4037713027001684, 'aupr_unknown': 0.03644245730765598, 'val_auc': 0.8821256038647343} best={'auroc_all': 0.6198761811665038, 'aupr_all': 0.13253638063788392, 'auroc_unknown': 0.4090298757972475, 'aupr_unknown': 0.036741657673351955}
2026-08-17 02:54:40,004 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.6194425930862881, 'aupr_all': 0.1336844304073065, 'auroc_unknown': 0.3961770501869376, 'aupr_unknown': 0.036130027662434436, 'val_auc': 0.8840579710144928} best={'auroc_all': 0.6198761811665038, 'aupr_all': 0.1336844304073065, 'auroc_unknown': 0.4090298757972475, 'aupr_unknown': 0.036741657673351955}
2026-08-17 02:54:40,372 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.6233362461368326, 'aupr_all': 0.139330855849219, 'auroc_unknown': 0.39445771456208145, 'aupr_unknown': 0.036068713401107136, 'val_auc': 0.8816425120772947} best={'auroc_all': 0.6233362461368326, 'aupr_all': 0.139330855849219, 'auroc_unknown': 0.4090298757972475, 'aupr_unknown': 0.036741657673351955}
2026-08-17 02:54:40,784 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.6322105463234495, 'aupr_all': 0.15001341009643018, 'auroc_unknown': 0.3979183485500431, 'aupr_unknown': 0.03618356138904387, 'val_auc': 0.9077294685990338} best={'auroc_all': 0.6322105463234495, 'aupr_all': 0.15001341009643018, 'auroc_unknown': 0.4090298757972475, 'aupr_unknown': 0.036741657673351955}
