2026-09-05 21:55:24,723 INFO cli={'dataset': 'photo', 'method': 'outpost', 'seed': 5, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false', 'num_epochs=400'], 'tag': 'E400_nogate', 'rotations': [0]}
2026-09-05 21:55:24,723 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 745, 'num_epochs': 400, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'sim_topk_frac': 0.0, 'use_fview_gate': False, 'use_hybrid': False}
2026-09-05 21:55:24,729 INFO cli={'dataset': 'photo', 'method': 'outpost', 'seed': 4, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false', 'num_epochs=400'], 'tag': 'E400_nogate', 'rotations': [7]}
2026-09-05 21:55:24,729 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 745, 'num_epochs': 400, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'sim_topk_frac': 0.0, 'use_fview_gate': False, 'use_hybrid': False}
2026-09-05 21:55:25,999 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5710741333175351, 'aupr_all': 0.09744447660093107, 'auroc_unknown': 0.4192839315058486, 'aupr_unknown': 0.03735641182577922, 'val_auc': 0.7632850241545894} best={'auroc_all': 0.5710741333175351, 'aupr_all': 0.09744447660093107, 'auroc_unknown': 0.4192839315058486, 'aupr_unknown': 0.03735641182577922}
2026-09-05 21:55:26,081 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.6593294874453233, 'aupr_all': 0.14165521233846037, 'auroc_unknown': 0.8293487556852916, 'aupr_unknown': 0.15508604687095345, 'val_auc': 0.3536231884057971} best={'auroc_all': 0.6593294874453233, 'aupr_all': 0.14165521233846037, 'auroc_unknown': 0.8293487556852916, 'aupr_unknown': 0.15508604687095345}
2026-09-05 21:55:26,378 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6008097840575847, 'aupr_all': 0.11500552334747964, 'auroc_unknown': 0.40774863900378866, 'aupr_unknown': 0.03669623946749633, 'val_auc': 0.8458937198067633} best={'auroc_all': 0.6008097840575847, 'aupr_all': 0.11500552334747964, 'auroc_unknown': 0.4192839315058486, 'aupr_unknown': 0.03735641182577922}
2026-09-05 21:55:26,425 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6654722938080709, 'aupr_all': 0.14312011627753557, 'auroc_unknown': 0.8248181494670777, 'aupr_unknown': 0.1526712983279708, 'val_auc': 0.36376811594202896} best={'auroc_all': 0.6654722938080709, 'aupr_all': 0.14312011627753557, 'auroc_unknown': 0.8293487556852916, 'aupr_unknown': 0.15508604687095345}
2026-09-05 21:55:26,744 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6032126000967644, 'aupr_all': 0.11799986733910288, 'auroc_unknown': 0.4017639084241666, 'aupr_unknown': 0.03638562849745546, 'val_auc': 0.8487922705314009} best={'auroc_all': 0.6032126000967644, 'aupr_all': 0.11799986733910288, 'auroc_unknown': 0.4192839315058486, 'aupr_unknown': 0.03735641182577922}
2026-09-05 21:55:26,783 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.660678263574158, 'aupr_all': 0.14161692997499095, 'auroc_unknown': 0.8276277184259445, 'aupr_unknown': 0.1530454419712745, 'val_auc': 0.4125603864734299} best={'auroc_all': 0.6654722938080709, 'aupr_all': 0.14312011627753557, 'auroc_unknown': 0.8293487556852916, 'aupr_unknown': 0.15508604687095345}
2026-09-05 21:55:27,098 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.604780453607433, 'aupr_all': 0.11919062159386476, 'auroc_unknown': 0.4043779366492906, 'aupr_unknown': 0.03650845179682953, 'val_auc': 0.8507246376811595} best={'auroc_all': 0.604780453607433, 'aupr_all': 0.11919062159386476, 'auroc_unknown': 0.4192839315058486, 'aupr_unknown': 0.03735641182577922}
2026-09-05 21:55:27,159 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.665273828213711, 'aupr_all': 0.1466581933562651, 'auroc_unknown': 0.8401320422754273, 'aupr_unknown': 0.16399808541702462, 'val_auc': 0.3516908212560387} best={'auroc_all': 0.6654722938080709, 'aupr_all': 0.1466581933562651, 'auroc_unknown': 0.8401320422754273, 'aupr_unknown': 0.16399808541702462}
2026-09-05 21:55:27,684 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6023000039495641, 'aupr_all': 0.11876885743409349, 'auroc_unknown': 0.3988655205353915, 'aupr_unknown': 0.03623187090127167, 'val_auc': 0.8492753623188406} best={'auroc_all': 0.604780453607433, 'aupr_all': 0.11919062159386476, 'auroc_unknown': 0.4192839315058486, 'aupr_unknown': 0.03735641182577922}
2026-09-05 21:55:27,853 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6673440169041341, 'aupr_all': 0.1472712529789686, 'auroc_unknown': 0.8388612245473541, 'aupr_unknown': 0.16343446593037933, 'val_auc': 0.41787439613526567} best={'auroc_all': 0.6673440169041341, 'aupr_all': 0.1472712529789686, 'auroc_unknown': 0.8401320422754273, 'aupr_unknown': 0.16399808541702462}
2026-09-05 21:55:29,912 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.6115516109284438, 'aupr_all': 0.12415983322613333, 'auroc_unknown': 0.40745410712452734, 'aupr_unknown': 0.03664661155084262, 'val_auc': 0.8724637681159421} best={'auroc_all': 0.6115516109284438, 'aupr_all': 0.12415983322613333, 'auroc_unknown': 0.4192839315058486, 'aupr_unknown': 0.03735641182577922}
2026-09-05 21:55:30,123 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.6699219714249041, 'aupr_all': 0.14899179342593638, 'auroc_unknown': 0.841134511743036, 'aupr_unknown': 0.16719476942963807, 'val_auc': 0.3599033816425121} best={'auroc_all': 0.6699219714249041, 'aupr_all': 0.14899179342593638, 'auroc_unknown': 0.841134511743036, 'aupr_unknown': 0.16719476942963807}
2026-09-05 21:55:32,163 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.6121751483555002, 'aupr_all': 0.12594435467017123, 'auroc_unknown': 0.40422997714950476, 'aupr_unknown': 0.03652044514979137, 'val_auc': 0.857487922705314} best={'auroc_all': 0.6121751483555002, 'aupr_all': 0.12594435467017123, 'auroc_unknown': 0.4192839315058486, 'aupr_unknown': 0.03735641182577922}
