2026-09-05 22:11:23,366 INFO cli={'dataset': 'photo', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false', 'num_epochs=400'], 'tag': 'E400_nogate', 'rotations': [0]}
2026-09-05 22:11:23,366 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 745, 'num_epochs': 400, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'sim_topk_frac': 0.0, 'use_fview_gate': False, 'use_hybrid': False}
2026-09-05 22:11:25,085 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.6040410211597894, 'aupr_all': 0.11938740799504598, 'auroc_unknown': 0.3962420136548123, 'aupr_unknown': 0.03597534641437196, 'val_auc': 0.8458937198067633} best={'auroc_all': 0.6040410211597894, 'aupr_all': 0.11938740799504598, 'auroc_unknown': 0.3962420136548123, 'aupr_unknown': 0.03597534641437196}
2026-09-05 22:11:25,557 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6040785420184247, 'aupr_all': 0.11887646631470418, 'auroc_unknown': 0.39599395030595247, 'aupr_unknown': 0.036030329796543165, 'val_auc': 0.8449275362318841} best={'auroc_all': 0.6040785420184247, 'aupr_all': 0.11938740799504598, 'auroc_unknown': 0.3962420136548123, 'aupr_unknown': 0.036030329796543165}
2026-09-05 22:11:26,028 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6031181808307908, 'aupr_all': 0.11962006372153243, 'auroc_unknown': 0.39406608426108564, 'aupr_unknown': 0.03593408561933611, 'val_auc': 0.8386473429951691} best={'auroc_all': 0.6040785420184247, 'aupr_all': 0.11962006372153243, 'auroc_unknown': 0.3962420136548123, 'aupr_unknown': 0.036030329796543165}
2026-09-05 22:11:26,523 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.6096528580032978, 'aupr_all': 0.12173048651198329, 'auroc_unknown': 0.4029122128545364, 'aupr_unknown': 0.03645030638457171, 'val_auc': 0.8294685990338164} best={'auroc_all': 0.6096528580032978, 'aupr_all': 0.12173048651198329, 'auroc_unknown': 0.4029122128545364, 'aupr_unknown': 0.03645030638457171}
2026-09-05 22:11:27,336 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6054217640727905, 'aupr_all': 0.1219108414613764, 'auroc_unknown': 0.39543794624816325, 'aupr_unknown': 0.036033684012867474, 'val_auc': 0.8386473429951691} best={'auroc_all': 0.6096528580032978, 'aupr_all': 0.1219108414613764, 'auroc_unknown': 0.4029122128545364, 'aupr_unknown': 0.03645030638457171}
2026-09-05 22:11:29,818 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.6154541504981388, 'aupr_all': 0.12564063788860896, 'auroc_unknown': 0.4087917534772795, 'aupr_unknown': 0.03678403477279648, 'val_auc': 0.8265700483091787} best={'auroc_all': 0.6154541504981388, 'aupr_all': 0.12564063788860896, 'auroc_unknown': 0.4087917534772795, 'aupr_unknown': 0.03678403477279648}
2026-09-05 22:11:32,257 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.6158626835313052, 'aupr_all': 0.1286356686966844, 'auroc_unknown': 0.40192042183253396, 'aupr_unknown': 0.036358917323594905, 'val_auc': 0.8473429951690822} best={'auroc_all': 0.6158626835313052, 'aupr_all': 0.1286356686966844, 'auroc_unknown': 0.4087917534772795, 'aupr_unknown': 0.03678403477279648}
2026-09-05 22:11:34,596 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.61902776543539, 'aupr_all': 0.1298860207488418, 'auroc_unknown': 0.40307126931680626, 'aupr_unknown': 0.03646093667964793, 'val_auc': 0.8565217391304348} best={'auroc_all': 0.61902776543539, 'aupr_all': 0.1298860207488418, 'auroc_unknown': 0.4087917534772795, 'aupr_unknown': 0.03678403477279648}
2026-09-05 22:11:37,046 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.6171197557194624, 'aupr_all': 0.13231062391419107, 'auroc_unknown': 0.39418653254138014, 'aupr_unknown': 0.03597027632490491, 'val_auc': 0.8623188405797101} best={'auroc_all': 0.61902776543539, 'aupr_all': 0.13231062391419107, 'auroc_unknown': 0.4087917534772795, 'aupr_unknown': 0.03678403477279648}
2026-09-05 22:11:39,467 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.6303573368089497, 'aupr_all': 0.13949493595492596, 'auroc_unknown': 0.41047479278734433, 'aupr_unknown': 0.036879444960389245, 'val_auc': 0.872463768115942} best={'auroc_all': 0.6303573368089497, 'aupr_all': 0.13949493595492596, 'auroc_unknown': 0.41047479278734433, 'aupr_unknown': 0.036879444960389245}
2026-09-05 22:11:41,940 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.632383463175252, 'aupr_all': 0.1464038164203262, 'auroc_unknown': 0.4035921329933964, 'aupr_unknown': 0.03643399286928402, 'val_auc': 0.8840579710144928} best={'auroc_all': 0.632383463175252, 'aupr_all': 0.1464038164203262, 'auroc_unknown': 0.41047479278734433, 'aupr_unknown': 0.036879444960389245}
