2026-09-07 04:37:15,934 INFO cli={'dataset': 'photo', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['lambda_un=0.5', 'num_epochs=400'], 'tag': 'E400_T_lambda_un0.5', 'save_scores': True, 'rotations': [7]}
2026-09-07 04:37:15,934 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 0.5, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 745, 'num_epochs': 400, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'sim_topk_frac': 0.0, 'use_fview_gate': False, 'use_hybrid': False, 'record_scores': True}
2026-09-07 04:37:17,536 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.6512644776207827, 'aupr_all': 0.14082080578648207, 'auroc_unknown': 0.8353243778841218, 'aupr_unknown': 0.15842733224882483, 'val_auc': 0.3695652173913043} best={'auroc_all': 0.6512644776207827, 'aupr_all': 0.14082080578648207, 'auroc_unknown': 0.8353243778841218, 'aupr_unknown': 0.15842733224882483}
2026-09-07 04:37:17,810 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.654540517590371, 'aupr_all': 0.1390572293606921, 'auroc_unknown': 0.8336062439289834, 'aupr_unknown': 0.15418747914505102, 'val_auc': 0.3676328502415459} best={'auroc_all': 0.654540517590371, 'aupr_all': 0.14082080578648207, 'auroc_unknown': 0.8353243778841218, 'aupr_unknown': 0.15842733224882483}
2026-09-07 04:37:18,096 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6493760923013122, 'aupr_all': 0.13830264867789643, 'auroc_unknown': 0.8277560859477588, 'aupr_unknown': 0.15394981816478984, 'val_auc': 0.4091787439613527} best={'auroc_all': 0.654540517590371, 'aupr_all': 0.14082080578648207, 'auroc_unknown': 0.8353243778841218, 'aupr_unknown': 0.15842733224882483}
2026-09-07 04:37:18,380 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.6633848257748551, 'aupr_all': 0.14608427035588906, 'auroc_unknown': 0.8396023966361488, 'aupr_unknown': 0.16370755070799098, 'val_auc': 0.4289855072463768} best={'auroc_all': 0.6633848257748551, 'aupr_all': 0.14608427035588906, 'auroc_unknown': 0.8396023966361488, 'aupr_unknown': 0.16370755070799098}
2026-09-07 04:37:18,843 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6568539747425378, 'aupr_all': 0.14327251570392924, 'auroc_unknown': 0.8311347025315984, 'aupr_unknown': 0.1599530696754456, 'val_auc': 0.4048309178743962} best={'auroc_all': 0.6633848257748551, 'aupr_all': 0.14608427035588906, 'auroc_unknown': 0.8396023966361488, 'aupr_unknown': 0.16370755070799098}
2026-09-07 04:37:20,153 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.6564232254114952, 'aupr_all': 0.14204036263475261, 'auroc_unknown': 0.8300148566223954, 'aupr_unknown': 0.15775801297886155, 'val_auc': 0.41932367149758454} best={'auroc_all': 0.6633848257748551, 'aupr_all': 0.14608427035588906, 'auroc_unknown': 0.8396023966361488, 'aupr_unknown': 0.16370755070799098}
2026-09-07 04:37:21,372 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.6589645230407694, 'aupr_all': 0.14313044655679935, 'auroc_unknown': 0.8290314660110176, 'aupr_unknown': 0.15786712322863555, 'val_auc': 0.42125603864734296} best={'auroc_all': 0.6633848257748551, 'aupr_all': 0.14608427035588906, 'auroc_unknown': 0.8396023966361488, 'aupr_unknown': 0.16370755070799098}
2026-09-07 04:37:23,202 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6640073758108949, 'aupr_all': 0.14531896751542828, 'auroc_unknown': 0.8353440788769687, 'aupr_unknown': 0.16206855319227761, 'val_auc': 0.39710144927536234} best={'auroc_all': 0.6640073758108949, 'aupr_all': 0.14608427035588906, 'auroc_unknown': 0.8396023966361488, 'aupr_unknown': 0.16370755070799098}
2026-09-07 04:37:25,028 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.6623284408108454, 'aupr_all': 0.14384109438084391, 'auroc_unknown': 0.8302983435405213, 'aupr_unknown': 0.1577893252640057, 'val_auc': 0.41304347826086957} best={'auroc_all': 0.6640073758108949, 'aupr_all': 0.14608427035588906, 'auroc_unknown': 0.8396023966361488, 'aupr_unknown': 0.16370755070799098}
2026-09-07 04:37:26,795 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.6653187545049715, 'aupr_all': 0.14303371085054084, 'auroc_unknown': 0.8270354443672995, 'aupr_unknown': 0.1557504512353098, 'val_auc': 0.436231884057971} best={'auroc_all': 0.6653187545049715, 'aupr_all': 0.14608427035588906, 'auroc_unknown': 0.8396023966361488, 'aupr_unknown': 0.16370755070799098}
2026-09-07 04:37:28,640 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.6649663793358809, 'aupr_all': 0.14175354842701246, 'auroc_unknown': 0.8209009699524604, 'aupr_unknown': 0.15147843183084705, 'val_auc': 0.4536231884057971} best={'auroc_all': 0.6653187545049715, 'aupr_all': 0.14608427035588906, 'auroc_unknown': 0.8396023966361488, 'aupr_unknown': 0.16370755070799098}
2026-09-07 04:37:30,478 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.6651453439576606, 'aupr_all': 0.13893922261901215, 'auroc_unknown': 0.8097603695657403, 'aupr_unknown': 0.1439714784336068, 'val_auc': 0.4603864734299517} best={'auroc_all': 0.6653187545049715, 'aupr_all': 0.14608427035588906, 'auroc_unknown': 0.8396023966361488, 'aupr_unknown': 0.16370755070799098}
2026-09-07 04:37:32,334 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.6624429781687846, 'aupr_all': 0.1357963426836244, 'auroc_unknown': 0.7905850821593615, 'aupr_unknown': 0.13441850797724997, 'val_auc': 0.5101449275362319} best={'auroc_all': 0.6653187545049715, 'aupr_all': 0.14608427035588906, 'auroc_unknown': 0.8396023966361488, 'aupr_unknown': 0.16370755070799098}
2026-09-07 04:37:34,261 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.6462776592908557, 'aupr_all': 0.1208889624887457, 'auroc_unknown': 0.7204161596253243, 'aupr_unknown': 0.09876034052110572, 'val_auc': 0.5507246376811594} best={'auroc_all': 0.6653187545049715, 'aupr_all': 0.14608427035588906, 'auroc_unknown': 0.8396023966361488, 'aupr_unknown': 0.16370755070799098}
