2026-09-07 05:05:21,687 INFO cli={'dataset': 'photo', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['hidden_dim=32', 'num_epochs=400'], 'tag': 'E400_T_hidden32', 'save_scores': True, 'rotations': [7]}
2026-09-07 05:05:21,687 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 745, 'num_epochs': 400, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'sim_topk_frac': 0.0, 'use_fview_gate': False, 'use_hybrid': False, 'record_scores': True}
2026-09-07 05:05:22,208 INFO cli={'dataset': 'photo', 'method': 'outpost', 'seed': 42, 'train_seed': None, 'epochs': None, 'set': ['hidden_dim=32', 'num_epochs=400'], 'tag': 'E400_T_hidden32', 'save_scores': True, 'rotations': [0]}
2026-09-07 05:05:22,209 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 745, 'num_epochs': 400, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'sim_topk_frac': 0.0, 'use_fview_gate': False, 'use_hybrid': False, 'record_scores': True}
2026-09-07 05:05:23,060 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.6735306387432487, 'aupr_all': 0.15092004989172428, 'auroc_unknown': 0.8343851589724958, 'aupr_unknown': 0.1653619675241796, 'val_auc': 0.408695652173913} best={'auroc_all': 0.6735306387432487, 'aupr_all': 0.15092004989172428, 'auroc_unknown': 0.8343851589724958, 'aupr_unknown': 0.1653619675241796}
2026-09-07 05:05:23,415 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6673184681615766, 'aupr_all': 0.147744925709126, 'auroc_unknown': 0.847163015554245, 'aupr_unknown': 0.16637974785827012, 'val_auc': 0.40869565217391307} best={'auroc_all': 0.6735306387432487, 'aupr_all': 0.15092004989172428, 'auroc_unknown': 0.847163015554245, 'aupr_unknown': 0.16637974785827012}
2026-09-07 05:05:23,654 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5345718919399272, 'aupr_all': 0.08742586252140508, 'auroc_unknown': 0.37923083254036294, 'aupr_unknown': 0.03508896202078017, 'val_auc': 0.7246376811594203} best={'auroc_all': 0.5345718919399272, 'aupr_all': 0.08742586252140508, 'auroc_unknown': 0.37923083254036294, 'aupr_unknown': 0.03508896202078017}
2026-09-07 05:05:23,783 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6727926873821302, 'aupr_all': 0.15518606059738677, 'auroc_unknown': 0.8592036402457689, 'aupr_unknown': 0.1804962920754943, 'val_auc': 0.3985507246376811} best={'auroc_all': 0.6735306387432487, 'aupr_all': 0.15518606059738677, 'auroc_unknown': 0.8592036402457689, 'aupr_unknown': 0.1804962920754943}
2026-09-07 05:05:24,010 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5778651618827573, 'aupr_all': 0.10368308989602248, 'auroc_unknown': 0.3857868255011897, 'aupr_unknown': 0.035514252335522994, 'val_auc': 0.793719806763285} best={'auroc_all': 0.5778651618827573, 'aupr_all': 0.10368308989602248, 'auroc_unknown': 0.3857868255011897, 'aupr_unknown': 0.035514252335522994}
2026-09-07 05:05:24,149 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.6706827562032841, 'aupr_all': 0.15187678200888838, 'auroc_unknown': 0.8527933519310705, 'aupr_unknown': 0.17410247538733378, 'val_auc': 0.39855072463768115} best={'auroc_all': 0.6735306387432487, 'aupr_all': 0.15518606059738677, 'auroc_unknown': 0.8592036402457689, 'aupr_unknown': 0.1804962920754943}
2026-09-07 05:05:24,427 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5913888395193381, 'aupr_all': 0.10992237453358106, 'auroc_unknown': 0.3985728381498774, 'aupr_unknown': 0.03619485734311817, 'val_auc': 0.7927536231884058} best={'auroc_all': 0.5913888395193381, 'aupr_all': 0.10992237453358106, 'auroc_unknown': 0.3985728381498774, 'aupr_unknown': 0.03619485734311817}
2026-09-07 05:05:24,735 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6659480928542512, 'aupr_all': 0.15201858492029469, 'auroc_unknown': 0.8524725368159711, 'aupr_unknown': 0.1755029485724403, 'val_auc': 0.38357487922705313} best={'auroc_all': 0.6735306387432487, 'aupr_all': 0.15518606059738677, 'auroc_unknown': 0.8592036402457689, 'aupr_unknown': 0.1804962920754943}
2026-09-07 05:05:24,763 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5938375692407951, 'aupr_all': 0.11212034083817976, 'auroc_unknown': 0.3979229722844114, 'aupr_unknown': 0.03614397744287505, 'val_auc': 0.7995169082125605} best={'auroc_all': 0.5938375692407951, 'aupr_all': 0.11212034083817976, 'auroc_unknown': 0.3985728381498774, 'aupr_unknown': 0.03619485734311817}
2026-09-07 05:05:25,335 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5930764141907836, 'aupr_all': 0.11143150363339467, 'auroc_unknown': 0.3962924123594269, 'aupr_unknown': 0.03605403605704519, 'val_auc': 0.8246376811594204} best={'auroc_all': 0.5938375692407951, 'aupr_all': 0.11212034083817976, 'auroc_unknown': 0.3985728381498774, 'aupr_unknown': 0.03619485734311817}
2026-09-07 05:05:26,503 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.6700129348223189, 'aupr_all': 0.14994964286695195, 'auroc_unknown': 0.8479628758638368, 'aupr_unknown': 0.17043257074216725, 'val_auc': 0.3971014492753623} best={'auroc_all': 0.6735306387432487, 'aupr_all': 0.15518606059738677, 'auroc_unknown': 0.8592036402457689, 'aupr_unknown': 0.1804962920754943}
