2026-09-07 06:06:37,937 INFO cli={'dataset': 'photo', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['lr=0.003', 'num_epochs=400'], 'tag': 'E400_T_lr0.003', 'save_scores': True, 'rotations': [0]}
2026-09-07 06:06:37,938 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.003, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 745, 'num_epochs': 400, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'sim_topk_frac': 0.0, 'use_fview_gate': False, 'use_hybrid': False, 'record_scores': True}
2026-09-07 06:06:39,544 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5911979027814804, 'aupr_all': 0.1050096825660576, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.040235709289703464, 'val_auc': 0.7140096618357487} best={'auroc_all': 0.5911979027814804, 'aupr_all': 0.1050096825660576, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.040235709289703464}
2026-09-07 06:06:40,010 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6089029345261017, 'aupr_all': 0.11987214683736078, 'auroc_unknown': 0.40489394540479406, 'aupr_unknown': 0.03652579384758888, 'val_auc': 0.8468599033816425} best={'auroc_all': 0.6089029345261017, 'aupr_all': 0.11987214683736078, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.040235709289703464}
2026-09-07 06:06:40,462 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6079519535531266, 'aupr_all': 0.12033943079569798, 'auroc_unknown': 0.3997602131356594, 'aupr_unknown': 0.036325838871107255, 'val_auc': 0.8405797101449276} best={'auroc_all': 0.6089029345261017, 'aupr_all': 0.12033943079569798, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.040235709289703464}
2026-09-07 06:06:40,893 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.6067204301075269, 'aupr_all': 0.12235776283422242, 'auroc_unknown': 0.3953870851701118, 'aupr_unknown': 0.036007199734095274, 'val_auc': 0.8502415458937198} best={'auroc_all': 0.6089029345261017, 'aupr_all': 0.12235776283422242, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.040235709289703464}
2026-09-07 06:06:41,703 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6150045173139014, 'aupr_all': 0.1261126373936963, 'auroc_unknown': 0.4010259604189843, 'aupr_unknown': 0.036387368625000985, 'val_auc': 0.8478260869565218} best={'auroc_all': 0.6150045173139014, 'aupr_all': 0.1261126373936963, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.040235709289703464}
2026-09-07 06:06:44,240 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.6154659991903394, 'aupr_all': 0.12981212071316794, 'auroc_unknown': 0.3971547388191167, 'aupr_unknown': 0.03608807025216847, 'val_auc': 0.8468599033816425} best={'auroc_all': 0.6154659991903394, 'aupr_all': 0.12981212071316794, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.040235709289703464}
2026-09-07 06:06:46,598 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.6151138708690029, 'aupr_all': 0.13295021116531117, 'auroc_unknown': 0.3923028231597306, 'aupr_unknown': 0.035904608225855096, 'val_auc': 0.872463768115942} best={'auroc_all': 0.6154659991903394, 'aupr_all': 0.13295021116531117, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.040235709289703464}
2026-09-07 06:06:48,937 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6072989178194457, 'aupr_all': 0.13215354533196633, 'auroc_unknown': 0.38493721431101274, 'aupr_unknown': 0.035339497665398505, 'val_auc': 0.8980676328502416} best={'auroc_all': 0.6154659991903394, 'aupr_all': 0.13295021116531117, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.040235709289703464}
2026-09-07 06:06:51,245 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.437271295555753, 'aupr_all': 0.07262403854042249, 'auroc_unknown': 0.43586394939045303, 'aupr_unknown': 0.04229590820512159, 'val_auc': 0.4304347826086957} best={'auroc_all': 0.6154659991903394, 'aupr_all': 0.13295021116531117, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.04229590820512159}
2026-09-07 06:06:53,557 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.4570271384420944, 'aupr_all': 0.07585129945619909, 'auroc_unknown': 0.42217931396728425, 'aupr_unknown': 0.04170046567621272, 'val_auc': 0.5531400966183575} best={'auroc_all': 0.6154659991903394, 'aupr_all': 0.13295021116531117, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.04229590820512159}
2026-09-07 06:06:55,905 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5963427036740819, 'aupr_all': 0.1260683918517745, 'auroc_unknown': 0.37216507286542994, 'aupr_unknown': 0.034638171775955455, 'val_auc': 0.9053140096618358} best={'auroc_all': 0.6154659991903394, 'aupr_all': 0.13295021116531117, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.04229590820512159}
2026-09-07 06:06:58,234 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.6223465100664515, 'aupr_all': 0.14074836425676784, 'auroc_unknown': 0.392422115506433, 'aupr_unknown': 0.03595891169659395, 'val_auc': 0.8990338164251208} best={'auroc_all': 0.6223465100664515, 'aupr_all': 0.14074836425676784, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.04229590820512159}
2026-09-07 06:07:00,555 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.6312529004611116, 'aupr_all': 0.14819768256701854, 'auroc_unknown': 0.39980922471996355, 'aupr_unknown': 0.03627739851608917, 'val_auc': 0.8932367149758456} best={'auroc_all': 0.6312529004611116, 'aupr_all': 0.14819768256701854, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.04229590820512159}
2026-09-07 06:07:02,436 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.6405322778123363, 'aupr_all': 0.15434156436245416, 'auroc_unknown': 0.4110062910529815, 'aupr_unknown': 0.03687847497323243, 'val_auc': 0.8845410628019323} best={'auroc_all': 0.6405322778123363, 'aupr_all': 0.15434156436245416, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.04229590820512159}
2026-09-07 06:07:04,135 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.642214174985436, 'aupr_all': 0.1557059730733556, 'auroc_unknown': 0.413840871407474, 'aupr_unknown': 0.03710029551460862, 'val_auc': 0.8835748792270531} best={'auroc_all': 0.642214174985436, 'aupr_all': 0.1557059730733556, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.04229590820512159}
2026-09-07 06:07:05,853 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.6424046180277851, 'aupr_all': 0.15667174351403607, 'auroc_unknown': 0.41249790776019835, 'aupr_unknown': 0.036964429686545744, 'val_auc': 0.8995169082125605} best={'auroc_all': 0.6424046180277851, 'aupr_all': 0.15667174351403607, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.04229590820512159}
2026-09-07 06:07:07,555 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.6452892808831225, 'aupr_all': 0.16197585695606742, 'auroc_unknown': 0.41532324064595416, 'aupr_unknown': 0.037137816638431895, 'val_auc': 0.8758454106280193} best={'auroc_all': 0.6452892808831225, 'aupr_all': 0.16197585695606742, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.04229590820512159}
2026-09-07 06:07:09,224 INFO [OUTPOST-v4] epoch 17 cur={'auroc_all': 0.6428878225065908, 'aupr_all': 0.16257504056900196, 'auroc_unknown': 0.40881001722803423, 'aupr_unknown': 0.03677729232697951, 'val_auc': 0.8961352657004832} best={'auroc_all': 0.6452892808831225, 'aupr_all': 0.16257504056900196, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.04229590820512159}
2026-09-07 06:07:10,864 INFO [OUTPOST-v4] epoch 18 cur={'auroc_all': 0.6485622352557836, 'aupr_all': 0.16576246652843024, 'auroc_unknown': 0.41630763369296736, 'aupr_unknown': 0.037199829190102625, 'val_auc': 0.8927536231884058} best={'auroc_all': 0.6485622352557836, 'aupr_all': 0.16576246652843024, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.04229590820512159}
2026-09-07 06:07:12,474 INFO [OUTPOST-v4] epoch 19 cur={'auroc_all': 0.6476208813452216, 'aupr_all': 0.16703380435206006, 'auroc_unknown': 0.4163598818913293, 'aupr_unknown': 0.03721427218358258, 'val_auc': 0.9028985507246378} best={'auroc_all': 0.6485622352557836, 'aupr_all': 0.16703380435206006, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.04229590820512159}
2026-09-07 06:07:14,066 INFO [OUTPOST-v4] epoch 20 cur={'auroc_all': 0.6522505109748511, 'aupr_all': 0.17043521977257292, 'auroc_unknown': 0.4210266169892646, 'aupr_unknown': 0.037511774101991614, 'val_auc': 0.9028985507246378} best={'auroc_all': 0.6522505109748511, 'aupr_all': 0.17043521977257292, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.04229590820512159}
2026-09-07 06:07:15,724 INFO [OUTPOST-v4] epoch 21 cur={'auroc_all': 0.6501151544773245, 'aupr_all': 0.17561730170708884, 'auroc_unknown': 0.41145294379296027, 'aupr_unknown': 0.03694032499311013, 'val_auc': 0.9135265700483092} best={'auroc_all': 0.6522505109748511, 'aupr_all': 0.17561730170708884, 'auroc_unknown': 0.4581961240159538, 'aupr_unknown': 0.04229590820512159}
