2026-09-14 03:55:53,106 INFO cli={'dataset': 'photo', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['lambda_un=1.5'], 'tag': 'D_lambda1.5', 'save_scores': False, 'rotations': None}
2026-09-14 03:55:53,106 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.5, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 8, 'drop_out': 0.5, 'input_dim': 745, 'num_epochs': 200, 'use_atlas_loss': True, 'use_halo': True, 'use_mixup': True, 'warmup_epochs': 5, 'sim_topk_frac': 0.0, 'use_fview_gate': False, 'use_hybrid': False}
2026-09-14 03:55:54,851 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.6174091847112375, 'aupr_all': 0.12508092943240423, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942, 'val_auc': 0.8033816425120772} best={'auroc_all': 0.6174091847112375, 'aupr_all': 0.12508092943240423, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-09-14 03:55:55,209 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.6123159749992594, 'aupr_all': 0.12167779309940714, 'auroc_unknown': 0.4220778229978999, 'aupr_unknown': 0.037563350415657365, 'val_auc': 0.8038647342995169} best={'auroc_all': 0.6174091847112375, 'aupr_all': 0.12508092943240423, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-09-14 03:55:55,610 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.6078662973824264, 'aupr_all': 0.1209380851201889, 'auroc_unknown': 0.41240612663298737, 'aupr_unknown': 0.036953706291629786, 'val_auc': 0.7874396135265701} best={'auroc_all': 0.6174091847112375, 'aupr_all': 0.12508092943240423, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-09-14 03:55:56,055 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.6104537555417321, 'aupr_all': 0.12182290541619456, 'auroc_unknown': 0.41783392840794653, 'aupr_unknown': 0.03726300686505023, 'val_auc': 0.7859903381642512} best={'auroc_all': 0.6174091847112375, 'aupr_all': 0.12508092943240423, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-09-14 03:55:56,578 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.6111060507321505, 'aupr_all': 0.12222273709678122, 'auroc_unknown': 0.4178528857188566, 'aupr_unknown': 0.037287989232174024, 'val_auc': 0.7772946859903381} best={'auroc_all': 0.6174091847112375, 'aupr_all': 0.12508092943240423, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-09-14 03:55:58,429 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.6161707495285208, 'aupr_all': 0.12525278124443495, 'auroc_unknown': 0.42030022832000313, 'aupr_unknown': 0.03744965432147358, 'val_auc': 0.7869565217391303} best={'auroc_all': 0.6174091847112375, 'aupr_all': 0.12525278124443495, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-09-14 03:56:00,238 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.6178999180465456, 'aupr_all': 0.12728903587426235, 'auroc_unknown': 0.4188451391142959, 'aupr_unknown': 0.03733146459807141, 'val_auc': 0.7917874396135266} best={'auroc_all': 0.6178999180465456, 'aupr_all': 0.12728903587426235, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-09-14 03:56:02,023 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6243831274623064, 'aupr_all': 0.13093056391965258, 'auroc_unknown': 0.42530865738775653, 'aupr_unknown': 0.03776127162721051, 'val_auc': 0.7995169082125604} best={'auroc_all': 0.6243831274623064, 'aupr_all': 0.13093056391965258, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-09-14 03:56:03,758 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.624436446577209, 'aupr_all': 0.13484016611804625, 'auroc_unknown': 0.42268977424154575, 'aupr_unknown': 0.03760599760754333, 'val_auc': 0.8067632850241546} best={'auroc_all': 0.624436446577209, 'aupr_all': 0.13484016611804625, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-09-14 03:56:05,602 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.6283837890142876, 'aupr_all': 0.14130411045986865, 'auroc_unknown': 0.4171977025588671, 'aupr_unknown': 0.03724276869526926, 'val_auc': 0.8193236714975846} best={'auroc_all': 0.6283837890142876, 'aupr_all': 0.14130411045986865, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03780718379018942}
2026-09-14 03:56:07,356 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.6418878422544112, 'aupr_all': 0.15674402514574082, 'auroc_unknown': 0.4258401556533938, 'aupr_unknown': 0.03781140887906591, 'val_auc': 0.8685990338164251} best={'auroc_all': 0.6418878422544112, 'aupr_all': 0.15674402514574082, 'auroc_unknown': 0.4265977545296414, 'aupr_unknown': 0.03781140887906591}
