2026-09-07 15:08:57,162 INFO cli={'dataset': 'tfinance', 'method': 'outpost', 'seed': 5, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=1.0', 'use_pl=false'], 'tag': 'C_nopl_sim1.0', 'save_scores': True, 'rotations': None}
2026-09-07 15:08:57,163 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': False, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 10, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0, 'record_scores': True}
2026-09-07 15:09:53,171 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.4802500944643715, 'aupr_all': 0.040922878690541974, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4998222222222223} best={'auroc_all': 0.4802500944643715, 'aupr_all': 0.040922878690541974, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 15:09:54,286 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.7566546526520909, 'aupr_all': 0.10118613576730687, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.7852444444444444} best={'auroc_all': 0.7566546526520909, 'aupr_all': 0.10118613576730687, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 15:09:55,189 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.8130220310829026, 'aupr_all': 0.22830258116816107, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8348} best={'auroc_all': 0.8130220310829026, 'aupr_all': 0.22830258116816107, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 15:09:56,221 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.8303368869945844, 'aupr_all': 0.3326021086501751, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8547111111111112} best={'auroc_all': 0.8303368869945844, 'aupr_all': 0.3326021086501751, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 15:09:57,245 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.8371047687270974, 'aupr_all': 0.3893012670762198, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8625777777777779} best={'auroc_all': 0.8371047687270974, 'aupr_all': 0.3893012670762198, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 15:09:58,162 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.8401449802168701, 'aupr_all': 0.42004820297397694, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8660444444444445} best={'auroc_all': 0.8401449802168701, 'aupr_all': 0.42004820297397694, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 15:09:59,085 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.8415914813084766, 'aupr_all': 0.4376976885781159, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.867688888888889} best={'auroc_all': 0.8415914813084766, 'aupr_all': 0.4376976885781159, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 15:10:00,092 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.842897394965445, 'aupr_all': 0.44852434109564826, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8691111111111112} best={'auroc_all': 0.842897394965445, 'aupr_all': 0.44852434109564826, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 15:10:01,076 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.8440748147305397, 'aupr_all': 0.4567725004204675, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8704000000000002} best={'auroc_all': 0.8440748147305397, 'aupr_all': 0.4567725004204675, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 15:10:02,219 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.8452806855408748, 'aupr_all': 0.4653730487541495, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8723555555555556} best={'auroc_all': 0.8452806855408748, 'aupr_all': 0.4653730487541495, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-07 15:10:03,157 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.8465792296952211, 'aupr_all': 0.47561690349237246, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8746222222222222} best={'auroc_all': 0.8465792296952211, 'aupr_all': 0.47561690349237246, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
