2026-09-08 02:59:01,983 INFO cli={'dataset': 'tfinance', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['sim_topk_frac=0.0', 'use_atlas_gate=false'], 'tag': 'C_nogate', 'save_scores': False, 'rotations': None}
2026-09-08 02:59:01,984 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 10, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0}
2026-09-08 02:59:27,580 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.48815156508517965, 'aupr_all': 0.045523110403293855, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.48333333333333334} best={'auroc_all': 0.48815156508517965, 'aupr_all': 0.045523110403293855, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 02:59:33,131 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.47167765404462303, 'aupr_all': 0.04411444747772106, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.48333333333333334} best={'auroc_all': 0.48815156508517965, 'aupr_all': 0.045523110403293855, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 02:59:39,151 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.4694559502892296, 'aupr_all': 0.04392699792416925, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4666666666666667} best={'auroc_all': 0.48815156508517965, 'aupr_all': 0.045523110403293855, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 02:59:46,049 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.4430537582294423, 'aupr_all': 0.041778561311957604, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.45} best={'auroc_all': 0.48815156508517965, 'aupr_all': 0.045523110403293855, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 02:59:50,675 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.31018730301574177, 'aupr_all': 0.032670477737825394, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.29453333333333326} best={'auroc_all': 0.48815156508517965, 'aupr_all': 0.045523110403293855, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 02:59:55,429 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.4161706178045475, 'aupr_all': 0.03650350683000766, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4237333333333333} best={'auroc_all': 0.48815156508517965, 'aupr_all': 0.045523110403293855, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 03:00:01,383 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.8104799881115217, 'aupr_all': 0.12839237951333726, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8297777777777778} best={'auroc_all': 0.8104799881115217, 'aupr_all': 0.12839237951333726, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 03:00:05,937 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.8717026939220943, 'aupr_all': 0.5126934926615869, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8976000000000001} best={'auroc_all': 0.8717026939220943, 'aupr_all': 0.5126934926615869, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 03:00:12,323 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.8743140036455459, 'aupr_all': 0.538002259156982, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.9415111111111111} best={'auroc_all': 0.8743140036455459, 'aupr_all': 0.538002259156982, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 03:00:17,789 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.871384088223446, 'aupr_all': 0.5455454581321879, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8954666666666666} best={'auroc_all': 0.8743140036455459, 'aupr_all': 0.5455454581321879, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 03:00:33,201 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.8720539324684741, 'aupr_all': 0.5437145318507403, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.8969777777777779} best={'auroc_all': 0.8743140036455459, 'aupr_all': 0.5455454581321879, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 03:00:49,382 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.8721865588685069, 'aupr_all': 0.5571211335479497, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.9140444444444444} best={'auroc_all': 0.8743140036455459, 'aupr_all': 0.5571211335479497, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 03:01:05,228 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.8714474314399643, 'aupr_all': 0.5572446697057359, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.9112444444444445} best={'auroc_all': 0.8743140036455459, 'aupr_all': 0.5572446697057359, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 03:01:23,982 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.8578854598218003, 'aupr_all': 0.5472753659169791, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.9193777777777778} best={'auroc_all': 0.8743140036455459, 'aupr_all': 0.5572446697057359, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 03:01:40,356 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.8595925389676623, 'aupr_all': 0.5429876077532587, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.9265777777777778} best={'auroc_all': 0.8743140036455459, 'aupr_all': 0.5572446697057359, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-08 03:01:53,593 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.8624604174730396, 'aupr_all': 0.5464438218722614, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.9055999999999998} best={'auroc_all': 0.8743140036455459, 'aupr_all': 0.5572446697057359, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
