2026-08-09 21:09:09,431 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 3, 'train_seed': None, 'epochs': None, 'set': ['use_hybrid=true'], 'tag': 'C_hopmix', 'rotations': None}
2026-08-09 21:09:09,431 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': True, 'sim_topk_frac': 1.0}
2026-08-09 21:09:23,966 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5429402947930078, 'aupr_all': 0.17628929681343578, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5869897959183673} best={'auroc_all': 0.5429402947930078, 'aupr_all': 0.17628929681343578, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:09:25,550 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5464805247171385, 'aupr_all': 0.17813531941581945, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5749149659863946} best={'auroc_all': 0.5464805247171385, 'aupr_all': 0.17813531941581945, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:09:27,027 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5554682044339678, 'aupr_all': 0.18192610975549872, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5568877551020408} best={'auroc_all': 0.5554682044339678, 'aupr_all': 0.18192610975549872, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:09:28,632 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5569491459846726, 'aupr_all': 0.1824049541491537, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5537414965986395} best={'auroc_all': 0.5569491459846726, 'aupr_all': 0.1824049541491537, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:09:30,094 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5499149659863946} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:09:31,603 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5558232540119543, 'aupr_all': 0.18191530819325044, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5482993197278911} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:09:33,099 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5540919372515097, 'aupr_all': 0.18104199842262633, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5506802721088435} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:09:34,611 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.552204516258878, 'aupr_all': 0.1798833982105522, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5494897959183674} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:09:36,177 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5500197528940989, 'aupr_all': 0.1785244694088149, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5508503401360544} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:09:37,789 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5486839312536389, 'aupr_all': 0.17762353127321673, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5508503401360545} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:09:45,028 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5459488925672717, 'aupr_all': 0.17593024090969436, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.550765306122449} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:09:51,523 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5430054432560028, 'aupr_all': 0.17392691403038135, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5475340136054423} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:09:57,963 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.5401255412544652, 'aupr_all': 0.17188404909704058, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5464285714285715} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:10:04,677 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.5374662145371135, 'aupr_all': 0.17004975133626798, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5464285714285715} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:10:11,232 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.5349430248496441, 'aupr_all': 0.16818829976984132, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5478741496598639} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:10:17,803 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.5328328300662294, 'aupr_all': 0.1664510040430577, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.55} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:10:24,308 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.5310891290011168, 'aupr_all': 0.16517298974785521, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5541666666666667} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:10:30,820 INFO [OUTPOST-v4] epoch 17 cur={'auroc_all': 0.529738784079449, 'aupr_all': 0.1640028067495543, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5579081632653061} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:10:37,525 INFO [OUTPOST-v4] epoch 18 cur={'auroc_all': 0.5285389742504749, 'aupr_all': 0.1629951123576235, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.557312925170068} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:10:44,347 INFO [OUTPOST-v4] epoch 19 cur={'auroc_all': 0.5276517526465853, 'aupr_all': 0.1621843075532473, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5570578231292518} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:10:50,804 INFO [OUTPOST-v4] epoch 20 cur={'auroc_all': 0.5269804157689226, 'aupr_all': 0.16147679969291356, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5589285714285713} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:10:57,509 INFO [OUTPOST-v4] epoch 21 cur={'auroc_all': 0.5265357898768637, 'aupr_all': 0.16088822915466752, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5590986394557824} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:11:03,971 INFO [OUTPOST-v4] epoch 22 cur={'auroc_all': 0.5263120697634465, 'aupr_all': 0.1604498646208902, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5585884353741496} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:11:10,694 INFO [OUTPOST-v4] epoch 23 cur={'auroc_all': 0.5263155512454152, 'aupr_all': 0.16014051563136367, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5592687074829932} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:11:17,239 INFO [OUTPOST-v4] epoch 24 cur={'auroc_all': 0.5265526697272341, 'aupr_all': 0.15997905691967673, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5596088435374149} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:11:23,873 INFO [OUTPOST-v4] epoch 25 cur={'auroc_all': 0.5269977739125117, 'aupr_all': 0.1599492816978719, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.560969387755102} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:11:30,304 INFO [OUTPOST-v4] epoch 26 cur={'auroc_all': 0.5275788714344297, 'aupr_all': 0.1600210514945224, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5619897959183674} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-09 21:11:36,682 INFO [OUTPOST-v4] epoch 27 cur={'auroc_all': 0.5283374793760169, 'aupr_all': 0.16022144319980686, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5627551020408162} best={'auroc_all': 0.55695317555372, 'aupr_all': 0.1824057383973099, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
