2026-08-10 07:05:12,814 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 6, 'train_seed': None, 'epochs': None, 'set': ['use_atlas_gate=false'], 'tag': 'C_nogate', 'rotations': None}
2026-08-10 07:05:12,814 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': False, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-10 07:05:28,595 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.3684192364786527, 'aupr_all': 0.11321356955015785, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.46517857142857144} best={'auroc_all': 0.3684192364786527, 'aupr_all': 0.11321356955015785, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:05:30,248 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.4063564015096921, 'aupr_all': 0.12393544805580448, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47857142857142854} best={'auroc_all': 0.4063564015096921, 'aupr_all': 0.12393544805580448, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:05:31,957 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.4509162484598035, 'aupr_all': 0.13626421464872868, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4921768707482993} best={'auroc_all': 0.4509162484598035, 'aupr_all': 0.13626421464872868, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:05:33,814 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.45806155912077373, 'aupr_all': 0.14112442438994083, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5004676870748299} best={'auroc_all': 0.45806155912077373, 'aupr_all': 0.14112442438994083, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:05:35,505 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.48765869450814364, 'aupr_all': 0.15255526716377343, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.49574829931972786} best={'auroc_all': 0.48765869450814364, 'aupr_all': 0.15255526716377343, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:05:37,127 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.4846939847553952, 'aupr_all': 0.15076712750719434, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4884353741496599} best={'auroc_all': 0.48765869450814364, 'aupr_all': 0.15255526716377343, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:05:38,815 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.47962740211068294, 'aupr_all': 0.14877785941844998, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4891156462585034} best={'auroc_all': 0.48765869450814364, 'aupr_all': 0.15255526716377343, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:05:40,384 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.47984816009056186, 'aupr_all': 0.14860489837561375, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.49141156462585034} best={'auroc_all': 0.48765869450814364, 'aupr_all': 0.15255526716377343, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:05:42,137 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.46567498541328844, 'aupr_all': 0.14398323850647005, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4857993197278912} best={'auroc_all': 0.48765869450814364, 'aupr_all': 0.15255526716377343, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:05:43,865 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.4756600542896057, 'aupr_all': 0.146500395132424, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4947278911564626} best={'auroc_all': 0.48765869450814364, 'aupr_all': 0.15255526716377343, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:05:51,780 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.4864762079258286, 'aupr_all': 0.14959351321218012, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5050170068027211} best={'auroc_all': 0.48765869450814364, 'aupr_all': 0.15255526716377343, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:05:59,744 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.49514292620710754, 'aupr_all': 0.15258131119188548, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5129251700680272} best={'auroc_all': 0.49514292620710754, 'aupr_all': 0.15258131119188548, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:06:07,519 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.5002970324052975, 'aupr_all': 0.15385327397512646, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5181972789115646} best={'auroc_all': 0.5002970324052975, 'aupr_all': 0.15385327397512646, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:06:15,021 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.5046387113846275, 'aupr_all': 0.15470751878363329, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5202380952380953} best={'auroc_all': 0.5046387113846275, 'aupr_all': 0.15470751878363329, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:06:22,628 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.509046676056322, 'aupr_all': 0.15615087396621322, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5225340136054422} best={'auroc_all': 0.509046676056322, 'aupr_all': 0.15615087396621322, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:06:29,687 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.5122245670495944, 'aupr_all': 0.15685862657175428, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5238945578231293} best={'auroc_all': 0.5122245670495944, 'aupr_all': 0.15685862657175428, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:06:37,272 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.5150147613603815, 'aupr_all': 0.1572334686917605, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5251700680272109} best={'auroc_all': 0.5150147613603815, 'aupr_all': 0.1572334686917605, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:06:44,984 INFO [OUTPOST-v4] epoch 17 cur={'auroc_all': 0.5172398984205379, 'aupr_all': 0.15748117650601862, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5240646258503402} best={'auroc_all': 0.5172398984205379, 'aupr_all': 0.15748117650601862, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:06:52,807 INFO [OUTPOST-v4] epoch 18 cur={'auroc_all': 0.5189787139154349, 'aupr_all': 0.15754562212351492, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5234693877551021} best={'auroc_all': 0.5189787139154349, 'aupr_all': 0.15754562212351492, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:07:00,010 INFO [OUTPOST-v4] epoch 19 cur={'auroc_all': 0.5211445302999247, 'aupr_all': 0.15798623221485375, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5225340136054422} best={'auroc_all': 0.5211445302999247, 'aupr_all': 0.15798623221485375, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:07:07,712 INFO [OUTPOST-v4] epoch 20 cur={'auroc_all': 0.523451379548315, 'aupr_all': 0.1585325937572125, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5219387755102041} best={'auroc_all': 0.523451379548315, 'aupr_all': 0.1585325937572125, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:07:15,337 INFO [OUTPOST-v4] epoch 21 cur={'auroc_all': 0.5255849450111008, 'aupr_all': 0.15905196461653182, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5219387755102041} best={'auroc_all': 0.5255849450111008, 'aupr_all': 0.15905196461653182, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:07:22,610 INFO [OUTPOST-v4] epoch 22 cur={'auroc_all': 0.5276071194729739, 'aupr_all': 0.15953474893049593, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.522704081632653} best={'auroc_all': 0.5276071194729739, 'aupr_all': 0.15953474893049593, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:07:30,114 INFO [OUTPOST-v4] epoch 23 cur={'auroc_all': 0.5295050957605838, 'aupr_all': 0.16001505546181924, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5226190476190476} best={'auroc_all': 0.5295050957605838, 'aupr_all': 0.16001505546181924, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-10 07:07:37,751 INFO [OUTPOST-v4] epoch 24 cur={'auroc_all': 0.5312966733610474, 'aupr_all': 0.1604806817337002, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5235544217687075} best={'auroc_all': 0.5312966733610474, 'aupr_all': 0.1604806817337002, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
