2026-08-13 14:02:43,004 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 3, 'train_seed': None, 'epochs': None, 'set': ['sampling_sizes=[50, 10]', 'sim_topk_frac=0.0'], 'tag': 'F_b50_sim0.0', 'rotations': None}
2026-08-13 14:02:43,004 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [50, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 0.0}
2026-08-13 14:02:46,574 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5302072835772247, 'aupr_all': 0.17219711772121582, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5813775510204082} best={'auroc_all': 0.5302072835772247, 'aupr_all': 0.17219711772121582, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-13 14:02:47,545 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5231640936503212, 'aupr_all': 0.16709960819831704, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5814625850340137} best={'auroc_all': 0.5302072835772247, 'aupr_all': 0.17219711772121582, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-13 14:02:48,494 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5357751298315652, 'aupr_all': 0.17090129770206186, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5712585034013605} best={'auroc_all': 0.5357751298315652, 'aupr_all': 0.17219711772121582, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-13 14:02:49,470 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5342068782144846, 'aupr_all': 0.16948071175068047, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5596938775510205} best={'auroc_all': 0.5357751298315652, 'aupr_all': 0.17219711772121582, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-13 14:02:50,396 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5374164823061849, 'aupr_all': 0.1723524264482203, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5591836734693878} best={'auroc_all': 0.5374164823061849, 'aupr_all': 0.1723524264482203, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-13 14:02:51,316 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5343807182982102, 'aupr_all': 0.17116853597516365, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5965136054421769} best={'auroc_all': 0.5374164823061849, 'aupr_all': 0.1723524264482203, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-13 14:02:52,239 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5333723181308923, 'aupr_all': 0.17137099265393102, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5917517006802722} best={'auroc_all': 0.5374164823061849, 'aupr_all': 0.1723524264482203, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-13 14:02:53,180 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.536043166993462, 'aupr_all': 0.1740030385300029, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5755102040816327} best={'auroc_all': 0.5374164823061849, 'aupr_all': 0.1740030385300029, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-13 14:02:54,145 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5343822127079232, 'aupr_all': 0.1718966680584275, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5426870748299321} best={'auroc_all': 0.5374164823061849, 'aupr_all': 0.1740030385300029, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-13 14:02:55,215 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5326271660350035, 'aupr_all': 0.17169111953865257, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5872448979591837} best={'auroc_all': 0.5374164823061849, 'aupr_all': 0.1740030385300029, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-13 14:02:59,790 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5327129816916665, 'aupr_all': 0.17170228754542194, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5829931972789115} best={'auroc_all': 0.5374164823061849, 'aupr_all': 0.1740030385300029, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
