2026-08-21 20:21:11,380 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 1, 'train_seed': None, 'epochs': None, 'set': ['drop_out=0.1'], 'tag': 'T_drop0.1', 'rotations': None}
2026-08-21 20:21:11,380 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.1, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-21 20:21:21,778 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.52041844424444, 'aupr_all': 0.16544686218606064, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47687074829931975} best={'auroc_all': 0.52041844424444, 'aupr_all': 0.16544686218606064, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:22,559 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5240092233982159, 'aupr_all': 0.1676616327859532, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.47687074829931975} best={'auroc_all': 0.5240092233982159, 'aupr_all': 0.1676616327859532, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:23,367 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5372531872536344, 'aupr_all': 0.17358170901052303, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4827380952380952} best={'auroc_all': 0.5372531872536344, 'aupr_all': 0.17358170901052303, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:24,192 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5651074816825807, 'aupr_all': 0.19428908027373104, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5079931972789116} best={'auroc_all': 0.5651074816825807, 'aupr_all': 0.19428908027373104, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:25,076 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5740931599578304, 'aupr_all': 0.2039820480809784, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5119047619047619} best={'auroc_all': 0.5740931599578304, 'aupr_all': 0.2039820480809784, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:26,006 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5789029607269867, 'aupr_all': 0.2050650948285017, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5160714285714285} best={'auroc_all': 0.5789029607269867, 'aupr_all': 0.2050650948285017, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:26,911 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5851719725231919, 'aupr_all': 0.20616928854818145, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5375425170068027} best={'auroc_all': 0.5851719725231919, 'aupr_all': 0.20616928854818145, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:27,739 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.6085140651502037, 'aupr_all': 0.216961980786059, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6001275510204082} best={'auroc_all': 0.6085140651502037, 'aupr_all': 0.216961980786059, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:21:28,584 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.6158575554772715, 'aupr_all': 0.21950624174127586, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6157312925170068} best={'auroc_all': 0.6158575554772715, 'aupr_all': 0.21950624174127586, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
