2026-08-21 20:45:23,818 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 0, 'train_seed': None, 'epochs': None, 'set': ['warmup_epochs=5'], 'tag': 'T_warmup5', 'rotations': None}
2026-08-21 20:45:23,818 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 32, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 5, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-08-21 20:45:34,281 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.562918933027265, 'aupr_all': 0.1808086607211757, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.48592687074829927} best={'auroc_all': 0.562918933027265, 'aupr_all': 0.1808086607211757, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:45:35,139 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4917517006802721} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:45:36,027 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5868466597771095, 'aupr_all': 0.1818421547820878, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.493452380952381} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:45:36,884 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5698032228620513, 'aupr_all': 0.17353193887134566, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4813775510204082} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:45:37,832 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5722931742499708, 'aupr_all': 0.17387599220358427, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4897959183673469} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:45:42,554 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5709827657856735, 'aupr_all': 0.17407340316203224, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.4997448979591837} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:45:47,282 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5648535510914909, 'aupr_all': 0.17289224236292192, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5115646258503401} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:45:52,147 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5610674579254077, 'aupr_all': 0.17122546501928515, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5209183673469387} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-08-21 20:45:56,996 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5602792861257353, 'aupr_all': 0.17048478317164317, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5274659863945579} best={'auroc_all': 0.5908878885047517, 'aupr_all': 0.18613046246944523, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
