2026-09-14 00:35:32,025 INFO cli={'dataset': 'yelp', 'method': 'outpost', 'seed': 2, 'train_seed': None, 'epochs': None, 'set': ['hidden_dim=64'], 'tag': 'D_hidden64', 'save_scores': False, 'rotations': None}
2026-09-14 00:35:32,025 INFO config={'alpha_plus': 0.05, 'alpha_r': 0.1, 'atlas_gate_q': 0.9, 'batch_size': 512, 'hidden_dim': 64, 'lambda_halo': 0.2, 'lambda_mixup': 0.2, 'lambda_un': 1.0, 'lr': 0.001, 'margin': 0.1, 'n_layers': 2, 'optimiser': 'adam', 'sampling_sizes': [25, 10], 'tau_minus': 0.05, 'tau_mu': 0.05, 'tau_plus': 0.95, 'use_atlas_gate': True, 'use_conformal': True, 'use_pl': True, 'version': 4, 'weight_decay': 0.0005, 'K_p': 3, 'alpha_f': 0.2, 'drop_out': 0.2, 'input_dim': 32, 'lambda_f': 1.0, 'num_epochs': 400, 'use_atlas_loss': False, 'use_fview_gate': False, 'use_halo': False, 'use_mixup': False, 'warmup_epochs': 10, 'use_hybrid': False, 'sim_topk_frac': 1.0}
2026-09-14 00:35:43,906 INFO [OUTPOST-v4] epoch 0 cur={'auroc_all': 0.5463957539156182, 'aupr_all': 0.18602094302262118, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5220663265306122} best={'auroc_all': 0.5463957539156182, 'aupr_all': 0.18602094302262118, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:35:45,138 INFO [OUTPOST-v4] epoch 1 cur={'auroc_all': 0.5750781299157202, 'aupr_all': 0.19175478819110192, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.6040816326530611} best={'auroc_all': 0.5750781299157202, 'aupr_all': 0.19175478819110192, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:35:46,418 INFO [OUTPOST-v4] epoch 2 cur={'auroc_all': 0.5589267878582036, 'aupr_all': 0.18181609955692749, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5247874149659864} best={'auroc_all': 0.5750781299157202, 'aupr_all': 0.19175478819110192, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:35:47,582 INFO [OUTPOST-v4] epoch 3 cur={'auroc_all': 0.5554681592732347, 'aupr_all': 0.1807045076072604, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.516156462585034} best={'auroc_all': 0.5750781299157202, 'aupr_all': 0.19175478819110192, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:35:48,822 INFO [OUTPOST-v4] epoch 4 cur={'auroc_all': 0.5795204290611222, 'aupr_all': 0.19144595418312316, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5490646258503401} best={'auroc_all': 0.5795204290611222, 'aupr_all': 0.19175478819110192, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:35:50,059 INFO [OUTPOST-v4] epoch 5 cur={'auroc_all': 0.5769573686046213, 'aupr_all': 0.1899096569245779, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5360544217687074} best={'auroc_all': 0.5795204290611222, 'aupr_all': 0.19175478819110192, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:35:51,283 INFO [OUTPOST-v4] epoch 6 cur={'auroc_all': 0.5736827084241526, 'aupr_all': 0.18896490517926218, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5184098639455783} best={'auroc_all': 0.5795204290611222, 'aupr_all': 0.19175478819110192, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:35:52,276 INFO [OUTPOST-v4] epoch 7 cur={'auroc_all': 0.5551334053392485, 'aupr_all': 0.1764730138865645, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5107142857142857} best={'auroc_all': 0.5795204290611222, 'aupr_all': 0.19175478819110192, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:35:53,221 INFO [OUTPOST-v4] epoch 8 cur={'auroc_all': 0.5970082352731649, 'aupr_all': 0.2009844308355881, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5373299319727891} best={'auroc_all': 0.5970082352731649, 'aupr_all': 0.2009844308355881, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:35:54,406 INFO [OUTPOST-v4] epoch 9 cur={'auroc_all': 0.5979173824129671, 'aupr_all': 0.2019537379783426, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5360544217687074} best={'auroc_all': 0.5979173824129671, 'aupr_all': 0.2019537379783426, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:35:59,909 INFO [OUTPOST-v4] epoch 10 cur={'auroc_all': 0.5982200865957878, 'aupr_all': 0.20237210342595044, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5287414965986394} best={'auroc_all': 0.5982200865957878, 'aupr_all': 0.20237210342595044, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:36:05,591 INFO [OUTPOST-v4] epoch 11 cur={'auroc_all': 0.5978430457935499, 'aupr_all': 0.20252346004010646, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5247448979591837} best={'auroc_all': 0.5982200865957878, 'aupr_all': 0.20252346004010646, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:36:10,922 INFO [OUTPOST-v4] epoch 12 cur={'auroc_all': 0.597358323328794, 'aupr_all': 0.2030233818422639, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5227891156462585} best={'auroc_all': 0.5982200865957878, 'aupr_all': 0.2030233818422639, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:36:15,412 INFO [OUTPOST-v4] epoch 13 cur={'auroc_all': 0.596094594640421, 'aupr_all': 0.202463448299612, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5164115646258503} best={'auroc_all': 0.5982200865957878, 'aupr_all': 0.2030233818422639, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:36:19,745 INFO [OUTPOST-v4] epoch 14 cur={'auroc_all': 0.5954091758250786, 'aupr_all': 0.20177642127247977, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5138605442176871} best={'auroc_all': 0.5982200865957878, 'aupr_all': 0.2030233818422639, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:36:24,533 INFO [OUTPOST-v4] epoch 15 cur={'auroc_all': 0.5949115804986331, 'aupr_all': 0.2011676964863823, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5096938775510204} best={'auroc_all': 0.5982200865957878, 'aupr_all': 0.2030233818422639, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:36:29,236 INFO [OUTPOST-v4] epoch 16 cur={'auroc_all': 0.5944042838256169, 'aupr_all': 0.2005048670675335, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5090986394557824} best={'auroc_all': 0.5982200865957878, 'aupr_all': 0.2030233818422639, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
2026-09-14 00:36:34,597 INFO [OUTPOST-v4] epoch 17 cur={'auroc_all': 0.5939369646651832, 'aupr_all': 0.19983179810973156, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0, 'val_auc': 0.5056972789115646} best={'auroc_all': 0.5982200865957878, 'aupr_all': 0.2030233818422639, 'auroc_unknown': 0.5, 'aupr_unknown': 0.0}
