# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset ogbn-arxiv --seed 4 --method outpost --tag A_main --rotations 10 --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ogbn-arxiv] anomaly classes (rotations): [np.int64(4), np.int64(8), np.int64(10), np.int64(34)]
[ogbn-arxiv] running subset: [np.int64(10)]
Normal classes: [np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(39)] in ogbn-arxiv
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5021 PR 0.1673 | unseen ROC 0.4869 PR 0.1202 | valAUC 0.4019 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4845 PR 0.1642 | unseen ROC 0.4779 PR 0.1202 | valAUC 0.4021 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4933 PR 0.1625 | unseen ROC 0.4976 PR 0.1227 | valAUC 0.3557 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4930 PR 0.1650 | unseen ROC 0.4929 PR 0.1237 | valAUC 0.3774 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4946 PR 0.1667 | unseen ROC 0.4929 PR 0.1248 | valAUC 0.3764 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4952 PR 0.1680 | unseen ROC 0.4924 PR 0.1255 | valAUC 0.4029 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4960 PR 0.1683 | unseen ROC 0.4918 PR 0.1249 | valAUC 0.3977 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4982 PR 0.1704 | unseen ROC 0.4934 PR 0.1264 | valAUC 0.3886 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4990 PR 0.1718 | unseen ROC 0.4935 PR 0.1271 | valAUC 0.4106 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5000 PR 0.1730 | unseen ROC 0.4937 PR 0.1277 | valAUC 0.4057 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5006 PR 0.1735 | unseen ROC 0.4936 PR 0.1277 | valAUC 0.4200 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5013 PR 0.1738 | unseen ROC 0.4927 PR 0.1273 | valAUC 0.4050 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5024 PR 0.1740 | unseen ROC 0.4924 PR 0.1270 | valAUC 0.4297 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5023 PR 0.1739 | unseen ROC 0.4912 PR 0.1264 | valAUC 0.4239 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5036 PR 0.1738 | unseen ROC 0.4905 PR 0.1255 | valAUC 0.4095 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5034 PR 0.1736 | unseen ROC 0.4888 PR 0.1248 | valAUC 0.4307 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5034 PR 0.1732 | unseen ROC 0.4875 PR 0.1242 | valAUC 0.4352 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5038 PR 0.1729 | unseen ROC 0.4866 PR 0.1235 | valAUC 0.4414 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5036 PR 0.1723 | unseen ROC 0.4847 PR 0.1226 | valAUC 0.4331 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5043 PR 0.1719 | unseen ROC 0.4840 PR 0.1218 | valAUC 0.4366 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5048 PR 0.1713 | unseen ROC 0.4826 PR 0.1209 | valAUC 0.4418 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5044 PR 0.1705 | unseen ROC 0.4807 PR 0.1199 | valAUC 0.4310 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5052 PR 0.1699 | unseen ROC 0.4802 PR 0.1193 | valAUC 0.4693 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5037 PR 0.1686 | unseen ROC 0.4777 PR 0.1180 | valAUC 0.4551 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.5043 PR 0.1679 | unseen ROC 0.4775 PR 0.1175 | valAUC 0.4893 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.5049 PR 0.1672 | unseen ROC 0.4777 PR 0.1170 | valAUC 0.4472 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.5059 PR 0.1667 | unseen ROC 0.4782 PR 0.1167 | valAUC 0.4909 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.5067 PR 0.1663 | unseen ROC 0.4787 PR 0.1165 | valAUC 0.4955 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.5071 PR 0.1659 | unseen ROC 0.4792 PR 0.1164 | valAUC 0.4625 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.5081 PR 0.1658 | unseen ROC 0.4805 PR 0.1166 | valAUC 0.4797 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.5089 PR 0.1660 | unseen ROC 0.4811 PR 0.1166 | valAUC 0.4982 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.5094 PR 0.1660 | unseen ROC 0.4817 PR 0.1166 | valAUC 0.4890 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.5096 PR 0.1660 | unseen ROC 0.4819 PR 0.1166 | valAUC 0.4661 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.5097 PR 0.1663 | unseen ROC 0.4811 PR 0.1165 | valAUC 0.4857 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.5106 PR 0.1670 | unseen ROC 0.4809 PR 0.1166 | valAUC 0.4680 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.5111 PR 0.1678 | unseen ROC 0.4799 PR 0.1164 | valAUC 0.4916 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.5111 PR 0.1683 | unseen ROC 0.4788 PR 0.1165 | valAUC 0.5012 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.5119 PR 0.1694 | unseen ROC 0.4780 PR 0.1164 | valAUC 0.4985 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.5122 PR 0.1706 | unseen ROC 0.4762 PR 0.1161 | valAUC 0.4970 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.5125 PR 0.1717 | unseen ROC 0.4747 PR 0.1160 | valAUC 0.5278 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.5125 PR 0.1726 | unseen ROC 0.4731 PR 0.1159 | valAUC 0.5189 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.5127 PR 0.1735 | unseen ROC 0.4717 PR 0.1159 | valAUC 0.4969 | tau+ 0.500
[OUTPOST-v4] epoch 42: test-all ROC 0.5131 PR 0.1744 | unseen ROC 0.4711 PR 0.1159 | valAUC 0.5194 | tau+ 0.500
[OUTPOST-v4] epoch 43: test-all ROC 0.5130 PR 0.1750 | unseen ROC 0.4693 PR 0.1157 | valAUC 0.5359 | tau+ 0.500
[OUTPOST-v4] epoch 44: test-all ROC 0.5135 PR 0.1758 | unseen ROC 0.4681 PR 0.1156 | valAUC 0.5297 | tau+ 0.500
[OUTPOST-v4] epoch 45: test-all ROC 0.5131 PR 0.1763 | unseen ROC 0.4660 PR 0.1153 | valAUC 0.5394 | tau+ 0.500
[OUTPOST-v4] epoch 46: test-all ROC 0.5128 PR 0.1769 | unseen ROC 0.4641 PR 0.1151 | valAUC 0.5273 | tau+ 0.500
[OUTPOST-v4] epoch 47: test-all ROC 0.5123 PR 0.1772 | unseen ROC 0.4622 PR 0.1149 | valAUC 0.5314 | tau+ 0.500
[OUTPOST-v4] epoch 48: test-all ROC 0.5125 PR 0.1778 | unseen ROC 0.4609 PR 0.1147 | valAUC 0.5466 | tau+ 0.500
[OUTPOST-v4] epoch 49: test-all ROC 0.5113 PR 0.1778 | unseen ROC 0.4587 PR 0.1143 | valAUC 0.5350 | tau+ 0.500
[OUTPOST-v4] epoch 50: test-all ROC 0.5112 PR 0.1780 | unseen ROC 0.4575 PR 0.1141 | valAUC 0.5513 | tau+ 0.500
[OUTPOST-v4] epoch 51: test-all ROC 0.5100 PR 0.1780 | unseen ROC 0.4548 PR 0.1136 | valAUC 0.5561 | tau+ 0.500
[OUTPOST-v4] epoch 52: test-all ROC 0.5098 PR 0.1782 | unseen ROC 0.4533 PR 0.1133 | valAUC 0.5497 | tau+ 0.500
[OUTPOST-v4] epoch 53: test-all ROC 0.5098 PR 0.1785 | unseen ROC 0.4514 PR 0.1128 | valAUC 0.5562 | tau+ 0.500
