# gpu=6 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 0 --method outpost --tag F_b50_sim0.0 --set sampling_sizes=[50, 10] sim_topk_frac=0.0
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[yelp] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in yelp
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4922 PR 0.1515 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.3851 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4999 PR 0.1535 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4170 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5048 PR 0.1532 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.3931 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4959 PR 0.1498 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.3445 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5045 PR 0.1529 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.3896 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.5094 PR 0.1542 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4003 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5138 PR 0.1566 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.3751 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.5161 PR 0.1564 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4202 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5177 PR 0.1567 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4645 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5201 PR 0.1575 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4501 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5222 PR 0.1577 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4901 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5247 PR 0.1589 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5025 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5270 PR 0.1595 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5021 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5320 PR 0.1618 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4929 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5319 PR 0.1612 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5204 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5333 PR 0.1616 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5116 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5370 PR 0.1630 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4959 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5373 PR 0.1631 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5097 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5415 PR 0.1646 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5186 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5426 PR 0.1647 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4986 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5431 PR 0.1651 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5247 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5447 PR 0.1650 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5368 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5473 PR 0.1665 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5236 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5494 PR 0.1670 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5176 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.5497 PR 0.1672 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5468 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.5516 PR 0.1675 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5283 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.5525 PR 0.1676 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5274 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.5520 PR 0.1681 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5404 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.5542 PR 0.1681 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5315 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.5553 PR 0.1690 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5452 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.5570 PR 0.1692 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5381 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.5578 PR 0.1701 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5288 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.5560 PR 0.1689 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5349 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.5581 PR 0.1698 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5709 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.5610 PR 0.1709 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5290 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.5613 PR 0.1710 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5238 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.5636 PR 0.1717 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5218 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.5635 PR 0.1720 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5148 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.5624 PR 0.1712 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5109 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.5649 PR 0.1720 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5147 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.5675 PR 0.1728 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4983 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.5682 PR 0.1731 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4855 | tau+ 0.500
[OUTPOST-v4] epoch 42: test-all ROC 0.5687 PR 0.1734 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5104 | tau+ 0.500
[OUTPOST-v4] epoch 43: test-all ROC 0.5702 PR 0.1743 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5141 | tau+ 0.500
[OUTPOST-v4] epoch 44: test-all ROC 0.5731 PR 0.1747 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4963 | tau+ 0.500
[OUTPOST-v4] epoch 45: test-all ROC 0.5739 PR 0.1755 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4648 | tau+ 0.500
[OUTPOST-v4] epoch 46: test-all ROC 0.5749 PR 0.1761 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4804 | tau+ 0.500
[OUTPOST-v4] epoch 47: test-all ROC 0.5769 PR 0.1766 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5074 | tau+ 0.500
[OUTPOST-v4] epoch 48: test-all ROC 0.5771 PR 0.1767 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4972 | tau+ 0.500
[OUTPOST-v4] epoch 49: test-all ROC 0.5779 PR 0.1769 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4923 | tau+ 0.500
[OUTPOST-v4] epoch 50: test-all ROC 0.5796 PR 0.1784 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4841 | tau+ 0.500
[OUTPOST-v4] epoch 51: test-all ROC 0.5801 PR 0.1777 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4774 | tau+ 0.500
[OUTPOST-v4] epoch 52: test-all ROC 0.5819 PR 0.1783 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5200 | tau+ 0.500
[OUTPOST-v4] epoch 53: test-all ROC 0.5859 PR 0.1806 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5280 | tau+ 0.500
[OUTPOST-v4] epoch 54: test-all ROC 0.5856 PR 0.1799 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4821 | tau+ 0.500
[OUTPOST-v4] epoch 55: test-all ROC 0.5864 PR 0.1812 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5282 | tau+ 0.500
[OUTPOST-v4] epoch 56: test-all ROC 0.5872 PR 0.1804 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5049 | tau+ 0.500
[OUTPOST-v4] epoch 57: test-all ROC 0.5874 PR 0.1805 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5189 | tau+ 0.500
[OUTPOST-v4] epoch 58: test-all ROC 0.5893 PR 0.1821 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5025 | tau+ 0.500
[OUTPOST-v4] epoch 59: test-all ROC 0.5876 PR 0.1816 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5239 | tau+ 0.500
[OUTPOST-v4] epoch 60: test-all ROC 0.5900 PR 0.1824 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5169 | tau+ 0.500
[OUTPOST-v4] epoch 61: test-all ROC 0.5898 PR 0.1825 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5168 | tau+ 0.500
[OUTPOST-v4] epoch 62: test-all ROC 0.5897 PR 0.1817 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5488 | tau+ 0.500
[OUTPOST-v4] epoch 63: test-all ROC 0.5918 PR 0.1825 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5089 | tau+ 0.500
[OUTPOST-v4] epoch 64: test-all ROC 0.5910 PR 0.1820 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4833 | tau+ 0.500
[OUTPOST-v4] epoch 65: test-all ROC 0.5912 PR 0.1826 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5505 | tau+ 0.500
[OUTPOST-v4] epoch 66: test-all ROC 0.5900 PR 0.1820 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5143 | tau+ 0.500
[OUTPOST-v4] epoch 67: test-all ROC 0.5925 PR 0.1835 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5184 | tau+ 0.500
[OUTPOST-v4] epoch 68: test-all ROC 0.5923 PR 0.1836 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5017 | tau+ 0.500
[OUTPOST-v4] epoch 69: test-all ROC 0.5955 PR 0.1848 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5291 | tau+ 0.500
[OUTPOST-v4] epoch 70: test-all ROC 0.5986 PR 0.1863 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5000 | tau+ 0.500
[OUTPOST-v4] epoch 71: test-all ROC 0.6003 PR 0.1871 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5229 | tau+ 0.500
[OUTPOST-v4] epoch 72: test-all ROC 0.6013 PR 0.1876 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5224 | tau+ 0.500
[OUTPOST-v4] epoch 73: test-all ROC 0.6050 PR 0.1889 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5138 | tau+ 0.500
[OUTPOST-v4] epoch 74: test-all ROC 0.6074 PR 0.1904 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5208 | tau+ 0.500
[OUTPOST-v4] epoch 75: test-all ROC 0.6081 PR 0.1908 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5311 | tau+ 0.500
[OUTPOST-v4] epoch 76: test-all ROC 0.6092 PR 0.1914 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5264 | tau+ 0.500
[OUTPOST-v4] epoch 77: test-all ROC 0.6107 PR 0.1925 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5254 | tau+ 0.500
[OUTPOST-v4] epoch 78: test-all ROC 0.6129 PR 0.1935 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5327 | tau+ 0.500
[OUTPOST-v4] epoch 79: test-all ROC 0.6130 PR 0.1943 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4984 | tau+ 0.500
[OUTPOST-v4] epoch 80: test-all ROC 0.6167 PR 0.1966 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5048 | tau+ 0.500
[OUTPOST-v4] epoch 81: test-all ROC 0.6162 PR 0.1959 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5160 | tau+ 0.500
[OUTPOST-v4] epoch 82: test-all ROC 0.6178 PR 0.1975 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5344 | tau+ 0.500
[OUTPOST-v4] epoch 83: test-all ROC 0.6170 PR 0.1966 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5353 | tau+ 0.500
[OUTPOST-v4] epoch 84: test-all ROC 0.6183 PR 0.1978 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5230 | tau+ 0.500
[OUTPOST-v4] epoch 85: test-all ROC 0.6218 PR 0.1992 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5071 | tau+ 0.500
[OUTPOST-v4] epoch 86: test-all ROC 0.6218 PR 0.2000 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5390 | tau+ 0.500
[OUTPOST-v4] epoch 87: test-all ROC 0.6226 PR 0.2000 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5042 | tau+ 0.500
[OUTPOST-v4] epoch 88: test-all ROC 0.6260 PR 0.2019 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5443 | tau+ 0.500
[OUTPOST-v4] epoch 89: test-all ROC 0.6259 PR 0.2018 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5423 | tau+ 0.500
[OUTPOST-v4] epoch 90: test-all ROC 0.6257 PR 0.2023 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5434 | tau+ 0.500
[OUTPOST-v4] epoch 91: test-all ROC 0.6282 PR 0.2034 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5447 | tau+ 0.500
[OUTPOST-v4] epoch 92: test-all ROC 0.6268 PR 0.2030 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5278 | tau+ 0.500
[OUTPOST-v4] epoch 93: test-all ROC 0.6273 PR 0.2034 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5634 | tau+ 0.500
[OUTPOST-v4] epoch 94: test-all ROC 0.6280 PR 0.2037 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5127 | tau+ 0.500
[OUTPOST-v4] epoch 95: test-all ROC 0.6301 PR 0.2057 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5317 | tau+ 0.500
[OUTPOST-v4] epoch 96: test-all ROC 0.6313 PR 0.2065 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5440 | tau+ 0.500
[OUTPOST-v4] epoch 97: test-all ROC 0.6329 PR 0.2077 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5442 | tau+ 0.500
[OUTPOST-v4] epoch 98: test-all ROC 0.6325 PR 0.2076 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5358 | tau+ 0.500
[OUTPOST-v4] epoch 99: test-all ROC 0.6336 PR 0.2076 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5158 | tau+ 0.500
