# gpu=6 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 8 --method outpost --tag L_lean --set use_atlas_gate=false use_pl=false
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [np.int64(0), np.int64(7)]
Normal classes: [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5856 PR 0.1099 | unseen ROC 0.3830 PR 0.0353 | valAUC 0.8749 | tau+ 0.559
[OUTPOST-v4] epoch 1: test-all ROC 0.5942 PR 0.1144 | unseen ROC 0.3900 PR 0.0357 | valAUC 0.8469 | tau+ 0.505
[OUTPOST-v4] epoch 2: test-all ROC 0.6064 PR 0.1202 | unseen ROC 0.3999 PR 0.0363 | valAUC 0.8725 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6052 PR 0.1213 | unseen ROC 0.3929 PR 0.0359 | valAUC 0.8874 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6036 PR 0.1207 | unseen ROC 0.3912 PR 0.0358 | valAUC 0.8729 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6072 PR 0.1222 | unseen ROC 0.3983 PR 0.0362 | valAUC 0.8739 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6084 PR 0.1247 | unseen ROC 0.3932 PR 0.0359 | valAUC 0.8792 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6101 PR 0.1246 | unseen ROC 0.3953 PR 0.0360 | valAUC 0.8812 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6131 PR 0.1282 | unseen ROC 0.3924 PR 0.0359 | valAUC 0.8961 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6135 PR 0.1315 | unseen ROC 0.3897 PR 0.0357 | valAUC 0.8918 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6173 PR 0.1350 | unseen ROC 0.3909 PR 0.0358 | valAUC 0.8874 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6161 PR 0.1387 | unseen ROC 0.3817 PR 0.0353 | valAUC 0.9024 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6216 PR 0.1415 | unseen ROC 0.3883 PR 0.0357 | valAUC 0.9150 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6193 PR 0.1432 | unseen ROC 0.3794 PR 0.0352 | valAUC 0.9082 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6230 PR 0.1474 | unseen ROC 0.3854 PR 0.0355 | valAUC 0.9169 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6250 PR 0.1493 | unseen ROC 0.3849 PR 0.0355 | valAUC 0.9198 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6276 PR 0.1503 | unseen ROC 0.3886 PR 0.0357 | valAUC 0.9256 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6332 PR 0.1534 | unseen ROC 0.3951 PR 0.0360 | valAUC 0.9174 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6287 PR 0.1537 | unseen ROC 0.3862 PR 0.0356 | valAUC 0.9357 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.6333 PR 0.1575 | unseen ROC 0.3916 PR 0.0359 | valAUC 0.9232 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.6327 PR 0.1593 | unseen ROC 0.3886 PR 0.0357 | valAUC 0.9266 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.6300 PR 0.1607 | unseen ROC 0.3827 PR 0.0354 | valAUC 0.9338 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.6316 PR 0.1637 | unseen ROC 0.3842 PR 0.0354 | valAUC 0.9473 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.6412 PR 0.1706 | unseen ROC 0.3964 PR 0.0361 | valAUC 0.9372 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.6402 PR 0.1724 | unseen ROC 0.3919 PR 0.0359 | valAUC 0.9406 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.6404 PR 0.1763 | unseen ROC 0.3905 PR 0.0358 | valAUC 0.9459 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.6400 PR 0.1795 | unseen ROC 0.3876 PR 0.0357 | valAUC 0.9546 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.6425 PR 0.1853 | unseen ROC 0.3896 PR 0.0357 | valAUC 0.9565 | tau+ 0.500
