# gpu=6 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 3 --method outpost --tag L_lean --rotations 9 --set use_atlas_gate=false use_pl=false
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] running subset: [np.int64(9)]
Normal classes: [np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(13)] in cs
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.7426 PR 0.5071 | unseen ROC 0.7405 PR 0.4968 | valAUC 0.9742 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.7469 PR 0.4903 | unseen ROC 0.7447 PR 0.4789 | valAUC 0.9728 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7437 PR 0.4739 | unseen ROC 0.7416 PR 0.4617 | valAUC 0.9615 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7408 PR 0.4661 | unseen ROC 0.7387 PR 0.4540 | valAUC 0.9742 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7401 PR 0.4595 | unseen ROC 0.7381 PR 0.4470 | valAUC 0.9835 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7504 PR 0.4749 | unseen ROC 0.7483 PR 0.4627 | valAUC 0.9806 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7589 PR 0.4878 | unseen ROC 0.7569 PR 0.4759 | valAUC 0.9837 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7716 PR 0.5051 | unseen ROC 0.7697 PR 0.4939 | valAUC 0.9792 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7784 PR 0.5186 | unseen ROC 0.7765 PR 0.5077 | valAUC 0.9820 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7898 PR 0.5429 | unseen ROC 0.7881 PR 0.5329 | valAUC 0.9794 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7996 PR 0.5595 | unseen ROC 0.7979 PR 0.5497 | valAUC 0.9863 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.8069 PR 0.5751 | unseen ROC 0.8052 PR 0.5659 | valAUC 0.9837 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.8130 PR 0.5871 | unseen ROC 0.8113 PR 0.5781 | valAUC 0.9920 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.8178 PR 0.6007 | unseen ROC 0.8162 PR 0.5922 | valAUC 0.9920 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.8210 PR 0.6091 | unseen ROC 0.8194 PR 0.6010 | valAUC 0.9882 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.8250 PR 0.6141 | unseen ROC 0.8235 PR 0.6060 | valAUC 0.9884 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.8269 PR 0.6204 | unseen ROC 0.8253 PR 0.6126 | valAUC 0.9887 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.8289 PR 0.6259 | unseen ROC 0.8275 PR 0.6183 | valAUC 0.9879 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.8308 PR 0.6347 | unseen ROC 0.8294 PR 0.6273 | valAUC 0.9877 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.8335 PR 0.6372 | unseen ROC 0.8320 PR 0.6298 | valAUC 0.9846 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.8347 PR 0.6434 | unseen ROC 0.8333 PR 0.6362 | valAUC 0.9856 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.8393 PR 0.6523 | unseen ROC 0.8380 PR 0.6453 | valAUC 0.9896 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.8411 PR 0.6574 | unseen ROC 0.8398 PR 0.6507 | valAUC 0.9905 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.8432 PR 0.6658 | unseen ROC 0.8419 PR 0.6593 | valAUC 0.9872 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.8461 PR 0.6745 | unseen ROC 0.8447 PR 0.6682 | valAUC 0.9905 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.8481 PR 0.6847 | unseen ROC 0.8468 PR 0.6786 | valAUC 0.9865 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.8529 PR 0.6945 | unseen ROC 0.8515 PR 0.6885 | valAUC 0.9887 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.8576 PR 0.7062 | unseen ROC 0.8563 PR 0.7006 | valAUC 0.9851 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.8614 PR 0.7191 | unseen ROC 0.8604 PR 0.7141 | valAUC 0.9887 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.8628 PR 0.7255 | unseen ROC 0.8616 PR 0.7206 | valAUC 0.9936 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.8678 PR 0.7393 | unseen ROC 0.8667 PR 0.7346 | valAUC 0.9868 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.8695 PR 0.7448 | unseen ROC 0.8684 PR 0.7404 | valAUC 0.9915 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.8741 PR 0.7572 | unseen ROC 0.8729 PR 0.7526 | valAUC 0.9905 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.8784 PR 0.7671 | unseen ROC 0.8773 PR 0.7632 | valAUC 0.9896 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.8807 PR 0.7723 | unseen ROC 0.8797 PR 0.7685 | valAUC 0.9898 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.8825 PR 0.7778 | unseen ROC 0.8814 PR 0.7738 | valAUC 0.9924 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.8828 PR 0.7804 | unseen ROC 0.8817 PR 0.7765 | valAUC 0.9920 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.8871 PR 0.7912 | unseen ROC 0.8862 PR 0.7879 | valAUC 0.9901 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.8884 PR 0.7923 | unseen ROC 0.8875 PR 0.7890 | valAUC 0.9903 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.8891 PR 0.7943 | unseen ROC 0.8880 PR 0.7908 | valAUC 0.9896 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.8883 PR 0.7924 | unseen ROC 0.8873 PR 0.7887 | valAUC 0.9910 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.8915 PR 0.8011 | unseen ROC 0.8906 PR 0.7979 | valAUC 0.9931 | tau+ 0.500
[OUTPOST-v4] epoch 42: test-all ROC 0.8913 PR 0.8003 | unseen ROC 0.8903 PR 0.7969 | valAUC 0.9955 | tau+ 0.500
[OUTPOST-v4] epoch 43: test-all ROC 0.8925 PR 0.8033 | unseen ROC 0.8915 PR 0.8001 | valAUC 0.9884 | tau+ 0.500
[OUTPOST-v4] epoch 44: test-all ROC 0.8952 PR 0.8077 | unseen ROC 0.8943 PR 0.8044 | valAUC 0.9960 | tau+ 0.500
[OUTPOST-v4] epoch 45: test-all ROC 0.8935 PR 0.8038 | unseen ROC 0.8925 PR 0.8003 | valAUC 0.9905 | tau+ 0.500
[OUTPOST-v4] epoch 46: test-all ROC 0.8941 PR 0.8073 | unseen ROC 0.8931 PR 0.8042 | valAUC 0.9950 | tau+ 0.500
[OUTPOST-v4] epoch 47: test-all ROC 0.8948 PR 0.8075 | unseen ROC 0.8938 PR 0.8040 | valAUC 0.9884 | tau+ 0.500
[OUTPOST-v4] epoch 48: test-all ROC 0.8963 PR 0.8110 | unseen ROC 0.8954 PR 0.8075 | valAUC 0.9960 | tau+ 0.500
[OUTPOST-v4] epoch 49: test-all ROC 0.8957 PR 0.8125 | unseen ROC 0.8948 PR 0.8093 | valAUC 0.9934 | tau+ 0.500
[OUTPOST-v4] epoch 50: test-all ROC 0.8960 PR 0.8133 | unseen ROC 0.8950 PR 0.8099 | valAUC 0.9917 | tau+ 0.500
[OUTPOST-v4] epoch 51: test-all ROC 0.8975 PR 0.8170 | unseen ROC 0.8966 PR 0.8141 | valAUC 0.9969 | tau+ 0.500
[OUTPOST-v4] epoch 52: test-all ROC 0.8991 PR 0.8171 | unseen ROC 0.8982 PR 0.8140 | valAUC 0.9913 | tau+ 0.500
[OUTPOST-v4] epoch 53: test-all ROC 0.8991 PR 0.8193 | unseen ROC 0.8982 PR 0.8163 | valAUC 0.9920 | tau+ 0.500
[OUTPOST-v4] epoch 54: test-all ROC 0.8972 PR 0.8128 | unseen ROC 0.8963 PR 0.8093 | valAUC 0.9877 | tau+ 0.500
[OUTPOST-v4] epoch 55: test-all ROC 0.8993 PR 0.8156 | unseen ROC 0.8983 PR 0.8124 | valAUC 0.9913 | tau+ 0.500
[OUTPOST-v4] epoch 56: test-all ROC 0.8947 PR 0.8093 | unseen ROC 0.8937 PR 0.8058 | valAUC 0.9889 | tau+ 0.500
[OUTPOST-v4] epoch 57: test-all ROC 0.8954 PR 0.8089 | unseen ROC 0.8945 PR 0.8055 | valAUC 0.9915 | tau+ 0.500
[OUTPOST-v4] epoch 58: test-all ROC 0.8934 PR 0.8055 | unseen ROC 0.8925 PR 0.8020 | valAUC 0.9865 | tau+ 0.500
[OUTPOST-v4] epoch 59: test-all ROC 0.8918 PR 0.8039 | unseen ROC 0.8908 PR 0.8004 | valAUC 0.9910 | tau+ 0.500
[OUTPOST-v4] epoch 60: test-all ROC 0.8909 PR 0.7968 | unseen ROC 0.8899 PR 0.7931 | valAUC 0.9922 | tau+ 0.500
[OUTPOST-v4] epoch 61: test-all ROC 0.8898 PR 0.7974 | unseen ROC 0.8890 PR 0.7939 | valAUC 0.9896 | tau+ 0.500
[OUTPOST-v4] epoch 62: test-all ROC 0.8884 PR 0.7939 | unseen ROC 0.8874 PR 0.7903 | valAUC 0.9879 | tau+ 0.500
