# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset amazon --seed 2 --method outpost --tag C_noconformal --set sim_topk_frac=0.0 use_conformal=false --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[amazon] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in amazon
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6898 PR 0.1601 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7072 | tau+ 0.950
[OUTPOST-v4] epoch 1: test-all ROC 0.7070 PR 0.1625 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7390 | tau+ 0.950
[OUTPOST-v4] epoch 2: test-all ROC 0.7071 PR 0.1624 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7303 | tau+ 0.950
[OUTPOST-v4] epoch 3: test-all ROC 0.7159 PR 0.1644 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7709 | tau+ 0.950
[OUTPOST-v4] epoch 4: test-all ROC 0.7153 PR 0.1695 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7517 | tau+ 0.950
[OUTPOST-v4] epoch 5: test-all ROC 0.7186 PR 0.1676 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7267 | tau+ 0.950
[OUTPOST-v4] epoch 6: test-all ROC 0.7183 PR 0.1684 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7201 | tau+ 0.950
[OUTPOST-v4] epoch 7: test-all ROC 0.7106 PR 0.1548 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7183 | tau+ 0.950
[OUTPOST-v4] epoch 8: test-all ROC 0.7085 PR 0.1512 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6835 | tau+ 0.950
[OUTPOST-v4] epoch 9: test-all ROC 0.6876 PR 0.1409 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7111 | tau+ 0.950
[OUTPOST-v4] epoch 10: test-all ROC 0.6577 PR 0.1193 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6859 | tau+ 0.950
[OUTPOST-v4] epoch 11: test-all ROC 0.6319 PR 0.1059 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6171 | tau+ 0.950
[OUTPOST-v4] epoch 12: test-all ROC 0.6130 PR 0.1006 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6141 | tau+ 0.950
[OUTPOST-v4] epoch 13: test-all ROC 0.6183 PR 0.1043 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6051 | tau+ 0.950
[OUTPOST-v4] epoch 14: test-all ROC 0.6179 PR 0.1005 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6468 | tau+ 0.950
[OUTPOST-v4] epoch 15: test-all ROC 0.6450 PR 0.1201 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6294 | tau+ 0.950
[OUTPOST-v4] epoch 16: test-all ROC 0.6737 PR 0.1386 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6856 | tau+ 0.950
[OUTPOST-v4] epoch 17: test-all ROC 0.6855 PR 0.1509 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6862 | tau+ 0.950
[OUTPOST-v4] epoch 18: test-all ROC 0.6923 PR 0.1601 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7387 | tau+ 0.950
[OUTPOST-v4] epoch 19: test-all ROC 0.6930 PR 0.1623 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7069 | tau+ 0.950
[OUTPOST-v4] epoch 20: test-all ROC 0.6960 PR 0.1634 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6778 | tau+ 0.950
[OUTPOST-v4] epoch 21: test-all ROC 0.7029 PR 0.1635 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7252 | tau+ 0.950
[OUTPOST-v4] epoch 22: test-all ROC 0.7059 PR 0.1731 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7294 | tau+ 0.950
[OUTPOST-v4] epoch 23: test-all ROC 0.7096 PR 0.1731 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7000 | tau+ 0.950
[OUTPOST-v4] epoch 24: test-all ROC 0.7088 PR 0.1726 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7069 | tau+ 0.950
[OUTPOST-v4] epoch 25: test-all ROC 0.7138 PR 0.1658 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7294 | tau+ 0.950
[OUTPOST-v4] epoch 26: test-all ROC 0.7061 PR 0.1669 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7616 | tau+ 0.950
[OUTPOST-v4] epoch 27: test-all ROC 0.7131 PR 0.1733 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7063 | tau+ 0.950
[OUTPOST-v4] epoch 28: test-all ROC 0.7135 PR 0.1765 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7547 | tau+ 0.950
[OUTPOST-v4] epoch 29: test-all ROC 0.7178 PR 0.1761 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7390 | tau+ 0.950
[OUTPOST-v4] epoch 30: test-all ROC 0.7169 PR 0.1761 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7423 | tau+ 0.950
[OUTPOST-v4] epoch 31: test-all ROC 0.7099 PR 0.1686 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7562 | tau+ 0.950
[OUTPOST-v4] epoch 32: test-all ROC 0.7133 PR 0.1766 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7447 | tau+ 0.950
