# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset amazon --seed 6 --method outpost --tag L_lean --set sim_topk_frac=0.0 use_atlas_gate=false use_pl=false --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[amazon] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in amazon
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.3900 PR 0.0517 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.3841 | tau+ 0.953
[OUTPOST-v4] epoch 1: test-all ROC 0.6687 PR 0.1103 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7066 | tau+ 0.509
[OUTPOST-v4] epoch 2: test-all ROC 0.7095 PR 0.1686 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6958 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7228 PR 0.1808 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6649 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7142 PR 0.1797 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6892 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7103 PR 0.1814 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6742 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7232 PR 0.1787 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6940 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7150 PR 0.1754 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6586 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7155 PR 0.1737 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5955 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7238 PR 0.1839 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6898 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7159 PR 0.1753 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6790 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7113 PR 0.1791 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6613 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7203 PR 0.1844 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6616 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.7293 PR 0.1904 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6952 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.7202 PR 0.1828 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6631 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.7264 PR 0.1902 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6144 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.7294 PR 0.1886 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6661 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.7209 PR 0.1933 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6916 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.7301 PR 0.1939 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6796 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.7290 PR 0.1919 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6529 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.7287 PR 0.2124 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6856 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.7342 PR 0.2015 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6910 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.7363 PR 0.2394 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7444 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.7376 PR 0.2258 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6931 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.7316 PR 0.2177 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7228 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.7367 PR 0.2323 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7030 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.7299 PR 0.2266 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6787 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.7336 PR 0.2177 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6958 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.7379 PR 0.2169 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7255 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.7306 PR 0.1979 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7042 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.7248 PR 0.2056 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7006 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.7322 PR 0.1910 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6541 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.7319 PR 0.2160 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6625 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.7305 PR 0.2254 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6787 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.7300 PR 0.2026 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6844 | tau+ 0.500
