# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 3 --method outpost --tag E400_outpost --rotations 0 --set num_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(0)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4627 PR 0.1392 | unseen ROC 0.4249 PR 0.1091 | valAUC 0.6000 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4607 PR 0.1398 | unseen ROC 0.4201 PR 0.1089 | valAUC 0.5776 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4500 PR 0.1376 | unseen ROC 0.4098 PR 0.1075 | valAUC 0.6287 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4520 PR 0.1377 | unseen ROC 0.4117 PR 0.1074 | valAUC 0.6155 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4491 PR 0.1372 | unseen ROC 0.4081 PR 0.1069 | valAUC 0.5647 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4516 PR 0.1381 | unseen ROC 0.4114 PR 0.1077 | valAUC 0.5474 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4506 PR 0.1379 | unseen ROC 0.4081 PR 0.1069 | valAUC 0.5911 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4548 PR 0.1390 | unseen ROC 0.4121 PR 0.1074 | valAUC 0.5784 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4599 PR 0.1406 | unseen ROC 0.4176 PR 0.1087 | valAUC 0.6072 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4652 PR 0.1421 | unseen ROC 0.4228 PR 0.1098 | valAUC 0.6020 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.4735 PR 0.1458 | unseen ROC 0.4325 PR 0.1137 | valAUC 0.6032 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.4827 PR 0.1498 | unseen ROC 0.4403 PR 0.1158 | valAUC 0.6052 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.4968 PR 0.1556 | unseen ROC 0.4563 PR 0.1202 | valAUC 0.6230 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5064 PR 0.1591 | unseen ROC 0.4654 PR 0.1223 | valAUC 0.6638 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5118 PR 0.1622 | unseen ROC 0.4715 PR 0.1241 | valAUC 0.6971 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5176 PR 0.1649 | unseen ROC 0.4748 PR 0.1249 | valAUC 0.6399 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5371 PR 0.1740 | unseen ROC 0.4929 PR 0.1302 | valAUC 0.6595 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5408 PR 0.1757 | unseen ROC 0.4957 PR 0.1302 | valAUC 0.6603 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5386 PR 0.1750 | unseen ROC 0.4921 PR 0.1282 | valAUC 0.6730 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5370 PR 0.1755 | unseen ROC 0.4888 PR 0.1280 | valAUC 0.6776 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5437 PR 0.1804 | unseen ROC 0.4944 PR 0.1282 | valAUC 0.7172 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5385 PR 0.1775 | unseen ROC 0.4889 PR 0.1273 | valAUC 0.7287 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5386 PR 0.1788 | unseen ROC 0.4878 PR 0.1274 | valAUC 0.7129 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5271 PR 0.1718 | unseen ROC 0.4771 PR 0.1248 | valAUC 0.7259 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.5248 PR 0.1711 | unseen ROC 0.4727 PR 0.1240 | valAUC 0.6730 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.5244 PR 0.1725 | unseen ROC 0.4714 PR 0.1245 | valAUC 0.7057 | tau+ 0.500
