# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset ogbn-arxiv --seed 3 --method outpost --tag A_nogate400 --rotations 8 --set use_atlas_gate=false
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[ogbn-arxiv] anomaly classes (rotations): [np.int64(4), np.int64(8), np.int64(10), np.int64(34)]
[ogbn-arxiv] running subset: [np.int64(8)]
Normal classes: [np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(9), np.int64(11), np.int64(12), np.int64(13), np.int64(14), np.int64(15), np.int64(16), np.int64(17), np.int64(18), np.int64(19), np.int64(20), np.int64(21), np.int64(22), np.int64(23), np.int64(24), np.int64(25), np.int64(26), np.int64(27), np.int64(28), np.int64(29), np.int64(30), np.int64(31), np.int64(32), np.int64(33), np.int64(35), np.int64(36), np.int64(37), np.int64(38), np.int64(39)] in ogbn-arxiv
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5245 PR 0.1802 | unseen ROC 0.5182 PR 0.1452 | valAUC 0.5978 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.5248 PR 0.1816 | unseen ROC 0.5198 PR 0.1470 | valAUC 0.5467 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5231 PR 0.1840 | unseen ROC 0.5199 PR 0.1498 | valAUC 0.5313 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.5286 PR 0.1884 | unseen ROC 0.5252 PR 0.1533 | valAUC 0.5224 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5320 PR 0.1911 | unseen ROC 0.5286 PR 0.1552 | valAUC 0.5373 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.5321 PR 0.1920 | unseen ROC 0.5287 PR 0.1557 | valAUC 0.5204 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5312 PR 0.1921 | unseen ROC 0.5275 PR 0.1554 | valAUC 0.5201 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.5299 PR 0.1917 | unseen ROC 0.5256 PR 0.1547 | valAUC 0.5251 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5286 PR 0.1912 | unseen ROC 0.5239 PR 0.1541 | valAUC 0.5204 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5260 PR 0.1901 | unseen ROC 0.5211 PR 0.1529 | valAUC 0.5312 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5280 PR 0.1908 | unseen ROC 0.5211 PR 0.1527 | valAUC 0.5311 | tau+ 0.500
