# gpu=5 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 3 --method outpost --tag C_nopl --rotations 0 --set use_pl=false
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [np.int64(0), np.int64(7)]
[photo] running subset: [np.int64(0)]
Normal classes: [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6135 PR 0.1225 | unseen ROC 0.4115 PR 0.0370 | valAUC 0.8797 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6185 PR 0.1265 | unseen ROC 0.4154 PR 0.0371 | valAUC 0.8681 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6106 PR 0.1229 | unseen ROC 0.4047 PR 0.0365 | valAUC 0.8638 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6094 PR 0.1232 | unseen ROC 0.4015 PR 0.0363 | valAUC 0.8720 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6129 PR 0.1258 | unseen ROC 0.4062 PR 0.0366 | valAUC 0.8657 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6178 PR 0.1292 | unseen ROC 0.4064 PR 0.0366 | valAUC 0.8778 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6221 PR 0.1301 | unseen ROC 0.4108 PR 0.0370 | valAUC 0.8874 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6227 PR 0.1344 | unseen ROC 0.4066 PR 0.0366 | valAUC 0.8773 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6277 PR 0.1387 | unseen ROC 0.4092 PR 0.0368 | valAUC 0.9072 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6266 PR 0.1433 | unseen ROC 0.3986 PR 0.0362 | valAUC 0.8918 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6273 PR 0.1488 | unseen ROC 0.3913 PR 0.0358 | valAUC 0.9208 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6319 PR 0.1562 | unseen ROC 0.3907 PR 0.0358 | valAUC 0.9237 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6343 PR 0.1606 | unseen ROC 0.3929 PR 0.0359 | valAUC 0.9338 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6374 PR 0.1669 | unseen ROC 0.3941 PR 0.0360 | valAUC 0.9343 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6426 PR 0.1715 | unseen ROC 0.4004 PR 0.0363 | valAUC 0.9391 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6412 PR 0.1735 | unseen ROC 0.3954 PR 0.0360 | valAUC 0.9275 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6441 PR 0.1768 | unseen ROC 0.3986 PR 0.0361 | valAUC 0.9343 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6458 PR 0.1817 | unseen ROC 0.4004 PR 0.0363 | valAUC 0.9425 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6502 PR 0.1910 | unseen ROC 0.4056 PR 0.0366 | valAUC 0.9324 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.6540 PR 0.2020 | unseen ROC 0.4088 PR 0.0368 | valAUC 0.9527 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.6546 PR 0.2068 | unseen ROC 0.4083 PR 0.0367 | valAUC 0.9512 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.6515 PR 0.2107 | unseen ROC 0.3996 PR 0.0362 | valAUC 0.9594 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.6470 PR 0.2131 | unseen ROC 0.3918 PR 0.0358 | valAUC 0.9594 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.6515 PR 0.2097 | unseen ROC 0.3971 PR 0.0361 | valAUC 0.9546 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.6489 PR 0.2069 | unseen ROC 0.3955 PR 0.0360 | valAUC 0.9556 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.6523 PR 0.2126 | unseen ROC 0.3997 PR 0.0363 | valAUC 0.9444 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.6475 PR 0.2084 | unseen ROC 0.3943 PR 0.0359 | valAUC 0.9585 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.6508 PR 0.2093 | unseen ROC 0.3990 PR 0.0362 | valAUC 0.9614 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.6506 PR 0.2022 | unseen ROC 0.4024 PR 0.0364 | valAUC 0.9546 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.6534 PR 0.2058 | unseen ROC 0.4054 PR 0.0366 | valAUC 0.9478 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.6407 PR 0.2020 | unseen ROC 0.3846 PR 0.0354 | valAUC 0.9565 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.6525 PR 0.2072 | unseen ROC 0.4022 PR 0.0364 | valAUC 0.9546 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.6492 PR 0.2031 | unseen ROC 0.3992 PR 0.0362 | valAUC 0.9618 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.6494 PR 0.2093 | unseen ROC 0.3980 PR 0.0361 | valAUC 0.9522 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.6506 PR 0.2079 | unseen ROC 0.4006 PR 0.0363 | valAUC 0.9522 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.6515 PR 0.2099 | unseen ROC 0.4009 PR 0.0363 | valAUC 0.9512 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.6501 PR 0.2149 | unseen ROC 0.3972 PR 0.0361 | valAUC 0.9464 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.6478 PR 0.2267 | unseen ROC 0.3905 PR 0.0357 | valAUC 0.9507 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.6522 PR 0.2392 | unseen ROC 0.3955 PR 0.0361 | valAUC 0.9652 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.6523 PR 0.2537 | unseen ROC 0.3962 PR 0.0361 | valAUC 0.9618 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.6609 PR 0.2750 | unseen ROC 0.4090 PR 0.0369 | valAUC 0.9725 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.6576 PR 0.3101 | unseen ROC 0.3972 PR 0.0362 | valAUC 0.9720 | tau+ 0.500
[OUTPOST-v4] epoch 42: test-all ROC 0.6617 PR 0.3448 | unseen ROC 0.4017 PR 0.0364 | valAUC 0.9599 | tau+ 0.500
[OUTPOST-v4] epoch 43: test-all ROC 0.6621 PR 0.3590 | unseen ROC 0.4007 PR 0.0363 | valAUC 0.9715 | tau+ 0.500
[OUTPOST-v4] epoch 44: test-all ROC 0.6680 PR 0.4022 | unseen ROC 0.4081 PR 0.0367 | valAUC 0.9667 | tau+ 0.500
[OUTPOST-v4] epoch 45: test-all ROC 0.6617 PR 0.4107 | unseen ROC 0.3947 PR 0.0360 | valAUC 0.9739 | tau+ 0.500
[OUTPOST-v4] epoch 46: test-all ROC 0.6670 PR 0.4374 | unseen ROC 0.4018 PR 0.0365 | valAUC 0.9792 | tau+ 0.500
[OUTPOST-v4] epoch 47: test-all ROC 0.6637 PR 0.4460 | unseen ROC 0.3928 PR 0.0359 | valAUC 0.9816 | tau+ 0.500
[OUTPOST-v4] epoch 48: test-all ROC 0.6672 PR 0.4488 | unseen ROC 0.4003 PR 0.0363 | valAUC 0.9787 | tau+ 0.500
[OUTPOST-v4] epoch 49: test-all ROC 0.6703 PR 0.4583 | unseen ROC 0.4038 PR 0.0365 | valAUC 0.9816 | tau+ 0.500
[OUTPOST-v4] epoch 50: test-all ROC 0.6687 PR 0.4640 | unseen ROC 0.3998 PR 0.0363 | valAUC 0.9865 | tau+ 0.500
[OUTPOST-v4] epoch 51: test-all ROC 0.6729 PR 0.4715 | unseen ROC 0.4065 PR 0.0367 | valAUC 0.9845 | tau+ 0.500
[OUTPOST-v4] epoch 52: test-all ROC 0.6778 PR 0.4758 | unseen ROC 0.4135 PR 0.0372 | valAUC 0.9845 | tau+ 0.500
[OUTPOST-v4] epoch 53: test-all ROC 0.6717 PR 0.4794 | unseen ROC 0.4021 PR 0.0367 | valAUC 0.9928 | tau+ 0.500
[OUTPOST-v4] epoch 54: test-all ROC 0.6720 PR 0.4815 | unseen ROC 0.4001 PR 0.0365 | valAUC 0.9884 | tau+ 0.500
[OUTPOST-v4] epoch 55: test-all ROC 0.6868 PR 0.4906 | unseen ROC 0.4266 PR 0.0382 | valAUC 0.9889 | tau+ 0.500
[OUTPOST-v4] epoch 56: test-all ROC 0.6821 PR 0.4936 | unseen ROC 0.4178 PR 0.0375 | valAUC 0.9821 | tau+ 0.500
[OUTPOST-v4] epoch 57: test-all ROC 0.6823 PR 0.4965 | unseen ROC 0.4175 PR 0.0379 | valAUC 0.9855 | tau+ 0.500
[OUTPOST-v4] epoch 58: test-all ROC 0.6897 PR 0.4968 | unseen ROC 0.4330 PR 0.0386 | valAUC 0.9874 | tau+ 0.500
[OUTPOST-v4] epoch 59: test-all ROC 0.6936 PR 0.4982 | unseen ROC 0.4395 PR 0.0389 | valAUC 0.9899 | tau+ 0.500
[OUTPOST-v4] epoch 60: test-all ROC 0.6912 PR 0.4985 | unseen ROC 0.4326 PR 0.0391 | valAUC 0.9889 | tau+ 0.500
[OUTPOST-v4] epoch 61: test-all ROC 0.6948 PR 0.4992 | unseen ROC 0.4409 PR 0.0393 | valAUC 0.9903 | tau+ 0.500
[OUTPOST-v4] epoch 62: test-all ROC 0.6989 PR 0.5044 | unseen ROC 0.4480 PR 0.0401 | valAUC 0.9903 | tau+ 0.500
[OUTPOST-v4] epoch 63: test-all ROC 0.7076 PR 0.5086 | unseen ROC 0.4620 PR 0.0414 | valAUC 0.9874 | tau+ 0.500
[OUTPOST-v4] epoch 64: test-all ROC 0.7051 PR 0.5097 | unseen ROC 0.4558 PR 0.0408 | valAUC 0.9928 | tau+ 0.500
[OUTPOST-v4] epoch 65: test-all ROC 0.7049 PR 0.5098 | unseen ROC 0.4566 PR 0.0412 | valAUC 0.9865 | tau+ 0.500
[OUTPOST-v4] epoch 66: test-all ROC 0.6986 PR 0.5096 | unseen ROC 0.4459 PR 0.0397 | valAUC 0.9928 | tau+ 0.500
[OUTPOST-v4] epoch 67: test-all ROC 0.7127 PR 0.5145 | unseen ROC 0.4694 PR 0.0413 | valAUC 0.9903 | tau+ 0.500
[OUTPOST-v4] epoch 68: test-all ROC 0.7107 PR 0.5146 | unseen ROC 0.4672 PR 0.0412 | valAUC 0.9899 | tau+ 0.500
[OUTPOST-v4] epoch 69: test-all ROC 0.7207 PR 0.5177 | unseen ROC 0.4851 PR 0.0427 | valAUC 0.9792 | tau+ 0.500
[OUTPOST-v4] epoch 70: test-all ROC 0.7175 PR 0.5169 | unseen ROC 0.4788 PR 0.0427 | valAUC 0.9855 | tau+ 0.500
[OUTPOST-v4] epoch 71: test-all ROC 0.7229 PR 0.5182 | unseen ROC 0.4894 PR 0.0433 | valAUC 0.9874 | tau+ 0.500
[OUTPOST-v4] epoch 72: test-all ROC 0.7253 PR 0.5226 | unseen ROC 0.4923 PR 0.0444 | valAUC 0.9797 | tau+ 0.500
[OUTPOST-v4] epoch 73: test-all ROC 0.7282 PR 0.5220 | unseen ROC 0.4984 PR 0.0441 | valAUC 0.9879 | tau+ 0.500
[OUTPOST-v4] epoch 74: test-all ROC 0.7346 PR 0.5255 | unseen ROC 0.5088 PR 0.0453 | valAUC 0.9860 | tau+ 0.500
[OUTPOST-v4] epoch 75: test-all ROC 0.7333 PR 0.5238 | unseen ROC 0.5083 PR 0.0450 | valAUC 0.9807 | tau+ 0.500
[OUTPOST-v4] epoch 76: test-all ROC 0.7381 PR 0.5266 | unseen ROC 0.5157 PR 0.0459 | valAUC 0.9807 | tau+ 0.500
[OUTPOST-v4] epoch 77: test-all ROC 0.7422 PR 0.5269 | unseen ROC 0.5234 PR 0.0464 | valAUC 0.9807 | tau+ 0.500
[OUTPOST-v4] epoch 78: test-all ROC 0.7449 PR 0.5276 | unseen ROC 0.5279 PR 0.0468 | valAUC 0.9802 | tau+ 0.500
[OUTPOST-v4] epoch 79: test-all ROC 0.7477 PR 0.5293 | unseen ROC 0.5334 PR 0.0476 | valAUC 0.9807 | tau+ 0.500
[OUTPOST-v4] epoch 80: test-all ROC 0.7452 PR 0.5292 | unseen ROC 0.5306 PR 0.0477 | valAUC 0.9816 | tau+ 0.500
[OUTPOST-v4] epoch 81: test-all ROC 0.7460 PR 0.5290 | unseen ROC 0.5306 PR 0.0475 | valAUC 0.9744 | tau+ 0.500
[OUTPOST-v4] epoch 82: test-all ROC 0.7485 PR 0.5300 | unseen ROC 0.5342 PR 0.0476 | valAUC 0.9836 | tau+ 0.500
