# gpu=5 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 4 --method outpost --tag E400_nogate --rotations 9 --set use_atlas_gate=false num_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(9)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4766 PR 0.1448 | unseen ROC 0.4827 PR 0.1326 | valAUC 0.4658 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4704 PR 0.1449 | unseen ROC 0.4760 PR 0.1327 | valAUC 0.4422 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4611 PR 0.1406 | unseen ROC 0.4648 PR 0.1282 | valAUC 0.4420 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4588 PR 0.1404 | unseen ROC 0.4628 PR 0.1279 | valAUC 0.4647 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4591 PR 0.1405 | unseen ROC 0.4614 PR 0.1276 | valAUC 0.4586 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4609 PR 0.1395 | unseen ROC 0.4638 PR 0.1270 | valAUC 0.4716 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4681 PR 0.1430 | unseen ROC 0.4708 PR 0.1301 | valAUC 0.4707 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4722 PR 0.1454 | unseen ROC 0.4751 PR 0.1322 | valAUC 0.5009 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4880 PR 0.1506 | unseen ROC 0.4900 PR 0.1365 | valAUC 0.4963 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5341 PR 0.1689 | unseen ROC 0.5343 PR 0.1541 | valAUC 0.5497 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5988 PR 0.2133 | unseen ROC 0.5881 PR 0.1888 | valAUC 0.7075 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5996 PR 0.2105 | unseen ROC 0.5893 PR 0.1837 | valAUC 0.6667 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5782 PR 0.1955 | unseen ROC 0.5636 PR 0.1707 | valAUC 0.7296 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5790 PR 0.1857 | unseen ROC 0.5587 PR 0.1599 | valAUC 0.7690 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5976 PR 0.1876 | unseen ROC 0.5767 PR 0.1602 | valAUC 0.8129 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5883 PR 0.1844 | unseen ROC 0.5670 PR 0.1568 | valAUC 0.8374 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5884 PR 0.1893 | unseen ROC 0.5644 PR 0.1577 | valAUC 0.8253 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5817 PR 0.2018 | unseen ROC 0.5558 PR 0.1626 | valAUC 0.8250 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5751 PR 0.2102 | unseen ROC 0.5509 PR 0.1640 | valAUC 0.8034 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5456 PR 0.2032 | unseen ROC 0.5233 PR 0.1583 | valAUC 0.7730 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5502 PR 0.2143 | unseen ROC 0.5262 PR 0.1637 | valAUC 0.7776 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5542 PR 0.2258 | unseen ROC 0.5292 PR 0.1706 | valAUC 0.7862 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5661 PR 0.2401 | unseen ROC 0.5403 PR 0.1753 | valAUC 0.8069 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5838 PR 0.2480 | unseen ROC 0.5561 PR 0.1830 | valAUC 0.8250 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.6020 PR 0.2618 | unseen ROC 0.5724 PR 0.1881 | valAUC 0.8624 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.6523 PR 0.2951 | unseen ROC 0.6237 PR 0.2094 | valAUC 0.8876 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.6658 PR 0.3087 | unseen ROC 0.6372 PR 0.2171 | valAUC 0.8931 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.6842 PR 0.3205 | unseen ROC 0.6569 PR 0.2247 | valAUC 0.8793 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.7082 PR 0.3513 | unseen ROC 0.6816 PR 0.2443 | valAUC 0.9290 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.7293 PR 0.3798 | unseen ROC 0.7042 PR 0.2647 | valAUC 0.9359 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.7440 PR 0.4005 | unseen ROC 0.7200 PR 0.2827 | valAUC 0.9443 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.7457 PR 0.4158 | unseen ROC 0.7207 PR 0.2961 | valAUC 0.9431 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.7503 PR 0.4222 | unseen ROC 0.7264 PR 0.3012 | valAUC 0.9460 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.7653 PR 0.4423 | unseen ROC 0.7425 PR 0.3175 | valAUC 0.9569 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.7827 PR 0.4645 | unseen ROC 0.7618 PR 0.3424 | valAUC 0.9560 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.7941 PR 0.4705 | unseen ROC 0.7744 PR 0.3467 | valAUC 0.9629 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.8028 PR 0.4940 | unseen ROC 0.7838 PR 0.3698 | valAUC 0.9575 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.8049 PR 0.4976 | unseen ROC 0.7858 PR 0.3739 | valAUC 0.9649 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.8119 PR 0.5124 | unseen ROC 0.7931 PR 0.3903 | valAUC 0.9693 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.8195 PR 0.5308 | unseen ROC 0.8007 PR 0.4150 | valAUC 0.9822 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.8250 PR 0.5404 | unseen ROC 0.8062 PR 0.4277 | valAUC 0.9807 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.8267 PR 0.5497 | unseen ROC 0.8077 PR 0.4379 | valAUC 0.9865 | tau+ 0.500
[OUTPOST-v4] epoch 42: test-all ROC 0.8324 PR 0.5584 | unseen ROC 0.8145 PR 0.4483 | valAUC 0.9862 | tau+ 0.500
[OUTPOST-v4] epoch 43: test-all ROC 0.8340 PR 0.5636 | unseen ROC 0.8161 PR 0.4534 | valAUC 0.9871 | tau+ 0.500
[OUTPOST-v4] epoch 44: test-all ROC 0.8385 PR 0.5697 | unseen ROC 0.8210 PR 0.4608 | valAUC 0.9879 | tau+ 0.500
[OUTPOST-v4] epoch 45: test-all ROC 0.8439 PR 0.5780 | unseen ROC 0.8269 PR 0.4702 | valAUC 0.9865 | tau+ 0.500
[OUTPOST-v4] epoch 46: test-all ROC 0.8468 PR 0.5813 | unseen ROC 0.8299 PR 0.4742 | valAUC 0.9853 | tau+ 0.500
[OUTPOST-v4] epoch 47: test-all ROC 0.8471 PR 0.5821 | unseen ROC 0.8302 PR 0.4752 | valAUC 0.9882 | tau+ 0.500
[OUTPOST-v4] epoch 48: test-all ROC 0.8488 PR 0.5839 | unseen ROC 0.8319 PR 0.4784 | valAUC 0.9902 | tau+ 0.500
[OUTPOST-v4] epoch 49: test-all ROC 0.8502 PR 0.5873 | unseen ROC 0.8334 PR 0.4817 | valAUC 0.9908 | tau+ 0.500
[OUTPOST-v4] epoch 50: test-all ROC 0.8509 PR 0.5875 | unseen ROC 0.8343 PR 0.4813 | valAUC 0.9902 | tau+ 0.500
[OUTPOST-v4] epoch 51: test-all ROC 0.8509 PR 0.5883 | unseen ROC 0.8343 PR 0.4833 | valAUC 0.9897 | tau+ 0.500
[OUTPOST-v4] epoch 52: test-all ROC 0.8530 PR 0.5914 | unseen ROC 0.8364 PR 0.4874 | valAUC 0.9920 | tau+ 0.500
[OUTPOST-v4] epoch 53: test-all ROC 0.8475 PR 0.5833 | unseen ROC 0.8300 PR 0.4789 | valAUC 0.9940 | tau+ 0.500
[OUTPOST-v4] epoch 54: test-all ROC 0.8446 PR 0.5843 | unseen ROC 0.8266 PR 0.4801 | valAUC 0.9966 | tau+ 0.500
[OUTPOST-v4] epoch 55: test-all ROC 0.8514 PR 0.5928 | unseen ROC 0.8343 PR 0.4883 | valAUC 0.9951 | tau+ 0.500
[OUTPOST-v4] epoch 56: test-all ROC 0.8521 PR 0.5930 | unseen ROC 0.8351 PR 0.4895 | valAUC 0.9943 | tau+ 0.500
[OUTPOST-v4] epoch 57: test-all ROC 0.8467 PR 0.5895 | unseen ROC 0.8290 PR 0.4866 | valAUC 0.9940 | tau+ 0.500
[OUTPOST-v4] epoch 58: test-all ROC 0.8368 PR 0.5814 | unseen ROC 0.8178 PR 0.4773 | valAUC 0.9963 | tau+ 0.500
[OUTPOST-v4] epoch 59: test-all ROC 0.8351 PR 0.5816 | unseen ROC 0.8157 PR 0.4777 | valAUC 0.9968 | tau+ 0.500
[OUTPOST-v4] epoch 60: test-all ROC 0.8305 PR 0.5805 | unseen ROC 0.8106 PR 0.4771 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 61: test-all ROC 0.8155 PR 0.5713 | unseen ROC 0.7938 PR 0.4690 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 62: test-all ROC 0.8142 PR 0.5730 | unseen ROC 0.7923 PR 0.4680 | valAUC 0.9968 | tau+ 0.500
[OUTPOST-v4] epoch 63: test-all ROC 0.8167 PR 0.5761 | unseen ROC 0.7951 PR 0.4740 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 64: test-all ROC 0.8194 PR 0.5804 | unseen ROC 0.7981 PR 0.4788 | valAUC 0.9980 | tau+ 0.500
[OUTPOST-v4] epoch 65: test-all ROC 0.8198 PR 0.5798 | unseen ROC 0.7986 PR 0.4783 | valAUC 0.9966 | tau+ 0.500
[OUTPOST-v4] epoch 66: test-all ROC 0.8014 PR 0.5731 | unseen ROC 0.7779 PR 0.4717 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 67: test-all ROC 0.7914 PR 0.5665 | unseen ROC 0.7667 PR 0.4639 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 68: test-all ROC 0.7777 PR 0.5575 | unseen ROC 0.7514 PR 0.4537 | valAUC 0.9966 | tau+ 0.500
[OUTPOST-v4] epoch 69: test-all ROC 0.7658 PR 0.5498 | unseen ROC 0.7382 PR 0.4458 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 70: test-all ROC 0.7573 PR 0.5406 | unseen ROC 0.7288 PR 0.4364 | valAUC 0.9968 | tau+ 0.500
[OUTPOST-v4] epoch 71: test-all ROC 0.7755 PR 0.5613 | unseen ROC 0.7490 PR 0.4595 | valAUC 0.9960 | tau+ 0.500
[OUTPOST-v4] epoch 72: test-all ROC 0.7921 PR 0.5732 | unseen ROC 0.7676 PR 0.4724 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 73: test-all ROC 0.8165 PR 0.5917 | unseen ROC 0.7949 PR 0.4943 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 74: test-all ROC 0.8313 PR 0.6015 | unseen ROC 0.8115 PR 0.5050 | valAUC 0.9960 | tau+ 0.500
[OUTPOST-v4] epoch 75: test-all ROC 0.8059 PR 0.5902 | unseen ROC 0.7831 PR 0.4916 | valAUC 0.9980 | tau+ 0.500
[OUTPOST-v4] epoch 76: test-all ROC 0.8054 PR 0.5898 | unseen ROC 0.7824 PR 0.4924 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 77: test-all ROC 0.8225 PR 0.5987 | unseen ROC 0.8016 PR 0.5028 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 78: test-all ROC 0.8433 PR 0.6106 | unseen ROC 0.8248 PR 0.5158 | valAUC 0.9971 | tau+ 0.500
[OUTPOST-v4] epoch 79: test-all ROC 0.8491 PR 0.6146 | unseen ROC 0.8313 PR 0.5183 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 80: test-all ROC 0.8456 PR 0.6097 | unseen ROC 0.8274 PR 0.5130 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 81: test-all ROC 0.8486 PR 0.6133 | unseen ROC 0.8308 PR 0.5181 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 82: test-all ROC 0.8462 PR 0.6136 | unseen ROC 0.8281 PR 0.5197 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 83: test-all ROC 0.8525 PR 0.6201 | unseen ROC 0.8351 PR 0.5273 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 84: test-all ROC 0.8491 PR 0.6197 | unseen ROC 0.8313 PR 0.5277 | valAUC 0.9989 | tau+ 0.500
[OUTPOST-v4] epoch 85: test-all ROC 0.8464 PR 0.6222 | unseen ROC 0.8283 PR 0.5302 | valAUC 0.9980 | tau+ 0.500
[OUTPOST-v4] epoch 86: test-all ROC 0.8406 PR 0.6189 | unseen ROC 0.8218 PR 0.5271 | valAUC 0.9980 | tau+ 0.500
[OUTPOST-v4] epoch 87: test-all ROC 0.8577 PR 0.6314 | unseen ROC 0.8410 PR 0.5405 | valAUC 0.9980 | tau+ 0.500
[OUTPOST-v4] epoch 88: test-all ROC 0.8734 PR 0.6444 | unseen ROC 0.8588 PR 0.5556 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 89: test-all ROC 0.8762 PR 0.6498 | unseen ROC 0.8620 PR 0.5614 | valAUC 0.9980 | tau+ 0.500
[OUTPOST-v4] epoch 90: test-all ROC 0.8749 PR 0.6479 | unseen ROC 0.8604 PR 0.5589 | valAUC 0.9980 | tau+ 0.500
[OUTPOST-v4] epoch 91: test-all ROC 0.8671 PR 0.6385 | unseen ROC 0.8516 PR 0.5476 | valAUC 0.9980 | tau+ 0.500
[OUTPOST-v4] epoch 92: test-all ROC 0.8567 PR 0.6344 | unseen ROC 0.8399 PR 0.5463 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 93: test-all ROC 0.8577 PR 0.6340 | unseen ROC 0.8410 PR 0.5451 | valAUC 0.9971 | tau+ 0.500
[OUTPOST-v4] epoch 94: test-all ROC 0.8656 PR 0.6396 | unseen ROC 0.8499 PR 0.5514 | valAUC 0.9986 | tau+ 0.500
[OUTPOST-v4] epoch 95: test-all ROC 0.8729 PR 0.6466 | unseen ROC 0.8581 PR 0.5578 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 96: test-all ROC 0.8762 PR 0.6512 | unseen ROC 0.8619 PR 0.5651 | valAUC 0.9980 | tau+ 0.500
[OUTPOST-v4] epoch 97: test-all ROC 0.8736 PR 0.6510 | unseen ROC 0.8590 PR 0.5645 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 98: test-all ROC 0.8745 PR 0.6531 | unseen ROC 0.8599 PR 0.5647 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 99: test-all ROC 0.8774 PR 0.6625 | unseen ROC 0.8631 PR 0.5765 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 100: test-all ROC 0.8777 PR 0.6601 | unseen ROC 0.8634 PR 0.5748 | valAUC 0.9980 | tau+ 0.500
[OUTPOST-v4] epoch 101: test-all ROC 0.8781 PR 0.6616 | unseen ROC 0.8638 PR 0.5771 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 102: test-all ROC 0.8769 PR 0.6618 | unseen ROC 0.8625 PR 0.5760 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 103: test-all ROC 0.8778 PR 0.6625 | unseen ROC 0.8635 PR 0.5781 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 104: test-all ROC 0.8849 PR 0.6704 | unseen ROC 0.8715 PR 0.5870 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 105: test-all ROC 0.8847 PR 0.6725 | unseen ROC 0.8717 PR 0.5898 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 106: test-all ROC 0.8736 PR 0.6613 | unseen ROC 0.8597 PR 0.5783 | valAUC 0.9966 | tau+ 0.500
[OUTPOST-v4] epoch 107: test-all ROC 0.8788 PR 0.6644 | unseen ROC 0.8654 PR 0.5809 | valAUC 0.9968 | tau+ 0.500
[OUTPOST-v4] epoch 108: test-all ROC 0.8872 PR 0.6715 | unseen ROC 0.8743 PR 0.5890 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 109: test-all ROC 0.8846 PR 0.6716 | unseen ROC 0.8713 PR 0.5882 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 110: test-all ROC 0.8863 PR 0.6722 | unseen ROC 0.8732 PR 0.5903 | valAUC 0.9968 | tau+ 0.500
[OUTPOST-v4] epoch 111: test-all ROC 0.8848 PR 0.6754 | unseen ROC 0.8714 PR 0.5941 | valAUC 0.9971 | tau+ 0.500
[OUTPOST-v4] epoch 112: test-all ROC 0.8868 PR 0.6765 | unseen ROC 0.8738 PR 0.5945 | valAUC 0.9980 | tau+ 0.500
[OUTPOST-v4] epoch 113: test-all ROC 0.8819 PR 0.6722 | unseen ROC 0.8683 PR 0.5894 | valAUC 0.9968 | tau+ 0.500
[OUTPOST-v4] epoch 114: test-all ROC 0.8782 PR 0.6727 | unseen ROC 0.8640 PR 0.5916 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 115: test-all ROC 0.8786 PR 0.6743 | unseen ROC 0.8644 PR 0.5933 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 116: test-all ROC 0.8732 PR 0.6694 | unseen ROC 0.8584 PR 0.5877 | valAUC 0.9977 | tau+ 0.500
[OUTPOST-v4] epoch 117: test-all ROC 0.8676 PR 0.6629 | unseen ROC 0.8521 PR 0.5799 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 118: test-all ROC 0.8620 PR 0.6578 | unseen ROC 0.8459 PR 0.5743 | valAUC 0.9980 | tau+ 0.500
[OUTPOST-v4] epoch 119: test-all ROC 0.8682 PR 0.6602 | unseen ROC 0.8528 PR 0.5778 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 120: test-all ROC 0.8773 PR 0.6688 | unseen ROC 0.8630 PR 0.5871 | valAUC 0.9968 | tau+ 0.500
[OUTPOST-v4] epoch 121: test-all ROC 0.8825 PR 0.6729 | unseen ROC 0.8690 PR 0.5927 | valAUC 0.9960 | tau+ 0.500
[OUTPOST-v4] epoch 122: test-all ROC 0.8854 PR 0.6742 | unseen ROC 0.8723 PR 0.5927 | valAUC 0.9954 | tau+ 0.500
[OUTPOST-v4] epoch 123: test-all ROC 0.8770 PR 0.6732 | unseen ROC 0.8628 PR 0.5919 | valAUC 0.9964 | tau+ 0.500
[OUTPOST-v4] epoch 124: test-all ROC 0.8592 PR 0.6662 | unseen ROC 0.8428 PR 0.5851 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 125: test-all ROC 0.8624 PR 0.6720 | unseen ROC 0.8463 PR 0.5939 | valAUC 0.9974 | tau+ 0.500
