# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 7 --method outpost --tag E400_nogate --rotations 12 --set use_atlas_gate=false num_epochs=400
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [np.int64(0), np.int64(1), np.int64(3), np.int64(6), np.int64(8), np.int64(9), np.int64(12), np.int64(14)]
[cs] running subset: [np.int64(12)]
Normal classes: [np.int64(2), np.int64(4), np.int64(5), np.int64(7), np.int64(10), np.int64(11), np.int64(13)] in cs
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.7475 PR 0.5089 | unseen ROC 0.7267 PR 0.4234 | valAUC 0.9837 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.7521 PR 0.5283 | unseen ROC 0.7313 PR 0.4465 | valAUC 0.9863 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7570 PR 0.5354 | unseen ROC 0.7364 PR 0.4532 | valAUC 0.9858 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7550 PR 0.5400 | unseen ROC 0.7340 PR 0.4609 | valAUC 0.9934 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7566 PR 0.5427 | unseen ROC 0.7357 PR 0.4633 | valAUC 0.9898 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7626 PR 0.5589 | unseen ROC 0.7422 PR 0.4832 | valAUC 0.9965 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7673 PR 0.5769 | unseen ROC 0.7472 PR 0.5066 | valAUC 0.9846 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7734 PR 0.5905 | unseen ROC 0.7535 PR 0.5240 | valAUC 0.9910 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7779 PR 0.5988 | unseen ROC 0.7584 PR 0.5348 | valAUC 0.9917 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7789 PR 0.6041 | unseen ROC 0.7595 PR 0.5413 | valAUC 0.9957 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7824 PR 0.6124 | unseen ROC 0.7633 PR 0.5509 | valAUC 0.9960 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7871 PR 0.6169 | unseen ROC 0.7681 PR 0.5557 | valAUC 0.9976 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7871 PR 0.6187 | unseen ROC 0.7682 PR 0.5581 | valAUC 0.9839 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.7875 PR 0.6210 | unseen ROC 0.7688 PR 0.5611 | valAUC 0.9915 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.7895 PR 0.6246 | unseen ROC 0.7711 PR 0.5655 | valAUC 0.9965 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.7920 PR 0.6294 | unseen ROC 0.7736 PR 0.5708 | valAUC 0.9849 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.7928 PR 0.6300 | unseen ROC 0.7744 PR 0.5709 | valAUC 0.9943 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.7939 PR 0.6331 | unseen ROC 0.7756 PR 0.5751 | valAUC 0.9839 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.7918 PR 0.6326 | unseen ROC 0.7732 PR 0.5744 | valAUC 0.9995 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.7940 PR 0.6358 | unseen ROC 0.7756 PR 0.5782 | valAUC 0.9922 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.7962 PR 0.6404 | unseen ROC 0.7781 PR 0.5836 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.7963 PR 0.6421 | unseen ROC 0.7779 PR 0.5850 | valAUC 0.9927 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.7997 PR 0.6471 | unseen ROC 0.7818 PR 0.5911 | valAUC 0.9898 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.8039 PR 0.6520 | unseen ROC 0.7864 PR 0.5968 | valAUC 0.9891 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.8074 PR 0.6590 | unseen ROC 0.7901 PR 0.6048 | valAUC 0.9931 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.8137 PR 0.6659 | unseen ROC 0.7969 PR 0.6123 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.8204 PR 0.6779 | unseen ROC 0.8042 PR 0.6260 | valAUC 0.9851 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.8290 PR 0.6907 | unseen ROC 0.8136 PR 0.6409 | valAUC 0.9986 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.8392 PR 0.7049 | unseen ROC 0.8248 PR 0.6573 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.8472 PR 0.7190 | unseen ROC 0.8334 PR 0.6736 | valAUC 0.9887 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.8585 PR 0.7329 | unseen ROC 0.8458 PR 0.6891 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.8677 PR 0.7499 | unseen ROC 0.8558 PR 0.7089 | valAUC 0.9910 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.8786 PR 0.7681 | unseen ROC 0.8676 PR 0.7301 | valAUC 0.9986 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.8886 PR 0.7861 | unseen ROC 0.8785 PR 0.7510 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.8987 PR 0.8010 | unseen ROC 0.8895 PR 0.7682 | valAUC 0.9924 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.9085 PR 0.8185 | unseen ROC 0.9003 PR 0.7884 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.9225 PR 0.8410 | unseen ROC 0.9155 PR 0.8143 | valAUC 0.9853 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.9300 PR 0.8539 | unseen ROC 0.9236 PR 0.8292 | valAUC 0.9946 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.9338 PR 0.8601 | unseen ROC 0.9278 PR 0.8364 | valAUC 0.9995 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.9403 PR 0.8718 | unseen ROC 0.9349 PR 0.8497 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.9460 PR 0.8819 | unseen ROC 0.9412 PR 0.8614 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.9531 PR 0.8976 | unseen ROC 0.9489 PR 0.8799 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 42: test-all ROC 0.9594 PR 0.9088 | unseen ROC 0.9558 PR 0.8928 | valAUC 0.9813 | tau+ 0.500
[OUTPOST-v4] epoch 43: test-all ROC 0.9652 PR 0.9198 | unseen ROC 0.9621 PR 0.9054 | valAUC 0.9983 | tau+ 0.500
[OUTPOST-v4] epoch 44: test-all ROC 0.9710 PR 0.9296 | unseen ROC 0.9686 PR 0.9169 | valAUC 0.9960 | tau+ 0.500
[OUTPOST-v4] epoch 45: test-all ROC 0.9732 PR 0.9354 | unseen ROC 0.9708 PR 0.9236 | valAUC 0.9979 | tau+ 0.500
[OUTPOST-v4] epoch 46: test-all ROC 0.9757 PR 0.9414 | unseen ROC 0.9736 PR 0.9307 | valAUC 0.9981 | tau+ 0.500
[OUTPOST-v4] epoch 47: test-all ROC 0.9773 PR 0.9471 | unseen ROC 0.9753 PR 0.9376 | valAUC 0.9998 | tau+ 0.500
[OUTPOST-v4] epoch 48: test-all ROC 0.9781 PR 0.9503 | unseen ROC 0.9763 PR 0.9416 | valAUC 0.9976 | tau+ 0.500
[OUTPOST-v4] epoch 49: test-all ROC 0.9793 PR 0.9538 | unseen ROC 0.9775 PR 0.9458 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 50: test-all ROC 0.9799 PR 0.9558 | unseen ROC 0.9782 PR 0.9483 | valAUC 0.9993 | tau+ 0.500
[OUTPOST-v4] epoch 51: test-all ROC 0.9815 PR 0.9567 | unseen ROC 0.9799 PR 0.9495 | valAUC 0.9995 | tau+ 0.500
[OUTPOST-v4] epoch 52: test-all ROC 0.9816 PR 0.9587 | unseen ROC 0.9801 PR 0.9519 | valAUC 0.9988 | tau+ 0.500
[OUTPOST-v4] epoch 53: test-all ROC 0.9816 PR 0.9560 | unseen ROC 0.9801 PR 0.9488 | valAUC 0.9903 | tau+ 0.500
[OUTPOST-v4] epoch 54: test-all ROC 0.9816 PR 0.9567 | unseen ROC 0.9801 PR 0.9495 | valAUC 0.9976 | tau+ 0.500
[OUTPOST-v4] epoch 55: test-all ROC 0.9829 PR 0.9603 | unseen ROC 0.9814 PR 0.9537 | valAUC 0.9974 | tau+ 0.500
