# gpu=6 cmd=/usr/bin/python3 -u main.py --dataset ogbn-arxiv --seed 3 --method outpost --tag A_main --rotations 34
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[ogbn-arxiv] anomaly classes (rotations): [4, 8, 10, 34]
[ogbn-arxiv] running subset: [34]
Normal classes: [0, 1, 2, 3, 5, 6, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 39] in ogbn-arxiv
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4969 PR 0.1755 | unseen ROC 0.5208 PR 0.1405 | valAUC 0.4706 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.5010 PR 0.1701 | unseen ROC 0.4842 PR 0.1230 | valAUC 0.5501 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4985 PR 0.1721 | unseen ROC 0.4925 PR 0.1273 | valAUC 0.5095 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4987 PR 0.1794 | unseen ROC 0.5097 PR 0.1379 | valAUC 0.5052 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5060 PR 0.1832 | unseen ROC 0.5176 PR 0.1409 | valAUC 0.5126 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.5129 PR 0.1883 | unseen ROC 0.5327 PR 0.1497 | valAUC 0.4981 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5138 PR 0.1887 | unseen ROC 0.5391 PR 0.1529 | valAUC 0.4946 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.5153 PR 0.1898 | unseen ROC 0.5434 PR 0.1553 | valAUC 0.4864 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5145 PR 0.1878 | unseen ROC 0.5449 PR 0.1544 | valAUC 0.4865 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5143 PR 0.1870 | unseen ROC 0.5455 PR 0.1539 | valAUC 0.4970 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5158 PR 0.1878 | unseen ROC 0.5443 PR 0.1533 | valAUC 0.4848 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5177 PR 0.1886 | unseen ROC 0.5418 PR 0.1520 | valAUC 0.4870 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5200 PR 0.1903 | unseen ROC 0.5374 PR 0.1500 | valAUC 0.5231 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5237 PR 0.1921 | unseen ROC 0.5357 PR 0.1491 | valAUC 0.5440 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5263 PR 0.1939 | unseen ROC 0.5311 PR 0.1476 | valAUC 0.5555 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5289 PR 0.1957 | unseen ROC 0.5252 PR 0.1456 | valAUC 0.5917 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5320 PR 0.1976 | unseen ROC 0.5192 PR 0.1434 | valAUC 0.6217 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5352 PR 0.1995 | unseen ROC 0.5118 PR 0.1408 | valAUC 0.6654 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5409 PR 0.2030 | unseen ROC 0.5038 PR 0.1378 | valAUC 0.6864 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5650 PR 0.2235 | unseen ROC 0.4928 PR 0.1292 | valAUC 0.8343 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5817 PR 0.2355 | unseen ROC 0.4835 PR 0.1188 | valAUC 0.8798 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5806 PR 0.2311 | unseen ROC 0.4864 PR 0.1175 | valAUC 0.8405 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5748 PR 0.2286 | unseen ROC 0.4896 PR 0.1183 | valAUC 0.7979 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5692 PR 0.2279 | unseen ROC 0.4902 PR 0.1190 | valAUC 0.7584 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.5645 PR 0.2256 | unseen ROC 0.4896 PR 0.1193 | valAUC 0.7436 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.5603 PR 0.2231 | unseen ROC 0.4877 PR 0.1191 | valAUC 0.7252 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.5585 PR 0.2223 | unseen ROC 0.4874 PR 0.1192 | valAUC 0.7098 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.5566 PR 0.2208 | unseen ROC 0.4865 PR 0.1191 | valAUC 0.7120 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.5551 PR 0.2190 | unseen ROC 0.4856 PR 0.1189 | valAUC 0.6973 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.5544 PR 0.2195 | unseen ROC 0.4853 PR 0.1190 | valAUC 0.7021 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.5538 PR 0.2182 | unseen ROC 0.4849 PR 0.1190 | valAUC 0.7011 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.5543 PR 0.2186 | unseen ROC 0.4856 PR 0.1192 | valAUC 0.6983 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.5536 PR 0.2182 | unseen ROC 0.4847 PR 0.1190 | valAUC 0.6985 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.5531 PR 0.2175 | unseen ROC 0.4840 PR 0.1187 | valAUC 0.6959 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.5522 PR 0.2167 | unseen ROC 0.4830 PR 0.1185 | valAUC 0.6960 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.5517 PR 0.2166 | unseen ROC 0.4821 PR 0.1183 | valAUC 0.6889 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.5507 PR 0.2161 | unseen ROC 0.4807 PR 0.1180 | valAUC 0.6975 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.5497 PR 0.2157 | unseen ROC 0.4794 PR 0.1176 | valAUC 0.6981 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.5494 PR 0.2153 | unseen ROC 0.4786 PR 0.1174 | valAUC 0.6999 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.5489 PR 0.2153 | unseen ROC 0.4776 PR 0.1171 | valAUC 0.6960 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.5487 PR 0.2154 | unseen ROC 0.4769 PR 0.1169 | valAUC 0.7021 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.5478 PR 0.2146 | unseen ROC 0.4754 PR 0.1164 | valAUC 0.7016 | tau+ 0.500
[OUTPOST-v4] epoch 42: test-all ROC 0.5482 PR 0.2158 | unseen ROC 0.4753 PR 0.1165 | valAUC 0.7094 | tau+ 0.500
[OUTPOST-v4] epoch 43: test-all ROC 0.5485 PR 0.2159 | unseen ROC 0.4749 PR 0.1162 | valAUC 0.7103 | tau+ 0.500
[OUTPOST-v4] epoch 44: test-all ROC 0.5492 PR 0.2164 | unseen ROC 0.4747 PR 0.1161 | valAUC 0.7169 | tau+ 0.500
[OUTPOST-v4] epoch 45: test-all ROC 0.5500 PR 0.2167 | unseen ROC 0.4746 PR 0.1160 | valAUC 0.7193 | tau+ 0.500
[OUTPOST-v4] epoch 46: test-all ROC 0.5514 PR 0.2181 | unseen ROC 0.4749 PR 0.1161 | valAUC 0.7261 | tau+ 0.500
[OUTPOST-v4] epoch 47: test-all ROC 0.5518 PR 0.2179 | unseen ROC 0.4744 PR 0.1159 | valAUC 0.7304 | tau+ 0.500
[OUTPOST-v4] epoch 48: test-all ROC 0.5527 PR 0.2185 | unseen ROC 0.4745 PR 0.1159 | valAUC 0.7427 | tau+ 0.500
[OUTPOST-v4] epoch 49: test-all ROC 0.5544 PR 0.2190 | unseen ROC 0.4748 PR 0.1159 | valAUC 0.7437 | tau+ 0.500
[OUTPOST-v4] epoch 50: test-all ROC 0.5564 PR 0.2198 | unseen ROC 0.4750 PR 0.1158 | valAUC 0.7523 | tau+ 0.500
[OUTPOST-v4] epoch 51: test-all ROC 0.5587 PR 0.2212 | unseen ROC 0.4756 PR 0.1159 | valAUC 0.7656 | tau+ 0.500
[OUTPOST-v4] epoch 52: test-all ROC 0.5605 PR 0.2223 | unseen ROC 0.4762 PR 0.1160 | valAUC 0.7699 | tau+ 0.500
