# gpu=6 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 0 --method outpost --tag A_main --rotations 12
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [0, 1, 3, 6, 8, 9, 12, 14]
[cs] running subset: [12]
Normal classes: [2, 4, 5, 7, 10, 11, 13] in cs
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'x', 'edge_index'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 0: test-all ROC 0.7125 PR 0.4701 | unseen ROC 0.6893 PR 0.3934 | valAUC 0.9747 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.7126 PR 0.5166 | unseen ROC 0.6877 PR 0.4372 | valAUC 0.9863 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7435 PR 0.5552 | unseen ROC 0.7213 PR 0.4813 | valAUC 0.9936 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7561 PR 0.5620 | unseen ROC 0.7350 PR 0.4901 | valAUC 0.9896 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7584 PR 0.5615 | unseen ROC 0.7376 PR 0.4882 | valAUC 0.9858 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7651 PR 0.5745 | unseen ROC 0.7449 PR 0.5046 | valAUC 0.9957 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7703 PR 0.5857 | unseen ROC 0.7503 PR 0.5183 | valAUC 0.9837 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7734 PR 0.5931 | unseen ROC 0.7537 PR 0.5285 | valAUC 0.9976 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7757 PR 0.6010 | unseen ROC 0.7559 PR 0.5378 | valAUC 0.9842 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.7784 PR 0.6030 | unseen ROC 0.7589 PR 0.5399 | valAUC 0.9969 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7787 PR 0.6053 | unseen ROC 0.7594 PR 0.5431 | valAUC 0.9972 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7832 PR 0.6115 | unseen ROC 0.7642 PR 0.5501 | valAUC 0.9946 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7842 PR 0.6120 | unseen ROC 0.7654 PR 0.5511 | valAUC 0.9950 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.7871 PR 0.6150 | unseen ROC 0.7685 PR 0.5547 | valAUC 0.9995 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.7865 PR 0.6164 | unseen ROC 0.7678 PR 0.5559 | valAUC 0.9969 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.7894 PR 0.6203 | unseen ROC 0.7707 PR 0.5600 | valAUC 0.9870 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.7897 PR 0.6209 | unseen ROC 0.7713 PR 0.5614 | valAUC 0.9882 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.7929 PR 0.6248 | unseen ROC 0.7746 PR 0.5654 | valAUC 0.9967 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.7929 PR 0.6269 | unseen ROC 0.7745 PR 0.5677 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.7951 PR 0.6286 | unseen ROC 0.7770 PR 0.5697 | valAUC 0.9991 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.7966 PR 0.6338 | unseen ROC 0.7785 PR 0.5756 | valAUC 0.9976 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.7992 PR 0.6361 | unseen ROC 0.7814 PR 0.5781 | valAUC 0.9995 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.8020 PR 0.6409 | unseen ROC 0.7844 PR 0.5835 | valAUC 0.9967 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.8039 PR 0.6442 | unseen ROC 0.7863 PR 0.5868 | valAUC 0.9993 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.8093 PR 0.6525 | unseen ROC 0.7924 PR 0.5971 | valAUC 0.9965 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.8139 PR 0.6592 | unseen ROC 0.7974 PR 0.6047 | valAUC 0.9986 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.8194 PR 0.6700 | unseen ROC 0.8032 PR 0.6169 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.8272 PR 0.6799 | unseen ROC 0.8116 PR 0.6278 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.8340 PR 0.6906 | unseen ROC 0.8191 PR 0.6404 | valAUC 0.9974 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.8433 PR 0.7046 | unseen ROC 0.8293 PR 0.6565 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.8539 PR 0.7239 | unseen ROC 0.8408 PR 0.6789 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.8639 PR 0.7405 | unseen ROC 0.8517 PR 0.6982 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.8756 PR 0.7622 | unseen ROC 0.8644 PR 0.7232 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.8845 PR 0.7771 | unseen ROC 0.8741 PR 0.7406 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.8931 PR 0.7933 | unseen ROC 0.8835 PR 0.7594 | valAUC 1.0000 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.9057 PR 0.8154 | unseen ROC 0.8973 PR 0.7853 | valAUC 1.0000 | tau+ 0.500
