# gpu=6 cmd=/usr/bin/python3 -u main.py --dataset cs --seed 1 --method outpost --tag A_main --rotations 8
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[0.03861888 0.02520046 0.11182021 0.02340043 0.07603775 0.11962036
 0.02023673 0.05040092 0.0422735  0.00643648 0.07876507 0.11089293
 0.02290951 0.2256041  0.04778269]
[cs] anomaly classes (rotations): [0, 1, 3, 6, 8, 9, 12, 14]
[cs] running subset: [8]
Normal classes: [2, 4, 5, 7, 10, 11, 13] in cs
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'edge_index', 'x'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 0: test-all ROC 0.7542 PR 0.4818 | unseen ROC 0.7767 PR 0.4720 | valAUC 0.5884 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.7586 PR 0.4841 | unseen ROC 0.7766 PR 0.4711 | valAUC 0.6388 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7762 PR 0.5233 | unseen ROC 0.7946 PR 0.5128 | valAUC 0.6690 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7696 PR 0.5160 | unseen ROC 0.7875 PR 0.5045 | valAUC 0.6636 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7722 PR 0.5196 | unseen ROC 0.7890 PR 0.5076 | valAUC 0.6771 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7937 PR 0.5630 | unseen ROC 0.8052 PR 0.5488 | valAUC 0.7251 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.8128 PR 0.6063 | unseen ROC 0.8189 PR 0.5903 | valAUC 0.7622 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.8342 PR 0.6458 | unseen ROC 0.8354 PR 0.6252 | valAUC 0.8187 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.8505 PR 0.6836 | unseen ROC 0.8475 PR 0.6560 | valAUC 0.8638 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.8627 PR 0.7115 | unseen ROC 0.8557 PR 0.6757 | valAUC 0.8955 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.8760 PR 0.7352 | unseen ROC 0.8658 PR 0.6889 | valAUC 0.9191 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.8826 PR 0.7400 | unseen ROC 0.8712 PR 0.6854 | valAUC 0.9350 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.8877 PR 0.7357 | unseen ROC 0.8757 PR 0.6723 | valAUC 0.9478 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.8897 PR 0.7263 | unseen ROC 0.8774 PR 0.6555 | valAUC 0.9456 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.8920 PR 0.7239 | unseen ROC 0.8795 PR 0.6497 | valAUC 0.9563 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.8947 PR 0.7296 | unseen ROC 0.8826 PR 0.6543 | valAUC 0.9669 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.8958 PR 0.7256 | unseen ROC 0.8834 PR 0.6492 | valAUC 0.9603 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.8971 PR 0.7249 | unseen ROC 0.8849 PR 0.6480 | valAUC 0.9749 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.8991 PR 0.7302 | unseen ROC 0.8869 PR 0.6524 | valAUC 0.9615 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.9004 PR 0.7354 | unseen ROC 0.8876 PR 0.6578 | valAUC 0.9764 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.9026 PR 0.7374 | unseen ROC 0.8906 PR 0.6599 | valAUC 0.9662 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.9057 PR 0.7466 | unseen ROC 0.8941 PR 0.6709 | valAUC 0.9754 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.9057 PR 0.7496 | unseen ROC 0.8936 PR 0.6742 | valAUC 0.9690 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.9069 PR 0.7473 | unseen ROC 0.8958 PR 0.6741 | valAUC 0.9600 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.9085 PR 0.7559 | unseen ROC 0.8967 PR 0.6802 | valAUC 0.9749 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.9104 PR 0.7590 | unseen ROC 0.8993 PR 0.6872 | valAUC 0.9704 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.9126 PR 0.7682 | unseen ROC 0.9016 PR 0.6956 | valAUC 0.9790 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.9124 PR 0.7653 | unseen ROC 0.9011 PR 0.6927 | valAUC 0.9799 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.9136 PR 0.7730 | unseen ROC 0.9023 PR 0.6999 | valAUC 0.9917 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.9161 PR 0.7730 | unseen ROC 0.9048 PR 0.7000 | valAUC 0.9844 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.9165 PR 0.7741 | unseen ROC 0.9059 PR 0.7011 | valAUC 0.9825 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.9197 PR 0.7768 | unseen ROC 0.9090 PR 0.7037 | valAUC 0.9832 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.9221 PR 0.7786 | unseen ROC 0.9119 PR 0.7029 | valAUC 0.9858 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.9262 PR 0.7751 | unseen ROC 0.9164 PR 0.7007 | valAUC 0.9865 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.9319 PR 0.7812 | unseen ROC 0.9229 PR 0.7060 | valAUC 0.9872 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.9334 PR 0.7740 | unseen ROC 0.9248 PR 0.6963 | valAUC 0.9955 | tau+ 0.546
[OUTPOST-v4] epoch 36: test-all ROC 0.9369 PR 0.7722 | unseen ROC 0.9293 PR 0.6940 | valAUC 0.9879 | tau+ 0.522
[OUTPOST-v4] epoch 37: test-all ROC 0.9395 PR 0.7779 | unseen ROC 0.9321 PR 0.7000 | valAUC 0.9889 | tau+ 0.579
[OUTPOST-v4] epoch 38: test-all ROC 0.9431 PR 0.7909 | unseen ROC 0.9365 PR 0.7189 | valAUC 0.9884 | tau+ 0.521
