# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 2 --method outpost --tag A_main
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [0, 7]
Normal classes: [1, 2, 3, 4, 5, 6] in photo
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'edge_index', 'x'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 0: test-all ROC 0.5975 PR 0.1193 | unseen ROC 0.3837 PR 0.0353 | valAUC 0.8430 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6057 PR 0.1210 | unseen ROC 0.4018 PR 0.0363 | valAUC 0.8604 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6064 PR 0.1210 | unseen ROC 0.4038 PR 0.0364 | valAUC 0.8367 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6056 PR 0.1199 | unseen ROC 0.4048 PR 0.0365 | valAUC 0.8430 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6104 PR 0.1227 | unseen ROC 0.4104 PR 0.0368 | valAUC 0.8705 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6135 PR 0.1250 | unseen ROC 0.4115 PR 0.0369 | valAUC 0.8411 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6043 PR 0.1231 | unseen ROC 0.3923 PR 0.0358 | valAUC 0.8585 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6176 PR 0.1295 | unseen ROC 0.4075 PR 0.0366 | valAUC 0.8729 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6172 PR 0.1320 | unseen ROC 0.4021 PR 0.0364 | valAUC 0.8821 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6289 PR 0.1387 | unseen ROC 0.4140 PR 0.0371 | valAUC 0.8778 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6276 PR 0.1452 | unseen ROC 0.4031 PR 0.0364 | valAUC 0.8971 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6324 PR 0.1480 | unseen ROC 0.4063 PR 0.0366 | valAUC 0.9116 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6299 PR 0.1541 | unseen ROC 0.3929 PR 0.0359 | valAUC 0.9242 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6352 PR 0.1616 | unseen ROC 0.3948 PR 0.0359 | valAUC 0.9222 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6397 PR 0.1659 | unseen ROC 0.3988 PR 0.0362 | valAUC 0.9401 | tau+ 0.500
