# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 42 --method outpost --tag C_fview --set use_fview_gate=true
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[yelp] anomaly classes (rotations): [1]
Normal classes: [0] in yelp
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'y', 'edge_index', 'x'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 0: test-all ROC 0.4977 PR 0.1567 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5648 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 1: test-all ROC 0.4973 PR 0.1562 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5287 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 2: test-all ROC 0.4987 PR 0.1555 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5091 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 3: test-all ROC 0.5021 PR 0.1562 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5015 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 4: test-all ROC 0.5045 PR 0.1565 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4929 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 5: test-all ROC 0.5098 PR 0.1580 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4844 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 6: test-all ROC 0.5095 PR 0.1574 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4770 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 7: test-all ROC 0.5093 PR 0.1569 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4737 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 8: test-all ROC 0.5090 PR 0.1564 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4722 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 9: test-all ROC 0.5089 PR 0.1560 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4686 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 10: test-all ROC 0.5088 PR 0.1558 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4638 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 11: test-all ROC 0.5093 PR 0.1559 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4612 | tau+ 0.500 | veto 0
[OUTPOST-v4] epoch 12: test-all ROC 0.5094 PR 0.1557 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4594 | tau+ 0.500 | veto 0
