# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 0 --method outpost --tag C_sim --set sim_topk_frac=1.0
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [0, 3, 5, 6, 9]
Normal classes: [1, 2, 4, 7, 8] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4653 PR 0.1414 | unseen ROC 0.4224 PR 0.1100 | valAUC 0.6718 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4679 PR 0.1424 | unseen ROC 0.4272 PR 0.1115 | valAUC 0.6670 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4685 PR 0.1421 | unseen ROC 0.4290 PR 0.1114 | valAUC 0.6632 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4704 PR 0.1426 | unseen ROC 0.4310 PR 0.1119 | valAUC 0.6658 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4719 PR 0.1431 | unseen ROC 0.4321 PR 0.1121 | valAUC 0.6690 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4721 PR 0.1433 | unseen ROC 0.4318 PR 0.1120 | valAUC 0.6710 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4731 PR 0.1437 | unseen ROC 0.4318 PR 0.1120 | valAUC 0.6736 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4745 PR 0.1444 | unseen ROC 0.4321 PR 0.1121 | valAUC 0.6816 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4738 PR 0.1444 | unseen ROC 0.4297 PR 0.1115 | valAUC 0.6845 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.4712 PR 0.1439 | unseen ROC 0.4250 PR 0.1102 | valAUC 0.6885 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.4666 PR 0.1432 | unseen ROC 0.4167 PR 0.1076 | valAUC 0.6986 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.4483 PR 0.1395 | unseen ROC 0.3915 PR 0.0990 | valAUC 0.7092 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.4223 PR 0.1320 | unseen ROC 0.3616 PR 0.0937 | valAUC 0.6733 | tau+ 0.500
