# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 1 --method outpost --tag C_sim --set sim_topk_frac=1.0
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [0, 7]
Normal classes: [1, 2, 3, 4, 5, 6] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5620 PR 0.1024 | unseen ROC 0.3585 PR 0.0339 | valAUC 0.8275 | tau+ 0.544
[OUTPOST-v4] epoch 1: test-all ROC 0.5715 PR 0.1028 | unseen ROC 0.3960 PR 0.0360 | valAUC 0.7879 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5715 PR 0.1013 | unseen ROC 0.4014 PR 0.0364 | valAUC 0.7783 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.5680 PR 0.1020 | unseen ROC 0.3631 PR 0.0342 | valAUC 0.8420 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5722 PR 0.1046 | unseen ROC 0.3590 PR 0.0340 | valAUC 0.8580 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.5758 PR 0.1068 | unseen ROC 0.3585 PR 0.0339 | valAUC 0.8614 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5793 PR 0.1087 | unseen ROC 0.3596 PR 0.0340 | valAUC 0.8643 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.5829 PR 0.1109 | unseen ROC 0.3606 PR 0.0341 | valAUC 0.8671 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5865 PR 0.1134 | unseen ROC 0.3616 PR 0.0341 | valAUC 0.8734 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5898 PR 0.1160 | unseen ROC 0.3610 PR 0.0341 | valAUC 0.8792 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5932 PR 0.1189 | unseen ROC 0.3609 PR 0.0341 | valAUC 0.8831 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5964 PR 0.1221 | unseen ROC 0.3606 PR 0.0341 | valAUC 0.8913 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5997 PR 0.1257 | unseen ROC 0.3600 PR 0.0340 | valAUC 0.8976 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6022 PR 0.1290 | unseen ROC 0.3591 PR 0.0340 | valAUC 0.9019 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6047 PR 0.1320 | unseen ROC 0.3595 PR 0.0340 | valAUC 0.9043 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6069 PR 0.1349 | unseen ROC 0.3602 PR 0.0340 | valAUC 0.9101 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6094 PR 0.1386 | unseen ROC 0.3614 PR 0.0341 | valAUC 0.9135 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6127 PR 0.1480 | unseen ROC 0.3641 PR 0.0342 | valAUC 0.9159 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6156 PR 0.1647 | unseen ROC 0.3667 PR 0.0344 | valAUC 0.9159 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.6185 PR 0.1737 | unseen ROC 0.3689 PR 0.0345 | valAUC 0.9169 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.6214 PR 0.1827 | unseen ROC 0.3710 PR 0.0346 | valAUC 0.9188 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.6245 PR 0.1960 | unseen ROC 0.3719 PR 0.0346 | valAUC 0.9217 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.6283 PR 0.2118 | unseen ROC 0.3731 PR 0.0347 | valAUC 0.9261 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.6329 PR 0.2449 | unseen ROC 0.3739 PR 0.0348 | valAUC 0.9304 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.6377 PR 0.2915 | unseen ROC 0.3752 PR 0.0348 | valAUC 0.9357 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.6411 PR 0.3338 | unseen ROC 0.3752 PR 0.0348 | valAUC 0.9444 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.6434 PR 0.3557 | unseen ROC 0.3750 PR 0.0348 | valAUC 0.9478 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.6456 PR 0.3816 | unseen ROC 0.3737 PR 0.0348 | valAUC 0.9512 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.6479 PR 0.4067 | unseen ROC 0.3727 PR 0.0348 | valAUC 0.9536 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.6494 PR 0.4238 | unseen ROC 0.3719 PR 0.0349 | valAUC 0.9560 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.6506 PR 0.4354 | unseen ROC 0.3716 PR 0.0351 | valAUC 0.9580 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.6509 PR 0.4381 | unseen ROC 0.3714 PR 0.0350 | valAUC 0.9585 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.6520 PR 0.4433 | unseen ROC 0.3719 PR 0.0350 | valAUC 0.9589 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.6532 PR 0.4507 | unseen ROC 0.3726 PR 0.0351 | valAUC 0.9594 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.6551 PR 0.4623 | unseen ROC 0.3735 PR 0.0353 | valAUC 0.9609 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.6571 PR 0.4736 | unseen ROC 0.3746 PR 0.0353 | valAUC 0.9643 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.6585 PR 0.4802 | unseen ROC 0.3758 PR 0.0354 | valAUC 0.9647 | tau+ 0.507
[OUTPOST-v4] epoch 37: test-all ROC 0.6588 PR 0.4799 | unseen ROC 0.3763 PR 0.0354 | valAUC 0.9652 | tau+ 0.516
[OUTPOST-v4] epoch 38: test-all ROC 0.6591 PR 0.4802 | unseen ROC 0.3767 PR 0.0355 | valAUC 0.9657 | tau+ 0.523
[OUTPOST-v4] epoch 39: test-all ROC 0.6604 PR 0.4869 | unseen ROC 0.3777 PR 0.0356 | valAUC 0.9671 | tau+ 0.553
[OUTPOST-v4] epoch 40: test-all ROC 0.6614 PR 0.4903 | unseen ROC 0.3787 PR 0.0358 | valAUC 0.9681 | tau+ 0.572
[OUTPOST-v4] epoch 41: test-all ROC 0.6636 PR 0.4962 | unseen ROC 0.3813 PR 0.0361 | valAUC 0.9691 | tau+ 0.624
[OUTPOST-v4] epoch 42: test-all ROC 0.6632 PR 0.4955 | unseen ROC 0.3808 PR 0.0361 | valAUC 0.9696 | tau+ 0.615
[OUTPOST-v4] epoch 43: test-all ROC 0.6629 PR 0.4945 | unseen ROC 0.3804 PR 0.0360 | valAUC 0.9691 | tau+ 0.598
[OUTPOST-v4] epoch 44: test-all ROC 0.6635 PR 0.4956 | unseen ROC 0.3811 PR 0.0361 | valAUC 0.9700 | tau+ 0.597
[OUTPOST-v4] epoch 45: test-all ROC 0.6643 PR 0.4970 | unseen ROC 0.3822 PR 0.0362 | valAUC 0.9720 | tau+ 0.600
[OUTPOST-v4] epoch 46: test-all ROC 0.6655 PR 0.4991 | unseen ROC 0.3838 PR 0.0362 | valAUC 0.9725 | tau+ 0.619
[OUTPOST-v4] epoch 47: test-all ROC 0.6680 PR 0.5023 | unseen ROC 0.3871 PR 0.0366 | valAUC 0.9763 | tau+ 0.685
[OUTPOST-v4] epoch 48: test-all ROC 0.6670 PR 0.5013 | unseen ROC 0.3857 PR 0.0364 | valAUC 0.9754 | tau+ 0.628
[OUTPOST-v4] epoch 49: test-all ROC 0.6659 PR 0.5008 | unseen ROC 0.3839 PR 0.0363 | valAUC 0.9758 | tau+ 0.582
[OUTPOST-v4] epoch 50: test-all ROC 0.6674 PR 0.5025 | unseen ROC 0.3860 PR 0.0365 | valAUC 0.9778 | tau+ 0.602
[OUTPOST-v4] epoch 51: test-all ROC 0.6675 PR 0.5032 | unseen ROC 0.3859 PR 0.0367 | valAUC 0.9778 | tau+ 0.594
[OUTPOST-v4] epoch 52: test-all ROC 0.6687 PR 0.5048 | unseen ROC 0.3875 PR 0.0370 | valAUC 0.9807 | tau+ 0.613
[OUTPOST-v4] epoch 53: test-all ROC 0.6672 PR 0.5045 | unseen ROC 0.3849 PR 0.0370 | valAUC 0.9807 | tau+ 0.554
[OUTPOST-v4] epoch 54: test-all ROC 0.6666 PR 0.5045 | unseen ROC 0.3839 PR 0.0369 | valAUC 0.9802 | tau+ 0.501
[OUTPOST-v4] epoch 55: test-all ROC 0.6677 PR 0.5050 | unseen ROC 0.3858 PR 0.0371 | valAUC 0.9816 | tau+ 0.500
[OUTPOST-v4] epoch 56: test-all ROC 0.6688 PR 0.5053 | unseen ROC 0.3876 PR 0.0372 | valAUC 0.9812 | tau+ 0.500
[OUTPOST-v4] epoch 57: test-all ROC 0.6695 PR 0.5053 | unseen ROC 0.3890 PR 0.0378 | valAUC 0.9812 | tau+ 0.500
[OUTPOST-v4] epoch 58: test-all ROC 0.6727 PR 0.5066 | unseen ROC 0.3946 PR 0.0381 | valAUC 0.9812 | tau+ 0.500
[OUTPOST-v4] epoch 59: test-all ROC 0.6791 PR 0.5106 | unseen ROC 0.4056 PR 0.0385 | valAUC 0.9841 | tau+ 0.500
