# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 0 --method outpost --tag D_sim0.75 --set sim_topk_frac=0.75
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[yelp] anomaly classes (rotations): [1]
Normal classes: [0] in yelp
Building multi-layer GraphSage
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/data/data.py:187: UserWarning: Unable to accurately infer 'num_nodes' from the attribute set '{'x', 'y', 'edge_index'}'. Please explicitly set 'num_nodes' as an attribute of 'data' to suppress this warning
  return sum([v.num_nodes for v in self.node_stores])
[OUTPOST-v4] epoch 0: test-all ROC 0.5544 PR 0.1764 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4149 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.5748 PR 0.1796 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4276 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5720 PR 0.1764 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4462 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.5547 PR 0.1685 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4328 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5586 PR 0.1688 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4497 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.5588 PR 0.1695 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4703 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5545 PR 0.1687 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4733 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.5518 PR 0.1671 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4916 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5512 PR 0.1668 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4952 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5513 PR 0.1668 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5030 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5504 PR 0.1660 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5141 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5511 PR 0.1665 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5230 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5522 PR 0.1668 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5170 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5541 PR 0.1674 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5309 | tau+ 0.500
