# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 1 --method outpost --tag T_Kp12 --set K_p=12
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [0, 7]
Normal classes: [1, 2, 3, 4, 5, 6] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5818 PR 0.1089 | unseen ROC 0.3877 PR 0.0355 | valAUC 0.7986 | tau+ 0.544
[OUTPOST-v4] epoch 1: test-all ROC 0.5933 PR 0.1076 | unseen ROC 0.4209 PR 0.0374 | valAUC 0.7589 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6031 PR 0.1099 | unseen ROC 0.4408 PR 0.0388 | valAUC 0.7657 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6040 PR 0.1153 | unseen ROC 0.4063 PR 0.0366 | valAUC 0.8309 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6035 PR 0.1199 | unseen ROC 0.3894 PR 0.0358 | valAUC 0.8464 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6041 PR 0.1229 | unseen ROC 0.3849 PR 0.0355 | valAUC 0.8918 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6078 PR 0.1237 | unseen ROC 0.3883 PR 0.0357 | valAUC 0.8585 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6062 PR 0.1257 | unseen ROC 0.3839 PR 0.0354 | valAUC 0.8585 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6131 PR 0.1285 | unseen ROC 0.3952 PR 0.0360 | valAUC 0.8686 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6153 PR 0.1301 | unseen ROC 0.3915 PR 0.0358 | valAUC 0.8729 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6122 PR 0.1324 | unseen ROC 0.3839 PR 0.0355 | valAUC 0.8749 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6213 PR 0.1374 | unseen ROC 0.3930 PR 0.0360 | valAUC 0.8565 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6195 PR 0.1402 | unseen ROC 0.3867 PR 0.0356 | valAUC 0.8870 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6257 PR 0.1438 | unseen ROC 0.3948 PR 0.0361 | valAUC 0.8768 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6260 PR 0.1462 | unseen ROC 0.3930 PR 0.0359 | valAUC 0.9130 | tau+ 0.500
