# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 0 --method outpost --tag T_drop0.3 --set drop_out=0.3
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [0, 7]
Normal classes: [1, 2, 3, 4, 5, 6] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6137 PR 0.1235 | unseen ROC 0.4245 PR 0.0377 | valAUC 0.8058 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6126 PR 0.1222 | unseen ROC 0.4275 PR 0.0379 | valAUC 0.7899 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6112 PR 0.1207 | unseen ROC 0.4253 PR 0.0378 | valAUC 0.7845 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6118 PR 0.1228 | unseen ROC 0.4198 PR 0.0374 | valAUC 0.7802 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6137 PR 0.1229 | unseen ROC 0.4220 PR 0.0376 | valAUC 0.8029 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6182 PR 0.1245 | unseen ROC 0.4303 PR 0.0381 | valAUC 0.8005 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6171 PR 0.1269 | unseen ROC 0.4211 PR 0.0375 | valAUC 0.8019 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6156 PR 0.1286 | unseen ROC 0.4153 PR 0.0371 | valAUC 0.8324 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6274 PR 0.1331 | unseen ROC 0.4282 PR 0.0379 | valAUC 0.8039 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6286 PR 0.1382 | unseen ROC 0.4223 PR 0.0376 | valAUC 0.8444 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6330 PR 0.1476 | unseen ROC 0.4169 PR 0.0373 | valAUC 0.8570 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6443 PR 0.1631 | unseen ROC 0.4232 PR 0.0376 | valAUC 0.8749 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6474 PR 0.1792 | unseen ROC 0.4159 PR 0.0372 | valAUC 0.9019 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6556 PR 0.1991 | unseen ROC 0.4204 PR 0.0375 | valAUC 0.9275 | tau+ 0.500
