# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 42 --method outpost --tag T_hidden32 --set hidden_dim=32
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [0, 7]
Normal classes: [1, 2, 3, 4, 5, 6] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5350 PR 0.0881 | unseen ROC 0.3700 PR 0.0346 | valAUC 0.7411 | tau+ 0.507
[OUTPOST-v4] epoch 1: test-all ROC 0.5771 PR 0.1037 | unseen ROC 0.3811 PR 0.0354 | valAUC 0.8005 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5877 PR 0.1104 | unseen ROC 0.3861 PR 0.0355 | valAUC 0.8048 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.5943 PR 0.1132 | unseen ROC 0.3926 PR 0.0358 | valAUC 0.8126 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5979 PR 0.1132 | unseen ROC 0.4018 PR 0.0364 | valAUC 0.8145 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6018 PR 0.1166 | unseen ROC 0.3999 PR 0.0362 | valAUC 0.8203 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5998 PR 0.1165 | unseen ROC 0.3951 PR 0.0361 | valAUC 0.8159 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6042 PR 0.1198 | unseen ROC 0.3978 PR 0.0362 | valAUC 0.8425 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6127 PR 0.1261 | unseen ROC 0.4011 PR 0.0363 | valAUC 0.8357 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6176 PR 0.1291 | unseen ROC 0.4025 PR 0.0364 | valAUC 0.8411 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6118 PR 0.1310 | unseen ROC 0.3886 PR 0.0357 | valAUC 0.8469 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6154 PR 0.1317 | unseen ROC 0.3933 PR 0.0359 | valAUC 0.8647 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6188 PR 0.1386 | unseen ROC 0.3887 PR 0.0357 | valAUC 0.8768 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6225 PR 0.1419 | unseen ROC 0.3915 PR 0.0358 | valAUC 0.8783 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6219 PR 0.1453 | unseen ROC 0.3833 PR 0.0355 | valAUC 0.8923 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6275 PR 0.1472 | unseen ROC 0.3936 PR 0.0359 | valAUC 0.8913 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6305 PR 0.1530 | unseen ROC 0.3931 PR 0.0360 | valAUC 0.8976 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6275 PR 0.1555 | unseen ROC 0.3801 PR 0.0352 | valAUC 0.9111 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6351 PR 0.1571 | unseen ROC 0.3967 PR 0.0362 | valAUC 0.8932 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.6294 PR 0.1571 | unseen ROC 0.3839 PR 0.0354 | valAUC 0.9092 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.6337 PR 0.1586 | unseen ROC 0.3923 PR 0.0359 | valAUC 0.8990 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.6369 PR 0.1608 | unseen ROC 0.3952 PR 0.0360 | valAUC 0.9101 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.6374 PR 0.1631 | unseen ROC 0.3926 PR 0.0359 | valAUC 0.9116 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.6352 PR 0.1635 | unseen ROC 0.3897 PR 0.0357 | valAUC 0.9039 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.6302 PR 0.1635 | unseen ROC 0.3809 PR 0.0352 | valAUC 0.9048 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.6400 PR 0.1683 | unseen ROC 0.3968 PR 0.0361 | valAUC 0.9130 | tau+ 0.500
