# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 1 --method outpost --tag T_warmup15 --set warmup_epochs=15
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
Disabling PyTorch because PyTorch >= 2.1 is required but found 2.0.1
None of PyTorch, TensorFlow >= 2.0, or Flax have been found. Models won't be available and only tokenizers, configuration and file/data utilities can be used.
/nas/home/jahin/.local/lib/python3.10/site-packages/outdated/__init__.py:36: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import parse_version
[utils] PPR/dgl path unavailable (libcudart.so.12: cannot open shared object file: No such file or directory); OUTPOST path unaffected.
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [0, 7]
Normal classes: [1, 2, 3, 4, 5, 6] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5782 PR 0.1060 | unseen ROC 0.3896 PR 0.0356 | valAUC 0.7850 | tau+ 0.544
[OUTPOST-v4] epoch 1: test-all ROC 0.5926 PR 0.1095 | unseen ROC 0.4213 PR 0.0375 | valAUC 0.7594 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5942 PR 0.1065 | unseen ROC 0.4380 PR 0.0386 | valAUC 0.7188 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.5912 PR 0.1143 | unseen ROC 0.3829 PR 0.0354 | valAUC 0.8575 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6090 PR 0.1216 | unseen ROC 0.3991 PR 0.0363 | valAUC 0.8599 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6059 PR 0.1226 | unseen ROC 0.3921 PR 0.0359 | valAUC 0.8686 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6042 PR 0.1212 | unseen ROC 0.3897 PR 0.0357 | valAUC 0.8440 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6067 PR 0.1211 | unseen ROC 0.3947 PR 0.0359 | valAUC 0.8638 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6087 PR 0.1218 | unseen ROC 0.3993 PR 0.0363 | valAUC 0.8522 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6122 PR 0.1242 | unseen ROC 0.4033 PR 0.0364 | valAUC 0.8531 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6144 PR 0.1245 | unseen ROC 0.4018 PR 0.0364 | valAUC 0.8440 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6168 PR 0.1265 | unseen ROC 0.4039 PR 0.0366 | valAUC 0.8594 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6123 PR 0.1268 | unseen ROC 0.3966 PR 0.0361 | valAUC 0.8696 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6163 PR 0.1301 | unseen ROC 0.3986 PR 0.0362 | valAUC 0.8826 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6186 PR 0.1321 | unseen ROC 0.4003 PR 0.0363 | valAUC 0.8749 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6224 PR 0.1328 | unseen ROC 0.4054 PR 0.0366 | valAUC 0.8652 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6220 PR 0.1360 | unseen ROC 0.3977 PR 0.0361 | valAUC 0.8826 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6241 PR 0.1362 | unseen ROC 0.3996 PR 0.0363 | valAUC 0.8671 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6216 PR 0.1374 | unseen ROC 0.3955 PR 0.0360 | valAUC 0.8850 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.6263 PR 0.1430 | unseen ROC 0.3944 PR 0.0359 | valAUC 0.9068 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.6271 PR 0.1454 | unseen ROC 0.3970 PR 0.0361 | valAUC 0.8990 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.6346 PR 0.1519 | unseen ROC 0.4020 PR 0.0364 | valAUC 0.9039 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.6393 PR 0.1564 | unseen ROC 0.4076 PR 0.0367 | valAUC 0.9179 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.6442 PR 0.1623 | unseen ROC 0.4123 PR 0.0370 | valAUC 0.9140 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.6436 PR 0.1621 | unseen ROC 0.4084 PR 0.0368 | valAUC 0.9014 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.6400 PR 0.1650 | unseen ROC 0.4006 PR 0.0363 | valAUC 0.9072 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.6412 PR 0.1648 | unseen ROC 0.4016 PR 0.0364 | valAUC 0.9126 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.6504 PR 0.1694 | unseen ROC 0.4144 PR 0.0372 | valAUC 0.9217 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.6456 PR 0.1717 | unseen ROC 0.4051 PR 0.0366 | valAUC 0.9121 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.6532 PR 0.1756 | unseen ROC 0.4148 PR 0.0371 | valAUC 0.9275 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.6546 PR 0.1768 | unseen ROC 0.4188 PR 0.0374 | valAUC 0.9217 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.6503 PR 0.1769 | unseen ROC 0.4109 PR 0.0369 | valAUC 0.9213 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.6530 PR 0.1816 | unseen ROC 0.4120 PR 0.0370 | valAUC 0.9174 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.6479 PR 0.1826 | unseen ROC 0.4017 PR 0.0364 | valAUC 0.9135 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.6523 PR 0.1843 | unseen ROC 0.4086 PR 0.0368 | valAUC 0.9140 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.6529 PR 0.1854 | unseen ROC 0.4122 PR 0.0370 | valAUC 0.9155 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.6479 PR 0.1830 | unseen ROC 0.4034 PR 0.0365 | valAUC 0.9135 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.6539 PR 0.1885 | unseen ROC 0.4106 PR 0.0370 | valAUC 0.9203 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.6544 PR 0.1910 | unseen ROC 0.4137 PR 0.0370 | valAUC 0.9213 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.6562 PR 0.1892 | unseen ROC 0.4154 PR 0.0372 | valAUC 0.9285 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.6540 PR 0.1918 | unseen ROC 0.4100 PR 0.0369 | valAUC 0.9213 | tau+ 0.500
