# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 1 --method outpost --tag E400_T_drop0.3 --rotations 9 --set drop_out=0.3 num_epochs=400 --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(9)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4794 PR 0.1470 | unseen ROC 0.4864 PR 0.1358 | valAUC 0.4557 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.4702 PR 0.1439 | unseen ROC 0.4747 PR 0.1321 | valAUC 0.4609 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.4674 PR 0.1428 | unseen ROC 0.4715 PR 0.1307 | valAUC 0.4445 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.4669 PR 0.1425 | unseen ROC 0.4705 PR 0.1303 | valAUC 0.4422 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.4683 PR 0.1427 | unseen ROC 0.4719 PR 0.1305 | valAUC 0.4675 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.4725 PR 0.1441 | unseen ROC 0.4748 PR 0.1314 | valAUC 0.4796 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.4795 PR 0.1457 | unseen ROC 0.4823 PR 0.1330 | valAUC 0.5106 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.4891 PR 0.1499 | unseen ROC 0.4905 PR 0.1367 | valAUC 0.4871 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.4982 PR 0.1524 | unseen ROC 0.4987 PR 0.1390 | valAUC 0.5239 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5229 PR 0.1616 | unseen ROC 0.5222 PR 0.1469 | valAUC 0.5385 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5662 PR 0.1799 | unseen ROC 0.5633 PR 0.1628 | valAUC 0.5836 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6099 PR 0.2086 | unseen ROC 0.5985 PR 0.1839 | valAUC 0.7108 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6191 PR 0.2344 | unseen ROC 0.6005 PR 0.1946 | valAUC 0.7144 | tau+ 0.500
