# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 42 --method outpost --tag E400_T_drop0.3 --rotations 0 --set drop_out=0.3 num_epochs=400 --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [np.int64(0), np.int64(7)]
[photo] running subset: [np.int64(0)]
Normal classes: [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5997 PR 0.1182 | unseen ROC 0.3884 PR 0.0355 | valAUC 0.8464 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6033 PR 0.1191 | unseen ROC 0.3925 PR 0.0359 | valAUC 0.8444 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6036 PR 0.1201 | unseen ROC 0.3943 PR 0.0359 | valAUC 0.8386 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6099 PR 0.1220 | unseen ROC 0.4032 PR 0.0365 | valAUC 0.8266 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6054 PR 0.1216 | unseen ROC 0.3969 PR 0.0361 | valAUC 0.8367 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6149 PR 0.1252 | unseen ROC 0.4090 PR 0.0368 | valAUC 0.8232 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6152 PR 0.1283 | unseen ROC 0.4014 PR 0.0363 | valAUC 0.8459 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6187 PR 0.1299 | unseen ROC 0.4021 PR 0.0364 | valAUC 0.8565 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6171 PR 0.1329 | unseen ROC 0.3925 PR 0.0359 | valAUC 0.8638 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6297 PR 0.1402 | unseen ROC 0.4072 PR 0.0367 | valAUC 0.8734 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6304 PR 0.1473 | unseen ROC 0.3971 PR 0.0361 | valAUC 0.8855 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6273 PR 0.1536 | unseen ROC 0.3835 PR 0.0354 | valAUC 0.8942 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6356 PR 0.1612 | unseen ROC 0.3916 PR 0.0358 | valAUC 0.9058 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6364 PR 0.1635 | unseen ROC 0.3923 PR 0.0359 | valAUC 0.9005 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6398 PR 0.1687 | unseen ROC 0.3938 PR 0.0359 | valAUC 0.9034 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6382 PR 0.1710 | unseen ROC 0.3894 PR 0.0357 | valAUC 0.9155 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6394 PR 0.1708 | unseen ROC 0.3921 PR 0.0358 | valAUC 0.9058 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6435 PR 0.1768 | unseen ROC 0.3978 PR 0.0361 | valAUC 0.9087 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6498 PR 0.1840 | unseen ROC 0.4043 PR 0.0365 | valAUC 0.9222 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.6511 PR 0.1884 | unseen ROC 0.4044 PR 0.0365 | valAUC 0.9232 | tau+ 0.500
