# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 0 --method outpost --tag E400_T_lambda_un1.5 --rotations 0 --set lambda_un=1.5 num_epochs=400 --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [np.int64(0), np.int64(7)]
[photo] running subset: [np.int64(0)]
Normal classes: [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6174 PR 0.1251 | unseen ROC 0.4266 PR 0.0378 | valAUC 0.8034 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6123 PR 0.1217 | unseen ROC 0.4221 PR 0.0376 | valAUC 0.8039 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6079 PR 0.1209 | unseen ROC 0.4124 PR 0.0370 | valAUC 0.7874 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6105 PR 0.1218 | unseen ROC 0.4178 PR 0.0373 | valAUC 0.7860 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6111 PR 0.1222 | unseen ROC 0.4179 PR 0.0373 | valAUC 0.7773 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6162 PR 0.1253 | unseen ROC 0.4203 PR 0.0374 | valAUC 0.7870 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6179 PR 0.1273 | unseen ROC 0.4188 PR 0.0373 | valAUC 0.7918 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6244 PR 0.1309 | unseen ROC 0.4253 PR 0.0378 | valAUC 0.7995 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6244 PR 0.1348 | unseen ROC 0.4227 PR 0.0376 | valAUC 0.8068 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6284 PR 0.1413 | unseen ROC 0.4172 PR 0.0372 | valAUC 0.8193 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6419 PR 0.1567 | unseen ROC 0.4258 PR 0.0378 | valAUC 0.8686 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6473 PR 0.1788 | unseen ROC 0.4224 PR 0.0376 | valAUC 0.8908 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6566 PR 0.2408 | unseen ROC 0.4232 PR 0.0377 | valAUC 0.9135 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6635 PR 0.2823 | unseen ROC 0.4268 PR 0.0379 | valAUC 0.9256 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6638 PR 0.2825 | unseen ROC 0.4234 PR 0.0377 | valAUC 0.9401 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6645 PR 0.2650 | unseen ROC 0.4269 PR 0.0379 | valAUC 0.9382 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6691 PR 0.2703 | unseen ROC 0.4317 PR 0.0382 | valAUC 0.9415 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6688 PR 0.2912 | unseen ROC 0.4281 PR 0.0380 | valAUC 0.9406 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6746 PR 0.3236 | unseen ROC 0.4363 PR 0.0385 | valAUC 0.9531 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.6751 PR 0.3587 | unseen ROC 0.4309 PR 0.0382 | valAUC 0.9618 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.6732 PR 0.3718 | unseen ROC 0.4246 PR 0.0378 | valAUC 0.9623 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.6749 PR 0.3814 | unseen ROC 0.4254 PR 0.0378 | valAUC 0.9599 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.6745 PR 0.3803 | unseen ROC 0.4244 PR 0.0377 | valAUC 0.9517 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.6756 PR 0.3726 | unseen ROC 0.4275 PR 0.0379 | valAUC 0.9580 | tau+ 0.500
