# gpu=6 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 1 --method outpost --tag E400_T_lr0.003 --rotations 7 --set lr=0.003 num_epochs=400 --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [np.int64(0), np.int64(7)]
[photo] running subset: [np.int64(7)]
Normal classes: [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6679 PR 0.1493 | unseen ROC 0.8499 PR 0.1707 | valAUC 0.3850 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6676 PR 0.1522 | unseen ROC 0.8578 PR 0.1770 | valAUC 0.4116 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6750 PR 0.1532 | unseen ROC 0.8495 PR 0.1738 | valAUC 0.4227 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6848 PR 0.1550 | unseen ROC 0.8452 PR 0.1725 | valAUC 0.4367 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6909 PR 0.1543 | unseen ROC 0.8320 PR 0.1639 | valAUC 0.4449 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7211 PR 0.1975 | unseen ROC 0.7886 PR 0.1688 | valAUC 0.5850 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.3817 PR 0.0677 | unseen ROC 0.2266 PR 0.0320 | valAUC 0.5449 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.3588 PR 0.0631 | unseen ROC 0.2555 PR 0.0329 | valAUC 0.5222 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5767 PR 0.1005 | unseen ROC 0.6692 PR 0.0843 | valAUC 0.4005 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6463 PR 0.1291 | unseen ROC 0.7941 PR 0.1325 | valAUC 0.4048 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6613 PR 0.1378 | unseen ROC 0.8100 PR 0.1437 | valAUC 0.4517 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6682 PR 0.1430 | unseen ROC 0.8098 PR 0.1493 | valAUC 0.4546 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6664 PR 0.1420 | unseen ROC 0.7974 PR 0.1442 | valAUC 0.4536 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6702 PR 0.1394 | unseen ROC 0.7804 PR 0.1323 | valAUC 0.4739 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6741 PR 0.1406 | unseen ROC 0.7662 PR 0.1277 | valAUC 0.4768 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6710 PR 0.1393 | unseen ROC 0.7445 PR 0.1167 | valAUC 0.5261 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6672 PR 0.1383 | unseen ROC 0.7228 PR 0.1075 | valAUC 0.5094 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6662 PR 0.1431 | unseen ROC 0.7083 PR 0.1048 | valAUC 0.5406 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6527 PR 0.1521 | unseen ROC 0.6588 PR 0.0840 | valAUC 0.5826 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.6362 PR 0.1629 | unseen ROC 0.5925 PR 0.0615 | valAUC 0.6159 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.6080 PR 0.1476 | unseen ROC 0.5228 PR 0.0506 | valAUC 0.6604 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5764 PR 0.1175 | unseen ROC 0.4623 PR 0.0448 | valAUC 0.6580 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5530 PR 0.1062 | unseen ROC 0.4164 PR 0.0415 | valAUC 0.6662 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5493 PR 0.1044 | unseen ROC 0.4057 PR 0.0407 | valAUC 0.6874 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.5625 PR 0.1112 | unseen ROC 0.4258 PR 0.0422 | valAUC 0.7010 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.5724 PR 0.1234 | unseen ROC 0.4328 PR 0.0427 | valAUC 0.6961 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.5882 PR 0.1425 | unseen ROC 0.4570 PR 0.0445 | valAUC 0.6976 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.5998 PR 0.1637 | unseen ROC 0.4736 PR 0.0460 | valAUC 0.7155 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.6050 PR 0.1786 | unseen ROC 0.4734 PR 0.0459 | valAUC 0.7271 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.6204 PR 0.2142 | unseen ROC 0.4852 PR 0.0470 | valAUC 0.7536 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.6224 PR 0.2247 | unseen ROC 0.4750 PR 0.0461 | valAUC 0.7870 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.6131 PR 0.2332 | unseen ROC 0.4462 PR 0.0439 | valAUC 0.8106 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.6105 PR 0.2602 | unseen ROC 0.4313 PR 0.0428 | valAUC 0.8386 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.6395 PR 0.3040 | unseen ROC 0.4761 PR 0.0463 | valAUC 0.8382 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.6496 PR 0.3107 | unseen ROC 0.4887 PR 0.0473 | valAUC 0.8493 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.6395 PR 0.3136 | unseen ROC 0.4604 PR 0.0451 | valAUC 0.8560 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.6511 PR 0.3229 | unseen ROC 0.4708 PR 0.0459 | valAUC 0.8763 | tau+ 0.500
