# gpu=5 cmd=/usr/bin/python3 -u main.py --dataset photo --seed 1 --method outpost --tag E400_T_warmup15 --rotations 7 --set warmup_epochs=15 num_epochs=400 --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.04823529 0.22039216 0.09189542 0.11960784 0.11529412 0.1075817
 0.25372549 0.04326797]
[photo] anomaly classes (rotations): [np.int64(0), np.int64(7)]
[photo] running subset: [np.int64(7)]
Normal classes: [np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)] in photo
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6670 PR 0.1404 | unseen ROC 0.8350 PR 0.1520 | valAUC 0.4266 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6681 PR 0.1486 | unseen ROC 0.8528 PR 0.1696 | valAUC 0.4222 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6693 PR 0.1499 | unseen ROC 0.8488 PR 0.1700 | valAUC 0.4242 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6717 PR 0.1513 | unseen ROC 0.8531 PR 0.1733 | valAUC 0.4169 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6719 PR 0.1525 | unseen ROC 0.8526 PR 0.1747 | valAUC 0.4111 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6716 PR 0.1489 | unseen ROC 0.8472 PR 0.1679 | valAUC 0.4077 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6759 PR 0.1514 | unseen ROC 0.8488 PR 0.1711 | valAUC 0.4391 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6789 PR 0.1524 | unseen ROC 0.8446 PR 0.1702 | valAUC 0.4488 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6798 PR 0.1515 | unseen ROC 0.8441 PR 0.1681 | valAUC 0.4372 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6825 PR 0.1541 | unseen ROC 0.8387 PR 0.1690 | valAUC 0.4411 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6836 PR 0.1511 | unseen ROC 0.8292 PR 0.1620 | valAUC 0.4469 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6858 PR 0.1501 | unseen ROC 0.8178 PR 0.1562 | valAUC 0.4556 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6868 PR 0.1494 | unseen ROC 0.8123 PR 0.1523 | valAUC 0.4773 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6943 PR 0.1542 | unseen ROC 0.8119 PR 0.1551 | valAUC 0.4865 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6971 PR 0.1527 | unseen ROC 0.8102 PR 0.1511 | valAUC 0.4816 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6998 PR 0.1555 | unseen ROC 0.8004 PR 0.1493 | valAUC 0.5232 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6965 PR 0.1529 | unseen ROC 0.7741 PR 0.1362 | valAUC 0.5700 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6842 PR 0.1637 | unseen ROC 0.7145 PR 0.1089 | valAUC 0.6072 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6167 PR 0.1257 | unseen ROC 0.5498 PR 0.0545 | valAUC 0.6338 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5136 PR 0.0853 | unseen ROC 0.4175 PR 0.0415 | valAUC 0.5758 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.4576 PR 0.0747 | unseen ROC 0.3670 PR 0.0382 | valAUC 0.5309 | tau+ 0.500
