# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset amazon --seed 0 --method outpost --tag T_alpha0.01 --set alpha_plus=0.01 sim_topk_frac=0.0 --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[amazon] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in amazon
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.6753 PR 0.1263 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6414 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.6595 PR 0.1206 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6913 | tau+ 0.541
[OUTPOST-v4] epoch 2: test-all ROC 0.7135 PR 0.1661 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7123 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7248 PR 0.1783 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7024 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7293 PR 0.1874 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7189 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7255 PR 0.1874 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6856 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7101 PR 0.1855 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7228 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6843 PR 0.1549 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6565 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6880 PR 0.1375 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6793 | tau+ 0.549
[OUTPOST-v4] epoch 9: test-all ROC 0.6841 PR 0.1580 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6820 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7223 PR 0.1912 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6775 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7245 PR 0.2019 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6817 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7343 PR 0.1978 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6970 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.7284 PR 0.1938 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7021 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.7363 PR 0.1982 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7087 | tau+ 0.500
