# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset amazon --seed 0 --method outpost --tag T_hidden16 --set hidden_dim=16 sim_topk_frac=0.0 --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[amazon] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in amazon
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.3437 PR 0.0482 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4129 | tau+ 0.930
[OUTPOST-v4] epoch 1: test-all ROC 0.4900 PR 0.0630 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5180 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5987 PR 0.1087 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5760 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6390 PR 0.1405 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6465 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6697 PR 0.1494 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6889 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6711 PR 0.1560 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7033 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6692 PR 0.1552 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7036 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6826 PR 0.1540 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6808 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6712 PR 0.1472 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5829 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6666 PR 0.1507 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6973 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6852 PR 0.1552 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6553 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.6895 PR 0.1626 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7075 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.6791 PR 0.1516 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6727 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.6737 PR 0.1517 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6550 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.6813 PR 0.1630 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6216 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.6925 PR 0.1585 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7006 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.6795 PR 0.1614 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6718 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.6900 PR 0.1661 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6520 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.6841 PR 0.1621 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6790 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.6881 PR 0.1630 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6628 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.6789 PR 0.1557 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6526 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.6902 PR 0.1601 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7045 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.6814 PR 0.1600 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6736 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.6810 PR 0.1563 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6967 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.6866 PR 0.1724 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7165 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.6933 PR 0.1652 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6967 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.6896 PR 0.1658 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6802 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.7136 PR 0.1877 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6733 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.7020 PR 0.1688 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7150 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.6990 PR 0.1832 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7261 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.6980 PR 0.1788 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7441 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.7050 PR 0.1789 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7012 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.6977 PR 0.1822 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7060 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.7080 PR 0.1849 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7087 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.7117 PR 0.1801 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6940 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.7098 PR 0.1933 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7036 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.7068 PR 0.1841 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6982 | tau+ 0.500
[OUTPOST-v4] epoch 37: test-all ROC 0.7213 PR 0.1941 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6667 | tau+ 0.500
[OUTPOST-v4] epoch 38: test-all ROC 0.7204 PR 0.1915 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7159 | tau+ 0.500
[OUTPOST-v4] epoch 39: test-all ROC 0.7190 PR 0.1890 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7438 | tau+ 0.500
[OUTPOST-v4] epoch 40: test-all ROC 0.7227 PR 0.2083 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6838 | tau+ 0.500
[OUTPOST-v4] epoch 41: test-all ROC 0.7258 PR 0.1992 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7069 | tau+ 0.500
[OUTPOST-v4] epoch 42: test-all ROC 0.7273 PR 0.1988 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7492 | tau+ 0.500
[OUTPOST-v4] epoch 43: test-all ROC 0.7138 PR 0.2026 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7315 | tau+ 0.500
[OUTPOST-v4] epoch 44: test-all ROC 0.7250 PR 0.2185 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7411 | tau+ 0.500
[OUTPOST-v4] epoch 45: test-all ROC 0.7209 PR 0.2028 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6880 | tau+ 0.500
[OUTPOST-v4] epoch 46: test-all ROC 0.7320 PR 0.2133 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7264 | tau+ 0.500
[OUTPOST-v4] epoch 47: test-all ROC 0.7203 PR 0.1956 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6868 | tau+ 0.500
[OUTPOST-v4] epoch 48: test-all ROC 0.7208 PR 0.2041 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7063 | tau+ 0.500
[OUTPOST-v4] epoch 49: test-all ROC 0.7228 PR 0.2092 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6934 | tau+ 0.500
[OUTPOST-v4] epoch 50: test-all ROC 0.7279 PR 0.2075 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7508 | tau+ 0.500
[OUTPOST-v4] epoch 51: test-all ROC 0.7294 PR 0.2047 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6802 | tau+ 0.500
[OUTPOST-v4] epoch 52: test-all ROC 0.7192 PR 0.2137 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7276 | tau+ 0.500
[OUTPOST-v4] epoch 53: test-all ROC 0.7228 PR 0.2104 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6940 | tau+ 0.500
[OUTPOST-v4] epoch 54: test-all ROC 0.7294 PR 0.2079 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6982 | tau+ 0.500
[OUTPOST-v4] epoch 55: test-all ROC 0.7296 PR 0.2180 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6877 | tau+ 0.500
[OUTPOST-v4] epoch 56: test-all ROC 0.7341 PR 0.2192 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6646 | tau+ 0.500
[OUTPOST-v4] epoch 57: test-all ROC 0.7245 PR 0.2058 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6898 | tau+ 0.500
[OUTPOST-v4] epoch 58: test-all ROC 0.7296 PR 0.2144 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7069 | tau+ 0.500
[OUTPOST-v4] epoch 59: test-all ROC 0.7261 PR 0.2102 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6883 | tau+ 0.500
[OUTPOST-v4] epoch 60: test-all ROC 0.7332 PR 0.2256 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7060 | tau+ 0.500
[OUTPOST-v4] epoch 61: test-all ROC 0.7337 PR 0.2291 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7483 | tau+ 0.500
[OUTPOST-v4] epoch 62: test-all ROC 0.7350 PR 0.2277 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7162 | tau+ 0.500
[OUTPOST-v4] epoch 63: test-all ROC 0.7346 PR 0.2283 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7324 | tau+ 0.500
[OUTPOST-v4] epoch 64: test-all ROC 0.7366 PR 0.2228 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6604 | tau+ 0.500
[OUTPOST-v4] epoch 65: test-all ROC 0.7340 PR 0.2329 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7267 | tau+ 0.500
[OUTPOST-v4] epoch 66: test-all ROC 0.7425 PR 0.2377 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6589 | tau+ 0.500
[OUTPOST-v4] epoch 67: test-all ROC 0.7349 PR 0.2225 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7177 | tau+ 0.500
[OUTPOST-v4] epoch 68: test-all ROC 0.7352 PR 0.2376 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7339 | tau+ 0.500
[OUTPOST-v4] epoch 69: test-all ROC 0.7409 PR 0.2382 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7270 | tau+ 0.500
[OUTPOST-v4] epoch 70: test-all ROC 0.7400 PR 0.2367 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7315 | tau+ 0.500
[OUTPOST-v4] epoch 71: test-all ROC 0.7364 PR 0.2336 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7222 | tau+ 0.500
[OUTPOST-v4] epoch 72: test-all ROC 0.7402 PR 0.2332 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7174 | tau+ 0.500
[OUTPOST-v4] epoch 73: test-all ROC 0.7401 PR 0.2273 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7123 | tau+ 0.500
[OUTPOST-v4] epoch 74: test-all ROC 0.7411 PR 0.2512 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6775 | tau+ 0.500
[OUTPOST-v4] epoch 75: test-all ROC 0.7412 PR 0.2371 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6925 | tau+ 0.500
[OUTPOST-v4] epoch 76: test-all ROC 0.7494 PR 0.2414 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6865 | tau+ 0.500
[OUTPOST-v4] epoch 77: test-all ROC 0.7479 PR 0.2501 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7048 | tau+ 0.500
[OUTPOST-v4] epoch 78: test-all ROC 0.7526 PR 0.2552 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7318 | tau+ 0.500
[OUTPOST-v4] epoch 79: test-all ROC 0.7439 PR 0.2455 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7096 | tau+ 0.500
[OUTPOST-v4] epoch 80: test-all ROC 0.7448 PR 0.2513 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6859 | tau+ 0.500
