# gpu=6 cmd=/usr/bin/python3 -u main.py --dataset amazon --seed 0 --method outpost --tag T_lr0.003 --set lr=0.003 sim_topk_frac=0.0 --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[amazon] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in amazon
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.2816 PR 0.0424 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.3324 | tau+ 0.995
[OUTPOST-v4] epoch 1: test-all ROC 0.7060 PR 0.1548 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6943 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.7170 PR 0.1645 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7150 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.7205 PR 0.1684 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6946 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.7217 PR 0.1716 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7066 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.7223 PR 0.1729 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6553 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.7113 PR 0.1633 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6997 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.7088 PR 0.1566 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6748 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.6875 PR 0.1230 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6880 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5739 PR 0.0728 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6000 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.6517 PR 0.1007 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6417 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7173 PR 0.1662 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7066 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7320 PR 0.1921 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6673 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.7170 PR 0.1870 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6901 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.7240 PR 0.1944 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6784 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.7186 PR 0.1924 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6706 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.7200 PR 0.1918 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6910 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.7286 PR 0.1876 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6541 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.7144 PR 0.1954 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7201 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.7120 PR 0.2076 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6664 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.7140 PR 0.2014 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6928 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.7054 PR 0.2064 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6910 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.7194 PR 0.2094 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6985 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.7147 PR 0.1949 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7051 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.7130 PR 0.2008 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7559 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.7192 PR 0.1911 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7222 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.7201 PR 0.1914 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6859 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.7295 PR 0.2102 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7147 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.7179 PR 0.1927 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6916 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.7192 PR 0.2119 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6889 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.7255 PR 0.2076 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.6970 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.7238 PR 0.1985 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7288 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.7267 PR 0.2059 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7342 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.7311 PR 0.2146 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7231 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.7246 PR 0.2076 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7051 | tau+ 0.500
[OUTPOST-v4] epoch 35: test-all ROC 0.7294 PR 0.2060 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7381 | tau+ 0.500
[OUTPOST-v4] epoch 36: test-all ROC 0.7400 PR 0.2106 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7108 | tau+ 0.500
