# gpu=3 cmd=/usr/bin/python3 -u main.py --dataset amazon --seed 42 --method outpost --tag T_warmup5 --set warmup_epochs=5 sim_topk_frac=0.0 --save-scores
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[amazon] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in amazon
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.4488 PR 0.0542 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4471 | tau+ 0.995
[OUTPOST-v4] epoch 1: test-all ROC 0.6388 PR 0.1149 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7123 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.6916 PR 0.1546 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7592 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.6881 PR 0.1576 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7186 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.6870 PR 0.1587 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7357 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.6905 PR 0.1561 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7511 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.6989 PR 0.1620 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8024 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.6983 PR 0.1574 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7345 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.7017 PR 0.1619 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7730 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.6940 PR 0.1619 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7688 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.7126 PR 0.1677 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8120 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.7053 PR 0.1699 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7697 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.7176 PR 0.1689 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7444 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.7062 PR 0.1668 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7739 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.7035 PR 0.1647 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7946 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.7025 PR 0.1634 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7635 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.7038 PR 0.1823 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7619 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.7056 PR 0.1650 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7679 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.7091 PR 0.1685 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7952 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.7087 PR 0.1718 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.7733 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.7027 PR 0.1724 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8255 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.7066 PR 0.1697 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.8129 | tau+ 0.500
