# gpu=7 cmd=/usr/bin/python3 -u main.py --dataset yelp --seed 0 --method outpost --tag L_lean --set use_atlas_gate=false use_pl=false
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-scatter'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_scatter/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/torch_geometric/__init__.py:4: UserWarning: An issue occurred while importing 'torch-sparse'. Disabling its usage. Stacktrace: /nas/home/jahin/.local/lib/python3.10/site-packages/torch_sparse/_version_cuda.so: undefined symbol: _ZN5torch3jit17parseSchemaOrNameERKSsb
  import torch_geometric.typing
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[yelp] anomaly classes (rotations): [np.int64(1)]
Normal classes: [np.int64(0)] in yelp
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5629 PR 0.1808 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4859 | tau+ 0.500
[OUTPOST-v4] epoch 1: test-all ROC 0.5909 PR 0.1861 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4918 | tau+ 0.500
[OUTPOST-v4] epoch 2: test-all ROC 0.5868 PR 0.1818 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4935 | tau+ 0.500
[OUTPOST-v4] epoch 3: test-all ROC 0.5698 PR 0.1735 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4814 | tau+ 0.500
[OUTPOST-v4] epoch 4: test-all ROC 0.5723 PR 0.1739 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4898 | tau+ 0.500
[OUTPOST-v4] epoch 5: test-all ROC 0.5710 PR 0.1741 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.4997 | tau+ 0.500
[OUTPOST-v4] epoch 6: test-all ROC 0.5648 PR 0.1729 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5117 | tau+ 0.500
[OUTPOST-v4] epoch 7: test-all ROC 0.5611 PR 0.1712 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5210 | tau+ 0.500
[OUTPOST-v4] epoch 8: test-all ROC 0.5603 PR 0.1705 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5276 | tau+ 0.500
[OUTPOST-v4] epoch 9: test-all ROC 0.5601 PR 0.1701 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5361 | tau+ 0.500
[OUTPOST-v4] epoch 10: test-all ROC 0.5607 PR 0.1702 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5407 | tau+ 0.500
[OUTPOST-v4] epoch 11: test-all ROC 0.5620 PR 0.1705 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5456 | tau+ 0.500
[OUTPOST-v4] epoch 12: test-all ROC 0.5638 PR 0.1711 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5506 | tau+ 0.500
[OUTPOST-v4] epoch 13: test-all ROC 0.5657 PR 0.1716 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5524 | tau+ 0.500
[OUTPOST-v4] epoch 14: test-all ROC 0.5679 PR 0.1723 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5555 | tau+ 0.500
[OUTPOST-v4] epoch 15: test-all ROC 0.5697 PR 0.1729 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5593 | tau+ 0.500
[OUTPOST-v4] epoch 16: test-all ROC 0.5717 PR 0.1736 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5607 | tau+ 0.500
[OUTPOST-v4] epoch 17: test-all ROC 0.5736 PR 0.1743 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5633 | tau+ 0.500
[OUTPOST-v4] epoch 18: test-all ROC 0.5753 PR 0.1749 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5655 | tau+ 0.500
[OUTPOST-v4] epoch 19: test-all ROC 0.5768 PR 0.1754 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5668 | tau+ 0.500
[OUTPOST-v4] epoch 20: test-all ROC 0.5781 PR 0.1759 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5686 | tau+ 0.500
[OUTPOST-v4] epoch 21: test-all ROC 0.5793 PR 0.1764 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5689 | tau+ 0.500
[OUTPOST-v4] epoch 22: test-all ROC 0.5806 PR 0.1768 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5712 | tau+ 0.500
[OUTPOST-v4] epoch 23: test-all ROC 0.5819 PR 0.1772 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5717 | tau+ 0.500
[OUTPOST-v4] epoch 24: test-all ROC 0.5831 PR 0.1776 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5710 | tau+ 0.500
[OUTPOST-v4] epoch 25: test-all ROC 0.5845 PR 0.1781 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5707 | tau+ 0.500
[OUTPOST-v4] epoch 26: test-all ROC 0.5859 PR 0.1785 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5694 | tau+ 0.500
[OUTPOST-v4] epoch 27: test-all ROC 0.5873 PR 0.1790 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5694 | tau+ 0.500
[OUTPOST-v4] epoch 28: test-all ROC 0.5887 PR 0.1795 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5701 | tau+ 0.500
[OUTPOST-v4] epoch 29: test-all ROC 0.5902 PR 0.1800 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5685 | tau+ 0.500
[OUTPOST-v4] epoch 30: test-all ROC 0.5917 PR 0.1806 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5678 | tau+ 0.500
[OUTPOST-v4] epoch 31: test-all ROC 0.5934 PR 0.1812 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5678 | tau+ 0.500
[OUTPOST-v4] epoch 32: test-all ROC 0.5950 PR 0.1818 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5669 | tau+ 0.500
[OUTPOST-v4] epoch 33: test-all ROC 0.5967 PR 0.1825 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5668 | tau+ 0.500
[OUTPOST-v4] epoch 34: test-all ROC 0.5984 PR 0.1832 | unseen ROC 0.5000 PR 0.0000 | valAUC 0.5665 | tau+ 0.500
