# gpu=4 cmd=/usr/bin/python3 -u main.py --dataset computers --seed 42 --method outpost --tag C_noconformal --rotations 9 --set use_conformal=false
/nas/home/jahin/.local/lib/python3.10/site-packages/requests/__init__.py:113: RequestsDependencyWarning: urllib3 (1.26.5) or chardet (7.2.0)/charset_normalizer (3.4.4) doesn't match a supported version!
  warnings.warn(
[0.03170448 0.15575916 0.10282141 0.03941245 0.37507272 0.02239674
 0.03541303 0.05948226 0.1567772  0.02116056]
[computers] anomaly classes (rotations): [np.int64(0), np.int64(3), np.int64(5), np.int64(6), np.int64(9)]
[computers] running subset: [np.int64(9)]
Normal classes: [np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)] in computers
Building multi-layer GraphSage
[OUTPOST-v4] epoch 0: test-all ROC 0.5341 PR 0.1643 | unseen ROC 0.5305 PR 0.1472 | valAUC 0.6411 | tau+ 0.950
[OUTPOST-v4] epoch 1: test-all ROC 0.4784 PR 0.1464 | unseen ROC 0.4811 PR 0.1330 | valAUC 0.4986 | tau+ 0.950
[OUTPOST-v4] epoch 2: test-all ROC 0.4662 PR 0.1429 | unseen ROC 0.4707 PR 0.1303 | valAUC 0.4391 | tau+ 0.950
[OUTPOST-v4] epoch 3: test-all ROC 0.4617 PR 0.1408 | unseen ROC 0.4651 PR 0.1281 | valAUC 0.4411 | tau+ 0.950
[OUTPOST-v4] epoch 4: test-all ROC 0.4639 PR 0.1418 | unseen ROC 0.4665 PR 0.1287 | valAUC 0.4598 | tau+ 0.950
[OUTPOST-v4] epoch 5: test-all ROC 0.4672 PR 0.1427 | unseen ROC 0.4698 PR 0.1295 | valAUC 0.4362 | tau+ 0.950
[OUTPOST-v4] epoch 6: test-all ROC 0.4709 PR 0.1440 | unseen ROC 0.4746 PR 0.1306 | valAUC 0.4236 | tau+ 0.950
[OUTPOST-v4] epoch 7: test-all ROC 0.4764 PR 0.1461 | unseen ROC 0.4781 PR 0.1320 | valAUC 0.5023 | tau+ 0.950
[OUTPOST-v4] epoch 8: test-all ROC 0.4849 PR 0.1478 | unseen ROC 0.4852 PR 0.1336 | valAUC 0.4940 | tau+ 0.950
[OUTPOST-v4] epoch 9: test-all ROC 0.4951 PR 0.1513 | unseen ROC 0.4947 PR 0.1364 | valAUC 0.5147 | tau+ 0.950
[OUTPOST-v4] epoch 10: test-all ROC 0.5232 PR 0.1617 | unseen ROC 0.5195 PR 0.1452 | valAUC 0.5807 | tau+ 0.950
